day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std
1,497.61,499,494,1.1682138580287675,2.3,6,0,1.1691168337057978,0.09,2,0,0.3200188436662872
2,494.705,499,485,3.037119602087948,5.045,15,0,3.0429050850764177,0.25,2,0,0.4885626544637682
3,488.65,499,462,7.116934295667218,10.62,37,0,6.93730719773738,0.73,5,0,0.8950449863767689
4,476.365,499,425,15.087409473568227,22.03,69,0,14.495852811881015,1.605,6,0,1.348356528012219
5,451.77,499,365,30.00882784688063,44.98,129,0,28.441946515807246,3.25,11,0,2.3866252113596484
6,408.6,499,260,53.20256161891145,84.61,225,0,49.4929861535143,6.79,19,0,4.658800501261324
7,340.03,499,162,79.77644077365552,147.31,312,0,73.39330203717229,12.66,34,0,7.272471672073086
8,252.045,499,71,99.22333053071763,225.805,388,0,89.64646910007419,22.15,48,1,10.684958666674508
9,164.595,499,31,99.77442384331931,300.985,412,0,87.10482782343787,34.42,70,1,14.490808037785186
10,94.885,499,9,87.43946520523149,356.04,427,0,73.23582340047612,49.075,87,1,17.237605699494818
11,50.99,499,3,72.537703937072,384.19,429,0,58.752131576855334,64.82,103,1,18.960090324827792
12,27.335,499,0,63.80114186687875,391.375,434,0,51.23749387796472,81.29,122,1,20.239170440027976
13,16.275,499,0,60.88707213164234,386.15,430,0,49.42572215001264,97.575,134,1,21.79609422851007
14,11.565,499,0,60.49798181774414,375.32,428,0,48.872797666583345,113.115,150,1,23.043366915317954
15,9.455,499,0,60.577936635669396,362.865,422,0,47.747206764048975,127.68,162,1,23.59302341305251
16,8.44,499,0,60.66289089433746,349.365,416,0,46.427354774494574,142.195,181,1,24.725771857918804
17,8.01,499,0,60.706890322790514,335.73,400,0,44.76546474874191,156.26,196,1,25.619802328604806
18,7.74,499,0,60.73670336525018,322.185,387,0,43.0179438428002,170.075,212,1,26.51934678246892
19,7.64,499,0,60.747855184753135,309.54,366,0,41.274645751472484,182.82,218,1,27.269686079866617
20,7.59,499,0,60.75349236192809,297.715,346,0,39.74268713744107,194.695,232,1,28.207272575182685
21,7.525,499,0,60.76108063224345,285.91,330,0,38.238499108494736,206.565,244,1,29.258435625924754
22,7.515,499,0,60.76224177172554,274.575,318,0,36.896355923071994,217.91,256,1,30.420534918433276
23,7.5,499,0,60.763980338130125,263.72,310,0,35.60195353456586,228.78,268,1,31.539583488580924
24,7.495,499,0,60.76455902222799,252.845,302,0,34.41471835125169,239.66,280,1,32.78718342561501
25,7.49,499,0,60.765137287327335,242.825,291,0,33.145702026266854,249.685,289,1,33.761739443507
26,7.485,499,0,60.76571513344009,233.42,279,0,32.05889053463263,259.095,298,1,34.79308507224132
27,7.485,499,0,60.76571513344009,224.17,265,0,31.024080451146272,268.345,313,1,35.83765705674106
28,7.485,499,0,60.76571513344009,215.335,258,0,29.982788613891916,277.18,321,1,36.79233588533756
29,7.485,499,0,60.76571513344009,206.48,247,0,28.907226409558348,286.035,334,1,37.72944913006671
30,7.485,499,0,60.76571513344009,198.545,242,0,27.847718977706354,293.97,342,1,38.506138647855074
31,7.485,499,0,60.76571513344009,190.695,231,0,26.944424004320883,301.82,351,1,39.38583272060499
32,7.485,499,0,60.76571513344009,183.055,221,0,25.976061167329505,309.46,355,1,40.18510436797852
33,7.485,499,0,60.76571513344009,175.625,216,0,24.94746993747876,316.89,357,1,40.916730000940326
34,7.485,499,0,60.76571513344009,168.72,213,0,24.022635891506145,323.795,363,1,41.62627425728508
35,7.485,499,0,60.76571513344009,161.9,202,0,23.152759041986357,330.615,370,1,42.35880210272581
36,7.485,499,0,60.76571513344009,155.165,188,0,22.30595330318386,337.35,377,1,43.0935350582787
37,7.485,499,0,60.76571513344009,148.6,180,0,21.55232035217587,343.915,382,1,43.848503180334184
38,7.485,499,0,60.76571513344009,142.32,171,0,20.78890310868545,350.195,391,1,44.55110526013353
39,7.485,499,0,60.76571513344009,136.39,165,0,20.1141940932293,356.125,398,1,45.23661272302853
40,7.48,499,0,60.76629256057826,130.89,159,0,19.594838311203567,361.63,402,1,45.918904921020584
41,7.48,499,0,60.76629256057826,125.965,156,0,19.020850104384596,366.555,407,1,46.48041652785626
42,7.48,499,0,60.76629256057826,121.02,152,0,18.38476537761496,371.5,411,1,47.021111477964
43,7.48,499,0,60.76629256057826,116.29,148,0,17.751095938988552,376.23,417,1,47.53107526216812
44,7.48,499,0,60.76629256057826,111.69,146,0,17.102525600318447,380.83,420,1,48.01832878701099
45,7.48,499,0,60.76629256057826,107.255,138,0,16.539581730475998,385.265,426,1,48.51290845158802
46,7.48,499,0,60.76629256057826,102.89,132,0,15.84465732760244,389.63,429,1,48.9553493620031
47,7.48,499,0,60.76629256057826,98.965,126,0,15.4573095034494,393.555,432,1,49.43191830931399
48,7.48,499,0,60.76629256057826,95.255,124,0,14.982736296640656,397.265,433,1,49.84825995057904
49,7.48,499,0,60.76629256057826,91.535,118,0,14.563283321611497,400.985,439,1,50.28306582282662
50,7.48,499,0,60.76629256057826,87.93,114,0,14.21426489950028,404.59,443,1,50.720258507972716
51,7.48,499,0,60.76629256057826,84.465,108,0,13.838943485104616,408.055,445,1,51.12839267655929
52,7.48,499,0,60.76629256057826,80.9,107,0,13.382280341394674,411.62,445,1,51.529428582609484
53,7.48,499,0,60.76629256057826,77.69,105,0,13.058965614265658,414.83,446,1,51.91335165833553
54,7.48,499,0,60.76629256057826,74.72,102,0,12.645200889176818,417.8,446,1,52.2399758362969
55,7.48,499,0,60.76629256057826,71.805,100,0,12.225970175559414,420.715,448,1,52.55868961714472
56,7.48,499,0,60.76629256057826,68.735,99,0,11.900541561090243,423.785,449,1,52.92185169601187
57,7.48,499,0,60.76629256057826,66.04,95,0,11.473736669709181,426.48,453,1,53.209641322304
58,7.48,499,0,60.76629256057826,63.285,95,0,11.115825786443976,429.235,456,1,53.521984164871185
59,7.48,499,0,60.76629256057826,60.77,93,0,10.89267422439476,431.75,459,1,53.82847782657083
60,7.48,499,0,60.76629256057826,58.33,89,0,10.607719764066397,434.19,459,1,54.11159045071145
61,7.48,499,0,60.76629256057826,55.89,86,0,10.341306158572364,436.63,463,1,54.398243948896166
62,7.48,499,0,60.76629256057826,53.475,82,0,10.10046891791708,439.045,464,1,54.685974013167616
63,7.48,499,0,60.76629256057826,51.49,80,0,9.925344442968106,441.03,467,1,54.92625572382661
64,7.48,499,0,60.76629256057826,49.415,78,0,9.676826954094894,443.105,467,1,55.16538838236239
65,7.48,499,0,60.76629256057826,47.155,76,0,9.253600412975217,445.365,467,1,55.40025012188877
66,7.48,499,0,60.76629256057826,45.405,73,0,8.883442618929843,447.115,469,1,55.57684503026048
67,7.48,499,0,60.76629256057826,43.655,68,0,8.505745914841285,448.865,472,1,55.75418748498227
68,7.48,499,0,60.76629256057826,41.955,64,0,8.202400371799497,450.565,472,1,55.937651715074566
69,7.48,499,0,60.76629256057826,40.48,61,0,8.023808792443178,452.04,474,1,56.10971305841341
70,7.48,499,0,60.76629256057826,38.9,60,0,7.827281243081246,453.62,474,1,56.29334153794333
71,7.48,499,0,60.76629256057826,37.195,57,0,7.630734930391006,455.325,475,1,56.4936904468234
72,7.48,499,0,60.76629256057826,35.565,53,0,7.454099071304604,456.955,477,1,56.68668163133081
73,7.48,499,0,60.76629256057826,34.13,52,0,7.284119161559552,458.39,478,1,56.854640538427184
74,7.48,499,0,60.76629256057826,32.705,51,0,6.954841775382313,459.815,480,1,57.00163777070543
75,7.48,499,0,60.76629256057826,31.36,50,0,6.792724455447769,461.16,480,1,57.15925385716242
76,7.48,499,0,60.76629256057826,30.04,48,0,6.579884069788715,462.48,482,1,57.30777000121856
77,7.48,499,0,60.76629256057826,28.91,46,0,6.385591507015804,463.61,483,1,57.43388508344961
78,7.48,499,0,60.76629256057826,27.83,43,0,6.1824114272083515,464.69,484,1,57.552893740362414
79,7.48,499,0,60.76629256057826,26.605,42,0,6.064061279042281,465.915,485,1,57.7001238861964
80,7.48,499,0,60.76629256057826,25.565,38,0,5.914446583743894,466.955,485,1,57.81996816492521
81,7.48,499,0,60.76629256057826,24.47,37,0,5.792830432708225,468.05,487,1,57.94987870747492
82,7.48,499,0,60.76629256057826,23.495,36,0,5.709022657030925,469.025,487,1,58.067923968141386
83,7.48,499,0,60.76629256057826,22.53,35,0,5.613972160341146,469.99,487,1,58.183472588116125
84,7.48,499,0,60.76629256057826,21.57,35,0,5.433480796675295,470.95,488,1,58.290276045040606
85,7.48,499,0,60.76629256057826,20.715,34,0,5.257564543077254,471.805,489,1,58.38433546886274
86,7.48,499,0,60.76629256057826,19.91,33,0,5.14140742907609,472.61,491,1,58.477568606695286
87,7.48,499,0,60.76629256057826,19.105,30,0,5.068770776621254,473.415,492,1,58.57463370408594
88,7.48,499,0,60.76629256057826,18.295,30,0,4.972080340719857,474.225,493,1,58.67022542788456
89,7.48,499,0,60.76629256057826,17.455,29,0,4.8055636725628,475.065,493,1,58.76390693949793
90,7.48,499,0,60.76629256057826,16.785,29,0,4.730822168710191,475.735,495,1,58.843500599591025
91,7.48,499,0,60.76629256057826,16.13,28,0,4.616237455028285,476.39,495,1,58.91803266288107
92,7.48,499,0,60.76629256057826,15.425,27,0,4.563827076910308,477.095,495,1,59.00384090214831
93,7.48,499,0,60.76629256057826,14.745,25,0,4.372133662620471,477.775,495,1,59.07591891777817
94,7.48,499,0,60.76629256057826,14.045,24,0,4.279549945811296,478.475,495,1,59.1581593194916
95,7.48,499,0,60.76629256057826,13.505,22,0,4.089448980587007,479.015,496,1,59.213308084174436
96,7.48,499,0,60.76629256057826,12.93,22,0,4.025683873985429,479.59,496,1,59.28189958233842
97,7.48,499,0,60.76629256057826,12.375,22,0,3.9917471395531368,480.145,496,1,59.34994570575767
98,7.48,499,0,60.76629256057826,11.9,22,0,3.8697382820882473,480.62,496,1,59.40200832433887
99,7.48,499,0,60.76629256057826,11.4,22,0,3.81744211764999,481.12,496,1,59.461871572077804
100,7.48,499,0,60.76629256057826,10.895,21,0,3.6566144376634298,481.625,496,1,59.51558534953249
101,7.48,499,0,60.76629256057826,10.48,21,0,3.544349314091588,482.04,496,1,59.56119609613301
102,7.48,499,0,60.76629256057826,10.065,19,0,3.4525898807159408,482.455,497,1,59.60816758814249
103,7.48,499,0,60.76629256057826,9.635,18,0,3.3702474448022324,482.885,497,1,59.65766471962336
104,7.48,499,0,60.76629256057826,9.225,18,0,3.2753648766781516,483.295,497,1,59.70402690895924
105,7.48,499,0,60.76629256057826,8.885,18,0,3.2270488408305082,483.635,498,1,59.74419317465467
106,7.48,499,0,60.76629256057826,8.425,16,0,3.123001873761459,484.095,498,1,59.79652243632056
107,7.48,499,0,60.76629256057826,8.105,16,0,3.0364577021398502,484.415,498,1,59.832284649945976
108,7.48,499,0,60.76629256057826,7.815,16,0,3.0059864893025297,484.705,498,1,59.867172697849746
109,7.48,499,0,60.76629256057826,7.505,16,0,2.9090009336816656,485.015,498,1,59.90129884247149
110,7.48,499,0,60.76629256057826,7.195,14,0,2.8596965436227744,485.325,499,1,59.93781849072533
111,7.48,499,0,60.76629256057826,6.9,14,0,2.8213115735371863,485.62,499,1,59.97298889487602
112,7.48,499,0,60.76629256057826,6.68,14,0,2.7759918323486343,485.84,499,1,59.99844554100284
113,7.48,499,0,60.76629256057826,6.46,14,0,2.750678308304861,486.06,499,1,60.02483907960655
