day,s,i,r,edgecount,suscedgecount
1,998,2,0,0.9998173515981735,0.9999284282851417
2,998,2,0,0.9998173515981735,0.9999284282851417
3,997,3,0,0.9998173515981735,0.9999283564980657
4,996,4,0,0.9998173515981735,0.9999282845668388
5,991,8,1,0.9996347031963471,0.9998606506174619
6,986,11,3,0.999269406392694,0.9997241137834445
7,978,18,4,0.9965296803652968,0.9983986144307329
8,971,25,4,0.9950684931506849,0.9971929413787414
9,955,39,6,0.9877625570776256,0.9936295890230291
10,937,55,8,0.9768036529680365,0.9881040115219913
11,907,80,13,0.9583561643835616,0.9783340509214431
12,880,104,16,0.9357077625570777,0.965066933864561
13,857,125,18,0.9163470319634703,0.952920368616367
14,827,145,28,0.9028310502283104,0.9426276147566781
15,804,163,33,0.8874885844748859,0.9310746851188029
16,763,194,43,0.8578995433789954,0.9083287186690934
17,727,222,51,0.8405479452054795,0.8914299983803988
18,690,250,60,0.8272146118721461,0.8751576486646819
19,649,278,73,0.8135159817351598,0.8562323083826754
20,609,300,91,0.8065753424657535,0.8413090813047349
21,571,327,102,0.8007305936073059,0.8238907820485547
22,526,362,112,0.7908675799086758,0.7964413934806465
23,487,391,122,0.7890410958904109,0.7780921156389208
24,455,406,139,0.8012785388127854,0.7725206912601872
25,420,420,160,0.806027397260274,0.7577771349410005
26,384,441,175,0.8118721461187215,0.7417683619315053
27,356,452,192,0.821917808219178,0.7358963388726276
28,318,471,211,0.8350684931506849,0.7255282509860757
29,293,477,230,0.8498630136986302,0.7253879688983083
30,279,473,248,0.8604566210045662,0.7308666864327837
31,251,475,274,0.8748858447488584,0.7296223234880371
32,239,469,292,0.8847488584474886,0.7372070319676769
33,212,475,313,0.8995433789954338,0.7413891556094664
34,195,478,327,0.9064840182648402,0.7353729612100653
35,182,477,341,0.9119634703196347,0.7292747630700119
36,173,466,361,0.9190867579908676,0.7393955363651046
37,164,457,379,0.9223744292237442,0.738884363583969
38,149,451,400,0.932054794520548,0.7471294842149558
39,135,448,417,0.9389954337899543,0.7474406983720708
40,122,444,434,0.9484931506849315,0.7590960623807778
41,111,439,450,0.953607305936073,0.7616126380832263
42,103,426,471,0.9592694063926941,0.7683689842741812
43,98,416,486,0.9612785388127854,0.7703437735400519
44,94,406,500,0.9642009132420092,0.777770557213611
45,84,402,514,0.9689497716894977,0.7801247169419439
46,76,393,531,0.9724200913242009,0.7820766501300556
47,75,375,550,0.9749771689497717,0.7960485723426899
48,69,361,570,0.976986301369863,0.8016852759819512
49,63,355,582,0.9793607305936073,0.8081529192873731
50,57,347,596,0.982648401826484,0.8207435724463588
51,54,342,604,0.9846575342465753,0.8335463797882099
52,50,331,619,0.9873972602739726,0.8505984015984016
53,45,319,636,0.9888584474885844,0.8516527916527915
54,42,309,649,0.9905022831050229,0.8609741449027164
55,40,289,671,0.9919634703196347,0.8738489982239983
56,38,278,684,0.9934246575342466,0.8848143815249079
57,34,277,689,0.9941552511415526,0.8797619863796334
58,32,266,702,0.9948858447488584,0.8886432144244645
59,31,261,708,0.9956164383561644,0.8999640144801436
60,29,250,721,0.9963470319634703,0.9041171472205956
61,28,242,730,0.9967123287671232,0.9097630544059117
62,28,235,737,0.9967123287671232,0.9097630544059117
63,27,224,749,0.9970776255707763,0.9249394638283528
64,26,218,756,0.9972602739726028,0.9275470256239488
65,25,212,763,0.9974429223744292,0.9313155733155734
66,25,206,769,0.9974429223744292,0.9313155733155734
67,25,193,782,0.9976255707762557,0.9370298590298591
68,24,187,789,0.9976255707762557,0.9347848910348912
69,24,181,795,0.9978082191780822,0.9385727698227697
70,24,176,800,0.9978082191780822,0.9385727698227697
71,23,172,805,0.9979908675799086,0.942113200808853
72,21,168,811,0.9983561643835617,0.9473711473711475
73,20,158,822,0.9987214611872146,0.9548407148407149
74,20,149,831,0.9987214611872146,0.9548407148407149
75,20,144,836,0.9987214611872146,0.9548407148407149
76,19,138,843,0.9987214611872146,0.9524639103586473
77,19,135,846,0.9987214611872146,0.9524639103586473
78,19,129,852,0.9987214611872146,0.9524639103586473
79,19,123,858,0.9987214611872146,0.9524639103586473
80,19,117,864,0.9989041095890411,0.9565124933545986
81,18,112,870,0.999269406392694,0.9726150392817059
82,17,108,875,0.9994520547945206,0.9775401069518717
83,17,103,880,0.9994520547945206,0.9775401069518717
84,17,100,883,0.9994520547945206,0.9775401069518717
85,17,97,886,0.9994520547945206,0.9775401069518717
86,17,95,888,0.9994520547945206,0.9775401069518717
87,17,91,892,0.9994520547945206,0.9775401069518717
88,17,86,897,0.9994520547945206,0.9775401069518717
89,16,84,900,0.9994520547945206,0.9761363636363636
90,16,81,903,0.9994520547945206,0.9761363636363636
91,16,74,910,0.9996347031963471,0.9886363636363636
92,16,70,914,0.9996347031963471,0.9886363636363636
93,16,65,919,0.9996347031963471,0.9886363636363636
94,16,58,926,0.9996347031963471,0.9886363636363636
95,16,56,928,0.9996347031963471,0.9886363636363636
96,16,55,929,0.9996347031963471,0.9886363636363636
97,16,55,929,0.9996347031963471,0.9886363636363636
98,16,52,932,1.0,1.0
99,16,52,932,1.0,1.0
100,15,53,932,1.0,1.0
101,15,49,936,1.0,1.0
102,15,46,939,1.0,1.0
103,14,47,939,1.0,1.0
104,14,45,941,1.0,1.0
105,13,45,942,1.0,1.0
106,13,45,942,1.0,1.0
107,13,43,944,1.0,1.0
108,13,39,948,1.0,1.0
109,13,38,949,1.0,1.0
110,13,37,950,1.0,1.0
111,13,34,953,1.0,1.0
112,13,32,955,1.0,1.0
113,13,29,958,1.0,1.0
114,13,29,958,1.0,1.0
115,13,29,958,1.0,1.0
116,13,28,959,1.0,1.0
117,13,27,960,1.0,1.0
118,13,23,964,1.0,1.0
119,13,23,964,1.0,1.0
120,13,23,964,1.0,1.0
121,13,21,966,1.0,1.0
122,13,21,966,1.0,1.0
123,13,21,966,1.0,1.0
124,13,21,966,1.0,1.0
125,13,20,967,1.0,1.0
126,13,20,967,1.0,1.0
127,13,18,969,1.0,1.0
128,13,16,971,1.0,1.0
129,13,16,971,1.0,1.0
130,13,16,971,1.0,1.0
131,13,15,972,1.0,1.0
132,13,15,972,1.0,1.0
133,13,15,972,1.0,1.0
134,13,15,972,1.0,1.0
135,13,15,972,1.0,1.0
136,13,15,972,1.0,1.0
137,13,14,973,1.0,1.0
138,13,12,975,1.0,1.0
139,13,11,976,1.0,1.0
140,13,11,976,1.0,1.0
141,13,11,976,1.0,1.0
142,13,11,976,1.0,1.0
143,13,11,976,1.0,1.0
144,13,11,976,1.0,1.0
145,13,10,977,1.0,1.0
146,13,9,978,1.0,1.0
147,13,9,978,1.0,1.0
148,13,9,978,1.0,1.0
149,13,9,978,1.0,1.0
150,13,9,978,1.0,1.0
151,13,9,978,1.0,1.0
152,13,8,979,1.0,1.0
153,13,8,979,1.0,1.0
154,13,7,980,1.0,1.0
155,13,7,980,1.0,1.0
156,13,7,980,1.0,1.0
157,13,7,980,1.0,1.0
158,13,6,981,1.0,1.0
159,13,6,981,1.0,1.0
160,13,6,981,1.0,1.0
161,13,6,981,1.0,1.0
162,13,6,981,1.0,1.0
163,13,5,982,1.0,1.0
164,13,5,982,1.0,1.0
165,13,5,982,1.0,1.0
166,13,5,982,1.0,1.0
167,13,5,982,1.0,1.0
168,13,5,982,1.0,1.0
169,13,4,983,1.0,1.0
170,13,3,984,1.0,1.0
171,13,3,984,1.0,1.0
172,13,3,984,1.0,1.0
173,13,3,984,1.0,1.0
174,13,2,985,1.0,1.0
175,13,2,985,1.0,1.0
176,13,2,985,1.0,1.0
177,13,2,985,1.0,1.0
178,13,2,985,1.0,1.0
179,13,2,985,1.0,1.0
180,13,2,985,1.0,1.0
181,13,2,985,1.0,1.0
182,13,2,985,1.0,1.0
183,13,2,985,1.0,1.0
184,13,2,985,1.0,1.0
185,13,2,985,1.0,1.0
186,13,2,985,1.0,1.0
187,13,2,985,1.0,1.0
188,13,2,985,1.0,1.0
189,13,2,985,1.0,1.0
190,13,2,985,1.0,1.0
191,13,2,985,1.0,1.0
192,13,2,985,1.0,1.0
193,13,2,985,1.0,1.0
194,13,2,985,1.0,1.0
195,13,2,985,1.0,1.0
196,13,2,985,1.0,1.0
197,13,2,985,1.0,1.0
198,13,2,985,1.0,1.0
199,13,1,986,1.0,1.0
200,13,1,986,1.0,1.0
1,999,1,0,1.0,1.0
2,998,2,0,0.9998173515981735,0.999937374749499
3,995,5,0,0.9998173515981735,0.9999371859296482
4,995,5,0,0.9998173515981735,0.9999371859296482
5,992,8,0,0.999269406392694,0.9997017809139784
6,990,9,1,0.999269406392694,0.9997011784511785
7,988,11,1,0.9994520547945206,0.9997849190283401
8,983,16,1,0.9981735159817352,0.9991901240502461
9,972,27,1,0.9934246575342466,0.9966406423332712
10,962,35,3,0.9910502283105023,0.9953562580259413
11,948,47,5,0.9833789954337899,0.9914198084223215
12,930,62,8,0.971689497716895,0.985247291625375
13,910,81,9,0.9572602739726027,0.9773351571454436
14,890,100,10,0.9395433789954338,0.96687787065383
15,860,125,15,0.9163470319634703,0.9526117862535621
16,834,146,20,0.9011872146118721,0.9423894407349593
17,780,191,29,0.8655707762557078,0.916507906845785
18,737,226,37,0.838904109589041,0.892374889781328
19,696,257,47,0.8224657534246576,0.8742347846958781
20,660,279,61,0.8133333333333334,0.8606909396463998
21,614,312,74,0.8018264840182648,0.8396376951972145
22,569,342,89,0.7992694063926941,0.8243559606709613
23,531,365,104,0.8007305936073059,0.8120292636784827
24,506,371,123,0.8052968036529681,0.8053997044057495
25,458,406,136,0.8052968036529681,0.7824206628631236
26,420,427,153,0.8105936073059361,0.7674923203547154
27,380,450,170,0.8131506849315069,0.7453317154981242
28,360,451,189,0.8259360730593607,0.7470631304516107
29,331,463,206,0.8348858447488584,0.7389513456845072
30,312,460,228,0.8467579908675799,0.7436649540651238
31,293,460,247,0.8536986301369863,0.7370399125066863
32,278,455,267,0.8646575342465753,0.7441852280061124
33,258,456,286,0.8708675799086758,0.7383613935084523
34,238,455,307,0.8820091324200914,0.7407418342354081
35,214,459,327,0.8935159817351598,0.7356746587814483
36,197,456,347,0.9053881278538812,0.7441095971478175
37,185,453,362,0.9126940639269406,0.7470946510652393
38,175,446,379,0.9210958904109589,0.7598799202664749
39,158,445,397,0.9305936073059361,0.7659114516244077
40,146,431,423,0.9408219178082192,0.7791708196673951
41,139,414,447,0.9459360730593608,0.7849665222866662
42,131,404,465,0.9512328767123288,0.7916658405208025
43,118,400,482,0.9578082191780822,0.7986102527416085
44,110,389,501,0.9621917808219178,0.8028672463899734
45,101,387,512,0.9654794520547946,0.7999576193883123
46,93,380,527,0.9694977168949772,0.8084137338169595
47,91,373,536,0.9707762557077626,0.8127403426853974
48,84,368,548,0.9729680365296803,0.8110389940747083
49,77,356,567,0.9757077625570776,0.8146367160977551
50,74,346,580,0.9771689497716894,0.8160242347742348
51,70,336,594,0.9788127853881279,0.8154773202987489
52,68,326,606,0.9800913242009133,0.8251472179781003
53,65,317,618,0.9811872146118722,0.82586735913659
54,62,302,636,0.983013698630137,0.836155399260238
55,59,292,649,0.9848401826484018,0.8432614466512772
56,57,285,658,0.9868493150684932,0.8591277630751315
57,54,278,668,0.9877625570776256,0.8643196052918277
58,51,270,679,0.9894063926940639,0.8790632025926144
59,48,262,690,0.9906849315068493,0.886172565860066
60,45,258,697,0.9915981735159818,0.8894482677816011
61,45,252,703,0.9919634703196347,0.8944747228080563
62,39,244,717,0.9948858447488584,0.9227643439181901
63,38,232,730,0.9954337899543378,0.9279487325539957
64,38,227,735,0.9956164383561644,0.9303410770516032
65,37,217,746,0.9959817351598174,0.9356977856977856
66,34,209,757,0.9959817351598174,0.93043255763844
67,33,198,769,0.9959817351598174,0.9303446553446553
68,32,195,773,0.9967123287671232,0.9468311202686203
69,30,191,779,0.9968949771689498,0.9469902319902318
70,29,182,789,0.9978082191780822,0.9635531135531136
71,29,176,795,0.9979908675799086,0.9658519641278261
72,28,171,801,0.9983561643835617,0.9693942961800104
73,28,168,804,0.9983561643835617,0.9693942961800104
74,28,161,811,0.9983561643835617,0.9693942961800104
75,28,153,819,0.9985388127853881,0.9744963369963369
76,27,144,829,0.9987214611872146,0.979724596391263
77,26,141,833,0.9989041095890411,0.9819033530571992
78,25,129,846,0.999269406392694,0.9878461538461539
79,25,124,851,0.999269406392694,0.9878461538461539
80,25,115,860,0.9994520547945206,0.9905128205128204
81,25,107,868,0.9994520547945206,0.9905128205128204
82,25,105,870,0.9994520547945206,0.9905128205128204
83,25,99,876,0.9996347031963471,0.9938461538461538
84,25,92,883,0.9996347031963471,0.9938461538461538
85,25,90,885,0.9996347031963471,0.9938461538461538
86,24,86,890,0.9996347031963471,0.9935897435897436
87,24,83,893,0.9996347031963471,0.9935897435897436
88,24,81,895,0.9996347031963471,0.9935897435897436
89,23,81,896,1.0,1.0
90,23,77,900,1.0,1.0
91,23,72,905,1.0,1.0
92,23,70,907,1.0,1.0
93,23,66,911,1.0,1.0
94,23,62,915,1.0,1.0
95,23,60,917,1.0,1.0
96,23,56,921,1.0,1.0
97,23,54,923,1.0,1.0
98,23,52,925,1.0,1.0
99,23,51,926,1.0,1.0
100,23,51,926,1.0,1.0
101,23,49,928,1.0,1.0
102,23,49,928,1.0,1.0
103,23,49,928,1.0,1.0
104,22,50,928,1.0,1.0
105,22,45,933,1.0,1.0
106,22,43,935,1.0,1.0
107,22,40,938,1.0,1.0
108,22,36,942,1.0,1.0
109,22,35,943,1.0,1.0
110,22,32,946,1.0,1.0
111,22,31,947,1.0,1.0
112,22,31,947,1.0,1.0
113,22,31,947,1.0,1.0
114,22,30,948,1.0,1.0
115,22,30,948,1.0,1.0
116,22,29,949,1.0,1.0
117,22,27,951,1.0,1.0
118,22,25,953,1.0,1.0
119,22,23,955,1.0,1.0
120,22,23,955,1.0,1.0
121,22,22,956,1.0,1.0
122,22,21,957,1.0,1.0
123,22,21,957,1.0,1.0
124,22,21,957,1.0,1.0
125,22,20,958,1.0,1.0
126,22,20,958,1.0,1.0
127,22,20,958,1.0,1.0
128,21,21,958,1.0,1.0
129,21,18,961,1.0,1.0
130,21,18,961,1.0,1.0
131,21,18,961,1.0,1.0
132,21,18,961,1.0,1.0
133,21,18,961,1.0,1.0
134,21,18,961,1.0,1.0
135,21,17,962,1.0,1.0
136,21,17,962,1.0,1.0
137,21,17,962,1.0,1.0
138,21,16,963,1.0,1.0
139,21,16,963,1.0,1.0
140,21,14,965,1.0,1.0
141,21,14,965,1.0,1.0
142,21,14,965,1.0,1.0
143,21,14,965,1.0,1.0
144,21,14,965,1.0,1.0
145,21,14,965,1.0,1.0
146,21,14,965,1.0,1.0
147,21,14,965,1.0,1.0
148,21,14,965,1.0,1.0
149,21,14,965,1.0,1.0
150,21,14,965,1.0,1.0
151,21,14,965,1.0,1.0
152,21,13,966,1.0,1.0
153,21,13,966,1.0,1.0
154,21,11,968,1.0,1.0
155,21,9,970,1.0,1.0
156,21,8,971,1.0,1.0
157,21,8,971,1.0,1.0
158,21,7,972,1.0,1.0
159,21,7,972,1.0,1.0
160,21,6,973,1.0,1.0
161,21,6,973,1.0,1.0
162,21,6,973,1.0,1.0
163,21,6,973,1.0,1.0
164,21,5,974,1.0,1.0
165,21,5,974,1.0,1.0
166,21,5,974,1.0,1.0
167,21,5,974,1.0,1.0
168,21,5,974,1.0,1.0
169,21,5,974,1.0,1.0
170,21,5,974,1.0,1.0
171,21,5,974,1.0,1.0
172,21,5,974,1.0,1.0
173,21,4,975,1.0,1.0
174,21,4,975,1.0,1.0
175,21,4,975,1.0,1.0
176,21,4,975,1.0,1.0
177,21,4,975,1.0,1.0
178,21,4,975,1.0,1.0
179,21,4,975,1.0,1.0
180,21,4,975,1.0,1.0
181,21,4,975,1.0,1.0
182,21,4,975,1.0,1.0
183,21,4,975,1.0,1.0
184,21,4,975,1.0,1.0
185,21,4,975,1.0,1.0
186,21,4,975,1.0,1.0
187,21,4,975,1.0,1.0
188,21,4,975,1.0,1.0
189,21,4,975,1.0,1.0
190,21,4,975,1.0,1.0
191,21,4,975,1.0,1.0
192,21,4,975,1.0,1.0
193,21,4,975,1.0,1.0
194,21,4,975,1.0,1.0
195,21,4,975,1.0,1.0
196,21,3,976,1.0,1.0
197,21,3,976,1.0,1.0
198,21,3,976,1.0,1.0
199,21,2,977,1.0,1.0
200,21,2,977,1.0,1.0
1,999,1,0,1.0,1.0
2,997,3,0,1.0,1.0
3,996,4,0,1.0,1.0
4,993,7,0,0.9998173515981735,0.9999084500595075
5,992,6,2,0.9998173515981735,0.999908357771261
6,989,6,5,1.0,1.0
7,986,8,6,1.0,1.0
8,982,12,6,0.9987214611872146,0.9994798876163439
9,975,17,8,0.9974429223744292,0.9989455621469197
10,967,23,10,0.9961643835616438,0.9982549758235627
11,955,33,12,0.9923287671232877,0.9962938120346578
12,939,48,13,0.9828310502283105,0.9910669024175339
13,921,66,13,0.9682191780821918,0.983148883670384
14,900,83,17,0.9521461187214612,0.974425698780446
15,870,106,24,0.930228310502283,0.9613498369189893
16,841,126,33,0.9163470319634703,0.951637976543045
17,800,156,44,0.8918721461187215,0.933307751072457
18,755,196,49,0.8611872146118722,0.9093933238045248
19,720,223,57,0.8429223744292238,0.8921845506288233
20,679,255,66,0.8263013698630137,0.8717288377381418
21,646,274,80,0.8184474885844749,0.8582921250381877
22,607,296,97,0.8149771689497717,0.8458790066581774
23,574,319,107,0.8027397260273973,0.8263084554404903
24,535,352,113,0.7903196347031963,0.8012142649441194
25,506,371,123,0.7928767123287671,0.7918496407613076
26,474,391,135,0.7928767123287671,0.777166828886026
27,439,413,148,0.7974429223744293,0.7649437395756958
28,390,447,163,0.7963470319634703,0.7299194779535336
29,365,452,183,0.8122374429223744,0.7305551659324084
30,338,453,209,0.8272146118721461,0.7300388775616393
31,321,448,231,0.8374429223744292,0.7312657255443199
32,298,448,254,0.8496803652968037,0.7325554677140066
33,273,451,276,0.8626484018264841,0.7315289395236152
34,249,454,297,0.8728767123287671,0.7252653463091189
35,219,471,310,0.8838356164383562,0.711404162106058
36,205,466,329,0.8924200913242009,0.7134900447786501
37,190,457,353,0.9042922374429224,0.7202783489210082
38,172,456,372,0.913972602739726,0.7193220959477079
39,165,448,387,0.9212785388127854,0.7299443083055523
40,152,444,404,0.9284018264840183,0.7354748100852673
41,142,433,425,0.9360730593607306,0.7421784160572151
42,127,428,445,0.9457534246575342,0.7529155250974562
43,113,428,459,0.9510502283105022,0.7494818629075732
44,102,418,480,0.959634703196347,0.7690579959542807
45,96,406,498,0.9649315068493151,0.7832791751377278
46,89,402,509,0.9685844748858448,0.7900521369031125
47,87,386,527,0.9711415525114155,0.8025997545507526
48,81,370,549,0.9731506849315068,0.8021733663059198
49,73,363,564,0.977351598173516,0.8162272558811852
50,65,358,577,0.9800913242009133,0.822789122708151
51,61,344,595,0.983013698630137,0.8351364027593534
52,59,332,609,0.9842922374429224,0.8399887777006422
53,55,321,624,0.9866666666666667,0.8548470721197993
54,53,312,635,0.9877625570776256,0.8618148099280174
55,50,303,647,0.9894063926940639,0.8767254967254966
56,48,289,663,0.9908675799086758,0.8885151885151886
57,46,274,680,0.9915981735159818,0.8924852321591451
58,45,262,693,0.9925114155251141,0.9031471614804948
59,41,261,698,0.9932420091324201,0.9007054598518014
60,37,254,709,0.9948858447488584,0.9156351906351906
61,34,252,714,0.9956164383561644,0.9185984766867119
62,33,247,720,0.9961643835616438,0.92957387730115
63,31,235,734,0.9970776255707763,0.9403446911511427
64,29,227,744,0.9968949771689498,0.9289247151316116
65,28,217,755,0.9972602739726028,0.9374407338693053
66,25,209,766,0.9974429223744292,0.9327907647907646
67,25,204,771,0.9974429223744292,0.9327907647907646
68,23,198,779,0.9976255707762557,0.9341928602798169
69,22,191,787,0.9979908675799086,0.9482470812016267
70,21,185,794,0.9983561643835617,0.9553064660207518
