day,s,i,r,edgecount,suscedgecount
1,999,1,0,1.0,1.0
2,998,2,0,0.9995,0.999749498997996
3,997,2,1,0.999,0.9994984954864594
4,996,3,1,0.9995,0.9997489959839357
5,996,3,1,0.9995,0.9997489959839357
6,996,3,1,0.9995,0.9997489959839357
7,996,3,1,0.9995,0.9997489959839357
8,996,3,1,0.9995,0.9997489959839357
9,995,4,1,0.9995,0.999748743718593
10,995,3,2,1.0,1.0
11,995,2,3,1.0,1.0
12,995,2,3,1.0,1.0
13,995,2,3,1.0,1.0
14,995,2,3,1.0,1.0
15,995,2,3,1.0,1.0
16,995,2,3,1.0,1.0
17,995,2,3,1.0,1.0
18,995,2,3,1.0,1.0
19,995,2,3,1.0,1.0
20,995,2,3,1.0,1.0
21,995,2,3,1.0,1.0
22,995,2,3,1.0,1.0
23,995,2,3,1.0,1.0
24,995,2,3,1.0,1.0
25,995,2,3,1.0,1.0
26,995,2,3,1.0,1.0
27,995,2,3,1.0,1.0
28,995,2,3,1.0,1.0
29,995,2,3,1.0,1.0
30,995,2,3,1.0,1.0
31,995,2,3,1.0,1.0
32,995,2,3,1.0,1.0
33,995,2,3,1.0,1.0
34,995,2,3,1.0,1.0
35,995,2,3,1.0,1.0
36,995,2,3,1.0,1.0
37,995,2,3,1.0,1.0
38,995,2,3,1.0,1.0
39,995,2,3,1.0,1.0
40,995,2,3,1.0,1.0
41,995,1,4,1.0,1.0
42,995,1,4,1.0,1.0
43,995,1,4,1.0,1.0
44,995,1,4,1.0,1.0
45,995,1,4,1.0,1.0
46,995,1,4,1.0,1.0
47,995,1,4,1.0,1.0
48,995,1,4,1.0,1.0
49,995,1,4,1.0,1.0
50,995,1,4,1.0,1.0
51,995,1,4,1.0,1.0
52,995,1,4,1.0,1.0
53,995,1,4,1.0,1.0
54,995,0,5,1.0,1.0
55,995,0,5,1.0,1.0
56,995,0,5,1.0,1.0
57,995,0,5,1.0,1.0
58,995,0,5,1.0,1.0
59,995,0,5,1.0,1.0
60,995,0,5,1.0,1.0
61,995,0,5,1.0,1.0
62,995,0,5,1.0,1.0
63,995,0,5,1.0,1.0
64,995,0,5,1.0,1.0
65,995,0,5,1.0,1.0
66,995,0,5,1.0,1.0
67,995,0,5,1.0,1.0
68,995,0,5,1.0,1.0
69,995,0,5,1.0,1.0
70,995,0,5,1.0,1.0
71,995,0,5,1.0,1.0
72,995,0,5,1.0,1.0
73,995,0,5,1.0,1.0
74,995,0,5,1.0,1.0
75,995,0,5,1.0,1.0
76,995,0,5,1.0,1.0
77,995,0,5,1.0,1.0
78,995,0,5,1.0,1.0
79,995,0,5,1.0,1.0
80,995,0,5,1.0,1.0
81,995,0,5,1.0,1.0
82,995,0,5,1.0,1.0
83,995,0,5,1.0,1.0
84,995,0,5,1.0,1.0
85,995,0,5,1.0,1.0
86,995,0,5,1.0,1.0
87,995,0,5,1.0,1.0
88,995,0,5,1.0,1.0
89,995,0,5,1.0,1.0
90,995,0,5,1.0,1.0
91,995,0,5,1.0,1.0
92,995,0,5,1.0,1.0
93,995,0,5,1.0,1.0
94,995,0,5,1.0,1.0
95,995,0,5,1.0,1.0
96,995,0,5,1.0,1.0
97,995,0,5,1.0,1.0
98,995,0,5,1.0,1.0
99,995,0,5,1.0,1.0
100,995,0,5,1.0,1.0
101,995,0,5,1.0,1.0
102,995,0,5,1.0,1.0
103,995,0,5,1.0,1.0
104,995,0,5,1.0,1.0
105,995,0,5,1.0,1.0
106,995,0,5,1.0,1.0
107,995,0,5,1.0,1.0
108,995,0,5,1.0,1.0
109,995,0,5,1.0,1.0
110,995,0,5,1.0,1.0
111,995,0,5,1.0,1.0
112,995,0,5,1.0,1.0
113,995,0,5,1.0,1.0
114,995,0,5,1.0,1.0
115,995,0,5,1.0,1.0
116,995,0,5,1.0,1.0
117,995,0,5,1.0,1.0
118,995,0,5,1.0,1.0
119,995,0,5,1.0,1.0
120,995,0,5,1.0,1.0
121,995,0,5,1.0,1.0
122,995,0,5,1.0,1.0
123,995,0,5,1.0,1.0
124,995,0,5,1.0,1.0
125,995,0,5,1.0,1.0
126,995,0,5,1.0,1.0
127,995,0,5,1.0,1.0
128,995,0,5,1.0,1.0
129,995,0,5,1.0,1.0
130,995,0,5,1.0,1.0
131,995,0,5,1.0,1.0
132,995,0,5,1.0,1.0
133,995,0,5,1.0,1.0
134,995,0,5,1.0,1.0
135,995,0,5,1.0,1.0
136,995,0,5,1.0,1.0
137,995,0,5,1.0,1.0
138,995,0,5,1.0,1.0
139,995,0,5,1.0,1.0
140,995,0,5,1.0,1.0
141,995,0,5,1.0,1.0
142,995,0,5,1.0,1.0
143,995,0,5,1.0,1.0
144,995,0,5,1.0,1.0
145,995,0,5,1.0,1.0
146,995,0,5,1.0,1.0
147,995,0,5,1.0,1.0
148,995,0,5,1.0,1.0
149,995,0,5,1.0,1.0
150,995,0,5,1.0,1.0
151,995,0,5,1.0,1.0
152,995,0,5,1.0,1.0
153,995,0,5,1.0,1.0
154,995,0,5,1.0,1.0
155,995,0,5,1.0,1.0
156,995,0,5,1.0,1.0
157,995,0,5,1.0,1.0
158,995,0,5,1.0,1.0
159,995,0,5,1.0,1.0
160,995,0,5,1.0,1.0
161,995,0,5,1.0,1.0
162,995,0,5,1.0,1.0
163,995,0,5,1.0,1.0
164,995,0,5,1.0,1.0
165,995,0,5,1.0,1.0
166,995,0,5,1.0,1.0
167,995,0,5,1.0,1.0
168,995,0,5,1.0,1.0
169,995,0,5,1.0,1.0
170,995,0,5,1.0,1.0
171,995,0,5,1.0,1.0
172,995,0,5,1.0,1.0
173,995,0,5,1.0,1.0
174,995,0,5,1.0,1.0
175,995,0,5,1.0,1.0
176,995,0,5,1.0,1.0
177,995,0,5,1.0,1.0
178,995,0,5,1.0,1.0
179,995,0,5,1.0,1.0
180,995,0,5,1.0,1.0
181,995,0,5,1.0,1.0
182,995,0,5,1.0,1.0
183,995,0,5,1.0,1.0
184,995,0,5,1.0,1.0
185,995,0,5,1.0,1.0
186,995,0,5,1.0,1.0
187,995,0,5,1.0,1.0
188,995,0,5,1.0,1.0
189,995,0,5,1.0,1.0
190,995,0,5,1.0,1.0
191,995,0,5,1.0,1.0
192,995,0,5,1.0,1.0
193,995,0,5,1.0,1.0
194,995,0,5,1.0,1.0
195,995,0,5,1.0,1.0
196,995,0,5,1.0,1.0
197,995,0,5,1.0,1.0
198,995,0,5,1.0,1.0
199,995,0,5,1.0,1.0
200,995,0,5,1.0,1.0
1,999,1,0,1.0,1.0
2,999,1,0,1.0,1.0
3,999,1,0,1.0,1.0
4,999,1,0,1.0,1.0
5,999,1,0,1.0,1.0
6,999,1,0,1.0,1.0
7,999,1,0,1.0,1.0
8,999,0,1,1.0,1.0
9,999,0,1,1.0,1.0
10,999,0,1,1.0,1.0
11,999,0,1,1.0,1.0
12,999,0,1,1.0,1.0
13,999,0,1,1.0,1.0
14,999,0,1,1.0,1.0
15,999,0,1,1.0,1.0
16,999,0,1,1.0,1.0
17,999,0,1,1.0,1.0
18,999,0,1,1.0,1.0
19,999,0,1,1.0,1.0
20,999,0,1,1.0,1.0
21,999,0,1,1.0,1.0
22,999,0,1,1.0,1.0
23,999,0,1,1.0,1.0
24,999,0,1,1.0,1.0
25,999,0,1,1.0,1.0
26,999,0,1,1.0,1.0
27,999,0,1,1.0,1.0
28,999,0,1,1.0,1.0
29,999,0,1,1.0,1.0
30,999,0,1,1.0,1.0
31,999,0,1,1.0,1.0
32,999,0,1,1.0,1.0
33,999,0,1,1.0,1.0
34,999,0,1,1.0,1.0
35,999,0,1,1.0,1.0
36,999,0,1,1.0,1.0
37,999,0,1,1.0,1.0
38,999,0,1,1.0,1.0
39,999,0,1,1.0,1.0
40,999,0,1,1.0,1.0
41,999,0,1,1.0,1.0
42,999,0,1,1.0,1.0
43,999,0,1,1.0,1.0
44,999,0,1,1.0,1.0
45,999,0,1,1.0,1.0
46,999,0,1,1.0,1.0
47,999,0,1,1.0,1.0
48,999,0,1,1.0,1.0
49,999,0,1,1.0,1.0
50,999,0,1,1.0,1.0
51,999,0,1,1.0,1.0
52,999,0,1,1.0,1.0
53,999,0,1,1.0,1.0
54,999,0,1,1.0,1.0
55,999,0,1,1.0,1.0
56,999,0,1,1.0,1.0
57,999,0,1,1.0,1.0
58,999,0,1,1.0,1.0
59,999,0,1,1.0,1.0
60,999,0,1,1.0,1.0
61,999,0,1,1.0,1.0
62,999,0,1,1.0,1.0
63,999,0,1,1.0,1.0
64,999,0,1,1.0,1.0
65,999,0,1,1.0,1.0
66,999,0,1,1.0,1.0
67,999,0,1,1.0,1.0
68,999,0,1,1.0,1.0
69,999,0,1,1.0,1.0
70,999,0,1,1.0,1.0
71,999,0,1,1.0,1.0
72,999,0,1,1.0,1.0
73,999,0,1,1.0,1.0
74,999,0,1,1.0,1.0
75,999,0,1,1.0,1.0
76,999,0,1,1.0,1.0
77,999,0,1,1.0,1.0
78,999,0,1,1.0,1.0
79,999,0,1,1.0,1.0
80,999,0,1,1.0,1.0
81,999,0,1,1.0,1.0
82,999,0,1,1.0,1.0
83,999,0,1,1.0,1.0
84,999,0,1,1.0,1.0
85,999,0,1,1.0,1.0
86,999,0,1,1.0,1.0
87,999,0,1,1.0,1.0
88,999,0,1,1.0,1.0
89,999,0,1,1.0,1.0
90,999,0,1,1.0,1.0
91,999,0,1,1.0,1.0
92,999,0,1,1.0,1.0
93,999,0,1,1.0,1.0
94,999,0,1,1.0,1.0
95,999,0,1,1.0,1.0
96,999,0,1,1.0,1.0
97,999,0,1,1.0,1.0
98,999,0,1,1.0,1.0
99,999,0,1,1.0,1.0
100,999,0,1,1.0,1.0
101,999,0,1,1.0,1.0
102,999,0,1,1.0,1.0
103,999,0,1,1.0,1.0
104,999,0,1,1.0,1.0
105,999,0,1,1.0,1.0
106,999,0,1,1.0,1.0
107,999,0,1,1.0,1.0
108,999,0,1,1.0,1.0
109,999,0,1,1.0,1.0
110,999,0,1,1.0,1.0
111,999,0,1,1.0,1.0
112,999,0,1,1.0,1.0
113,999,0,1,1.0,1.0
114,999,0,1,1.0,1.0
115,999,0,1,1.0,1.0
116,999,0,1,1.0,1.0
117,999,0,1,1.0,1.0
118,999,0,1,1.0,1.0
119,999,0,1,1.0,1.0
120,999,0,1,1.0,1.0
121,999,0,1,1.0,1.0
122,999,0,1,1.0,1.0
123,999,0,1,1.0,1.0
124,999,0,1,1.0,1.0
125,999,0,1,1.0,1.0
126,999,0,1,1.0,1.0
127,999,0,1,1.0,1.0
128,999,0,1,1.0,1.0
129,999,0,1,1.0,1.0
130,999,0,1,1.0,1.0
131,999,0,1,1.0,1.0
132,999,0,1,1.0,1.0
133,999,0,1,1.0,1.0
134,999,0,1,1.0,1.0
135,999,0,1,1.0,1.0
136,999,0,1,1.0,1.0
137,999,0,1,1.0,1.0
138,999,0,1,1.0,1.0
139,999,0,1,1.0,1.0
140,999,0,1,1.0,1.0
141,999,0,1,1.0,1.0
142,999,0,1,1.0,1.0
143,999,0,1,1.0,1.0
144,999,0,1,1.0,1.0
145,999,0,1,1.0,1.0
146,999,0,1,1.0,1.0
147,999,0,1,1.0,1.0
148,999,0,1,1.0,1.0
149,999,0,1,1.0,1.0
150,999,0,1,1.0,1.0
151,999,0,1,1.0,1.0
152,999,0,1,1.0,1.0
153,999,0,1,1.0,1.0
154,999,0,1,1.0,1.0
155,999,0,1,1.0,1.0
156,999,0,1,1.0,1.0
157,999,0,1,1.0,1.0
158,999,0,1,1.0,1.0
159,999,0,1,1.0,1.0
160,999,0,1,1.0,1.0
161,999,0,1,1.0,1.0
162,999,0,1,1.0,1.0
163,999,0,1,1.0,1.0
164,999,0,1,1.0,1.0
165,999,0,1,1.0,1.0
166,999,0,1,1.0,1.0
167,999,0,1,1.0,1.0
168,999,0,1,1.0,1.0
169,999,0,1,1.0,1.0
170,999,0,1,1.0,1.0
171,999,0,1,1.0,1.0
172,999,0,1,1.0,1.0
173,999,0,1,1.0,1.0
174,999,0,1,1.0,1.0
175,999,0,1,1.0,1.0
176,999,0,1,1.0,1.0
177,999,0,1,1.0,1.0
178,999,0,1,1.0,1.0
179,999,0,1,1.0,1.0
180,999,0,1,1.0,1.0
181,999,0,1,1.0,1.0
182,999,0,1,1.0,1.0
183,999,0,1,1.0,1.0
184,999,0,1,1.0,1.0
185,999,0,1,1.0,1.0
186,999,0,1,1.0,1.0
187,999,0,1,1.0,1.0
188,999,0,1,1.0,1.0
189,999,0,1,1.0,1.0
190,999,0,1,1.0,1.0
191,999,0,1,1.0,1.0
192,999,0,1,1.0,1.0
193,999,0,1,1.0,1.0
194,999,0,1,1.0,1.0
195,999,0,1,1.0,1.0
196,999,0,1,1.0,1.0
197,999,0,1,1.0,1.0
198,999,0,1,1.0,1.0
199,999,0,1,1.0,1.0
200,999,0,1,1.0,1.0
1,999,1,0,1.0,1.0
2,999,1,0,1.0,1.0
3,998,2,0,0.9995,0.999749498997996
4,998,2,0,0.9995,0.999749498997996
5,998,2,0,0.9995,0.999749498997996
6,998,2,0,0.9995,0.999749498997996
7,998,2,0,0.9995,0.999749498997996
8,998,2,0,0.9995,0.999749498997996
9,997,3,0,0.9985,0.999297893681043
10,996,4,0,0.998,0.9990461847389558
11,996,4,0,0.998,0.9990461847389558
12,996,4,0,0.998,0.9990461847389558
13,995,5,0,0.998,0.9990452261306533
14,994,6,0,0.9975,0.9988430583501007
15,994,5,1,0.998,0.9990945674044266
16,994,5,1,0.998,0.9990945674044266
17,993,6,1,0.9975,0.9988418932527694
18,993,4,3,0.9985,0.9992950654582075
19,992,5,3,0.998,0.9990927419354839
20,992,4,4,0.9985,0.9993447580645162
21,992,4,4,0.9985,0.9993447580645162
22,992,4,4,0.9985,0.9993447580645162
23,992,4,4,0.9985,0.9993447580645162
24,992,4,4,0.9985,0.9993447580645162
25,992,4,4,0.9985,0.9993447580645162
26,992,4,4,0.9985,0.9993447580645162
27,992,4,4,0.9985,0.9993447580645162
28,992,4,4,0.9985,0.9993447580645162
29,992,4,4,0.9985,0.9993447580645162
30,992,4,4,0.9985,0.9993447580645162
31,992,4,4,0.9985,0.9993447580645162
32,992,4,4,0.9985,0.9993447580645162
33,991,5,4,0.9995,0.9997477295660948
34,991,5,4,0.9995,0.9997477295660948
35,991,5,4,0.9995,0.9997477295660948
36,991,5,4,0.9995,0.9997477295660948
37,991,5,4,0.9995,0.9997477295660948
38,991,5,4,0.9995,0.9997477295660948
39,991,5,4,0.9995,0.9997477295660948
40,991,5,4,0.9995,0.9997477295660948
41,991,5,4,0.9995,0.9997477295660948
42,991,5,4,0.9995,0.9997477295660948
43,991,5,4,0.9995,0.9997477295660948
44,991,5,4,0.9995,0.9997477295660948
45,991,5,4,0.9995,0.9997477295660948
46,990,6,4,0.9995,0.9997474747474747
47,990,5,5,0.9995,0.9997474747474747
48,990,4,6,0.9995,0.9997474747474747
49,990,4,6,0.9995,0.9997474747474747
50,990,4,6,0.9995,0.9997474747474747
51,990,3,7,1.0,1.0
52,990,2,8,1.0,1.0
53,989,3,8,0.9995,0.999747219413549
54,989,3,8,0.9995,0.999747219413549
55,989,3,8,0.9995,0.999747219413549
56,988,4,8,0.9995,0.999746963562753
57,988,4,8,0.9995,0.999746963562753
58,988,4,8,0.9995,0.999746963562753
59,987,5,8,0.9985,0.9992401215805471
60,987,4,9,0.9995,0.9997467071935157
61,987,4,9,0.9995,0.9997467071935157
62,987,4,9,0.9995,0.9997467071935157
63,987,4,9,0.9995,0.9997467071935157
64,987,3,10,1.0,1.0
65,986,4,10,0.9995,0.9997464503042597
66,986,4,10,0.9995,0.9997464503042597
67,985,5,10,0.9985,0.999238578680203
68,985,5,10,0.9985,0.999238578680203
69,984,6,10,0.999,0.9994918699186992
70,984,5,11,0.999,0.9994918699186992
71,984,5,11,0.999,0.9994918699186992
72,983,6,11,0.999,0.9994913530010173
73,983,6,11,0.999,0.9994913530010173
74,983,6,11,0.999,0.9994913530010173
75,983,5,12,0.9995,0.9997456765005086
76,983,5,12,0.9995,0.9997456765005086
77,983,4,13,1.0,1.0
