day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std
1,497.76,499,494,1.013675336802783,2.14,6,0,1.0176334750032727,0.1,2,0,0.3324947575813722
2,495.235,499,486,2.9003162191137406,4.495,14,0,2.870745705304218,0.27,2,0,0.4983389494537966
3,490.19,499,470,6.399897926321702,9.165,28,0,6.138909188948045,0.645,4,0,0.8013650414438112
4,479.55,499,435,13.351359255515861,19.045,62,0,12.764310128844672,1.405,7,0,1.240430708144773
5,458.57,499,374,26.79374223798492,38.295,121,0,25.02015217930093,3.135,13,0,2.4529287181820854
6,420.75,499,283,48.57608134042885,73.15,204,0,45.07177413992713,6.1,21,0,4.300286305765906
7,360.26,499,171,77.43898489720502,128.185,303,0,70.855226274794,11.555,34,0,7.437307490857684
8,278.605,499,83,102.54862298137837,201.67,376,0,92.4368647772589,19.725,50,0,11.38231790120185
9,191.56,499,34,112.93239139027222,277.75,410,0,99.70880970941506,30.69,63,0,14.944248149834065
10,118.805,499,13,108.42734628363155,337.05,421,0,93.08070470263797,44.145,82,1,18.01462206209725
11,69.82,499,5,96.75393646309968,370.5,430,0,80.1111037542463,59.68,100,1,21.13031117260833
12,40.815,499,1,84.86010228487235,383.555,433,0,68.32428569019494,75.63,119,1,23.217847493061345
13,25.38,499,0,76.31392188432487,383.61,434,0,60.32498169983499,91.01,137,1,24.791388924869064
14,17.32,499,0,71.69013164218886,375.765,423,0,56.40752449004901,106.915,153,1,26.00961892035155
15,13.335,499,0,70.1571299972229,364.765,417,0,54.88113949583962,121.9,164,1,27.216422769014077
16,11.41,499,0,69.9241649519042,352.5,419,0,53.70962314232388,136.09,180,1,28.02963076826068
17,10.72,499,0,69.95060425168519,339.355,411,0,52.221301175692766,149.925,189,1,29.23341130767015
18,10.365,499,0,69.98601278058798,325.995,397,0,50.44789316337321,163.64,209,1,30.36975485660448
19,10.19,499,0,70.00756527676063,312.72,385,0,48.5860537923752,177.09,220,1,31.593872251104262
20,10.1,499,0,70.0190211055747,300.4,371,0,46.76166449487934,189.5,234,1,32.66319675277593
21,10.055,499,0,70.02506353166034,288.8,358,0,45.08517901521708,201.145,247,1,33.82684217091924
22,10.025,499,0,70.02917105745989,277.52,347,0,43.32939861017689,212.455,258,1,34.86064107962462
23,10.015,499,0,70.03053730894042,266.2,335,0,41.61899450392318,223.785,270,1,36.02356536083752
24,9.99,499,0,70.03394654267105,255.505,321,0,39.89987437166151,234.505,277,1,37.04214596766024
25,9.985,499,0,70.03462729322192,244.885,309,0,38.380425483591324,245.13,289,1,38.283695048057496
26,9.985,499,0,70.03462729322192,235.275,294,0,37.12276760118861,254.74,296,1,39.54137074002368
27,9.985,499,0,70.03462729322192,226.18,284,0,35.736157667327916,263.835,306,1,40.558014469256776
28,9.985,499,0,70.03462729322192,217.085,272,0,34.34275614299889,272.93,312,1,41.59006815147361
29,9.98,499,0,70.03530767839919,208.66,262,0,33.11218027270419,281.36,319,1,42.60960327739847
30,9.98,499,0,70.03530767839919,200.3,250,0,31.92437672290139,289.72,329,1,43.658123628873135
31,9.98,499,0,70.03530767839919,192.765,244,0,30.64990798185996,297.255,335,1,44.46838383395576
32,9.98,499,0,70.03530767839919,185.245,236,0,29.53925886122317,304.775,341,1,45.40310102751323
