day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std,V,T
1,497.695,494,499,1.1306488553794234,2.185,0,6,1.1477638298209376,0.12,0,2,0.3691631171110894,0.9996593459442128,0.997755690926579,1.0,0.0005114867807252917,0.9998401931946935,0.9988651825255376,1.0,0.00024773513477941274,0.01,2
2,494.96,484,499,3.092932452508285,4.7,0,15,3.0175366838186006,0.34,0,2,0.5346299147341488,0.9977741263225393,0.9838089131131773,1.0,0.0028091263969322136,0.9989104451412842,0.9916770385484774,1.0,0.0014031827192634656,0.01,2
3,490.095,467,499,6.138761844616934,9.22,0,30,5.871453810535021,0.685,0,4,0.7866824942336447,0.9917289195254889,0.9519076627124078,1.0,0.008891699039098918,0.9958604874422877,0.9746909748303746,1.0,0.004541711564010567,0.01,2
4,481.58,448,499,10.627715733333421,17.06,0,47,10.000321602868778,1.36,0,7,1.2563007033693934,0.976445976274447,0.8998076306508497,1.0,0.020926237744855004,0.9878566399071308,0.944207933252272,1.0,0.01111666845394274,0.01,2
5,469.095,434,499,15.639338847853827,28.445,0,61,14.615575604513708,2.46,0,9,1.8481010218423326,0.9481700865662072,0.8616543764026932,1.0,0.036423105453812936,0.9723004356381854,0.9214153071820881,1.0,0.0202635745219888,0.01,2
6,452.975,409,499,20.60454101776508,42.8,0,85,18.830905848508113,4.225,0,13,2.622740712350557,0.9093122795767874,0.7927220262904777,1.0,0.05067632579026693,0.9494601444621137,0.875199222507034,1.0,0.02984537135720371,0.01,2
7,435.19,388,499,24.895639464002695,58.105,0,100,22.200864101069822,6.705,0,18,3.718482291575936,0.8667176979801218,0.7571336966976595,1.0,0.0607268539001405,0.9222862056781399,0.8445032806263192,1.0,0.03817512085907063,0.01,2
8,415.735,367,499,27.774663538436737,74.38,0,115,24.067442927017115,9.885,0,23,4.97953348907749,0.8232654697018275,0.7112856684834883,1.0,0.06390270487737149,0.8919575975174909,0.8080523678444568,1.0,0.04336098916081578,0.01,2
9,396.57,349,499,30.0402594184812,89.83,0,132,25.66641627931558,13.6,1,28,5.7981109382506055,0.784867746072459,0.6821096505290157,1.0,0.06434531052468963,0.8620085987015326,0.7777415376909544,1.0,0.04715045171000339,0.01,2
10,378.325,321,499,32.04832053706138,103.615,0,161,26.758303553200577,18.06,1,36,6.919958753181165,0.7543699903815326,0.6546970182750882,1.0,0.0627796052657518,0.8347151083808991,0.7347493017501079,1.0,0.049640065723725355,0.01,2
11,360.12,304,499,33.222042691607854,116.67,0,175,26.93676011004535,23.21,1,41,8.012922979373187,0.7293379288233407,0.6407502404616865,1.0,0.058706092329498125,0.8086255308373034,0.7081296818358457,1.0,0.049989873995429875,0.01,2
12,342.775,283,499,34.37473617989214,128.6,0,190,27.245764043084886,28.625,1,51,9.226593365139061,0.710139467778134,0.6194293042641872,1.0,0.05599855320752544,0.7845956366864912,0.6654279689402828,1.0,0.05048831920720064,0.01,2
13,326.32,267,499,35.376902438323405,139.205,0,198,27.26499356999483,34.475,1,61,10.53109179868649,0.69707358127605,0.6274446938121193,1.0,0.05320349173291174,0.7634752706812479,0.6534706787904708,1.0,0.050375745074839086,0.01,2
14,310.54,249,499,36.620262397891864,149.025,0,212,27.808468667804075,40.435,1,68,11.613359790695405,0.6882045527412631,0.6245591535748637,1.0,0.05151072362158495,0.7439314865748043,0.6266141975329423,1.0,0.051273919101077106,0.01,2
15,295.47,238,499,37.82781805887668,156.99,0,210,28.005740617553545,47.54,1,77,12.617225204429717,0.6847459121513306,0.6418723949983969,1.0,0.04987745352569738,0.7275179068595259,0.6303379500958596,1.0,0.05152890459486971,0.01,2
16,281.26,222,499,38.8997216147949,164.285,0,219,28.171473775316873,54.455,1,85,13.668287582105362,0.6841607887143316,0.6415517794164797,1.0,0.04872133315823838,0.7129078502551838,0.6072361976503108,1.0,0.05190480573538535,0.01,2
17,268.2,215,499,40.00741137369576,170.395,0,218,28.47936703534102,61.405,1,92,14.630146304959583,0.686627925617185,0.6377043924334722,1.0,0.047705140566020675,0.7009135696782651,0.6073850326118767,1.0,0.05221020837184433,0.01,2
18,255.42,204,499,41.137025589751374,176.33,0,221,28.982079023469193,68.25,1,99,15.403370381039256,0.6898549214491824,0.6470022443090734,1.0,0.04708691931679663,0.6886060338270277,0.6016739289462055,1.0,0.053152827952803586,0.01,2
19,243.04,187,499,42.201340806059065,180.98,0,231,29.151649927016766,75.98,1,108,16.407793221270182,0.6962640269317089,0.6588650208400129,1.0,0.04608025395352093,0.6790257054212173,0.5745404561968906,1.0,0.05355570113132866,0.01,2
20,231.48,173,499,43.370318451829064,185.255,0,233,29.450238671171142,83.265,1,114,17.448985946259562,0.7035748637383777,0.6603077909586406,1.0,0.04552185274731923,0.670639426756728,0.5681469208672326,1.0,0.05395484893226674,0.01,2
21,220.01,162,499,44.54515974021651,188.77,0,232,29.719747931054645,91.22,1,124,18.40285099171092,0.7126835524206476,0.6554985572298814,1.0,0.04476382506476952,0.6633380836320311,0.5815857385115819,1.0,0.054205174370823866,0.01,2
22,209.32,153,499,45.429249205958534,191.575,0,226,29.891501876321147,99.105,1,131,19.070458487793974,0.7227709201667202,0.6593459442128887,1.0,0.04374420903516026,0.6578451128764484,0.5904143479431735,1.0,0.05450650943346367,0.01,2
23,199.09,146,499,46.52801501143717,193.815,0,231,30.08064161549751,107.095,1,140,20.102900488243016,0.7331732927220262,0.6748957999358769,1.0,0.04270532225756236,0.6529488501047389,0.5859462714298325,1.0,0.05492772329412309,0.01,2
24,189.58,137,499,47.54773956444661,195.14,0,231,30.18053550913389,115.28,1,149,21.181000303794598,0.7444878166078871,0.6784225713369669,1.0,0.041655591773624136,0.6502162827439172,0.5848196941085405,1.0,0.05532084157563515,0.01,2
25,180.625,131,499,48.36548849527868,195.84,0,232,30.107085261024086,123.535,1,158,22.191237688573256,0.7563401731324143,0.6907662712407823,1.0,0.04009720021050824,0.6490466818905982,0.580870776677799,1.0,0.05507919024156421,0.01,2
26,171.935,125,499,49.32683303523991,196.5,0,230,30.12369807858338,131.565,1,166,23.2719507877474,0.7677148124398846,0.6944533504328311,1.0,0.0389131831716793,0.647366944947115,0.5795166267413807,1.0,0.05542778858182351,0.01,2
27,163.66,118,499,50.21936201912604,196.6,0,227,30.204495655265365,139.74,1,174,24.298445883673494,0.77957358127605,0.7124078230201988,1.0,0.03737930686313565,0.6474144370217446,0.5836622420657472,1.0,0.055520065658252175,0.01,2
28,155.84,109,499,51.1223225146949,196.095,0,227,30.203264075328345,148.065,1,186,25.40487776137393,0.7916054825264507,0.7204232125681308,1.0,0.0359762382129263,0.6490638624402674,0.5847738893051412,1.0,0.055426492616534505,0.01,2
29,148.645,96,499,51.966542918637295,194.785,0,228,29.83705791671875,156.57,1,196,26.50922092347961,0.803453831356204,0.7269958319974351,1.0,0.03445308003802237,0.6520969003614253,0.5733064409700347,1.0,0.05462865619930937,0.01,2
30,141.825,87,499,52.79927263660714,193.74,0,230,29.91062734448582,164.435,1,202,27.493183714400356,0.8140084963129207,0.7311638345623598,1.0,0.033140270771038045,0.6538366577687021,0.5606082983470858,1.0,0.05512397108047842,0.01,2
31,135.305,85,499,53.61243738360581,192.295,0,221,29.790187163834357,172.4,1,211,28.53984255501993,0.8247298813722347,0.7487976915678102,1.0,0.03165409222677902,0.6567266265313044,0.5745425646131485,1.0,0.05514737144391747,0.01,2
32,128.845,80,499,54.4273151844821,190.875,0,223,29.522317169478352,180.28,1,222,29.374750720635866,0.8350304584802821,0.760019236934915,1.0,0.030071960524271125,0.6595162135354597,0.5854355730010776,1.0,0.054687726508588316,0.01,2
33,122.835,76,499,55.23315382455574,188.835,0,220,29.08707729089729,188.33,1,228,30.31975490811961,0.8450657261942931,0.7731644757935235,1.0,0.02862455210125543,0.6632166654337323,0.5833076233482943,1.0,0.053653744578725376,0.01,2
34,117.32,75,499,55.871600826309525,186.695,0,216,28.8608161447786,195.985,1,236,31.269050876442794,0.8545607566527734,0.7898364860532222,1.0,0.027098785685741256,0.6677519122970403,0.6016533337053419,1.0,0.05310531231970835,0.01,2
35,111.99,70,499,56.58159847894154,184.47,0,211,28.53084551373554,203.54,1,244,32.3062979064781,0.8636013145238859,0.8021801859570376,1.0,0.02604526410418656,0.6721903391204281,0.6067851593525052,1.0,0.05269228766672,0.01,2
36,106.5,64,499,57.2871634441555,182.2,0,212,28.50090362668679,211.3,1,254,33.468052718433114,0.8729023725553061,0.8172491183071497,1.0,0.02478128313001044,0.677189467347688,0.6089109079128914,1.0,0.0527071392847251,0.01,2
