day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std,V,T,network
18,253.25,202,499,28.362810098005426,178.77666666666667,0,217,19.96736774852673,67.97333333333333,1,102,13.023234532218154,0.6834999199102996,0.6328688130706391,1.0,0.0309558492849995,0.6843567903351584,0.6076869310412005,1.0,0.03817816443410331,0.01,3,Erdos-Renyi
19,240.75333333333333,195,499,28.456605857785878,183.66666666666666,0,219,19.69352699681131,75.58,1,109,13.597791479147196,0.6893704949543489,0.6271023546371937,1.0,0.030790684584712458,0.6742006083831821,0.6018673169920713,1.0,0.03723686132386175,0.01,3,Erdos-Renyi
20,229.04333333333332,185,499,28.753504173050896,187.41666666666666,0,221,19.50841655826851,83.54,1,118,14.443121055346655,0.6977024934593411,0.6341502482780714,1.0,0.030938561715378888,0.666701288113999,0.5907762648289705,1.0,0.037044090325466995,0.01,3,Erdos-Renyi
21,217.72666666666666,174,499,29.09686203280478,190.84333333333333,0,225,19.68630550162302,91.43,1,126,15.008752184657734,0.7070756580703721,0.6460035239468205,1.0,0.030768980662516435,0.6600323516629275,0.5917164469688716,1.0,0.0373283456035635,0.01,3,Erdos-Renyi
22,207.09,165,499,29.52390166002403,193.57333333333332,0,223,19.773245214428556,99.33666666666667,1,132,15.678735004031559,0.7171626888782103,0.6535319557904854,1.0,0.030814219435154683,0.6545496646259547,0.5817691612475446,1.0,0.037758821033514224,0.01,3,Erdos-Renyi
23,196.59666666666666,156,499,29.949913409999102,196.02,0,230,19.768719590491727,107.38333333333334,1,141,16.092221335599863,0.7279801377542848,0.6594585936248598,1.0,0.03028452072958812,0.6496831940503253,0.5712122595395529,1.0,0.03775855387046551,0.01,3,Erdos-Renyi
24,186.86,148,499,30.219272240008003,197.59666666666666,0,227,19.685503610445902,115.54333333333334,1,150,16.832882760507356,0.7392679801377543,0.6665064872657376,1.0,0.02991538927933813,0.646527695777101,0.5835559436110668,1.0,0.037528351867909336,0.01,3,Erdos-Renyi
25,177.54333333333332,138,499,30.723409345779263,198.65333333333334,0,233,19.858188429829248,123.80333333333333,1,157,17.39866952460188,0.750951999572855,0.671792407496396,1.0,0.0294600314774969,0.6444725748722389,0.5419109833768238,1.0,0.03820773048165924,0.01,3,Erdos-Renyi
26,168.67333333333335,129,499,31.100655805421727,199.31666666666666,0,241,19.80784924876402,132.01,1,164,17.75351206481274,0.7626894121415986,0.6847669389716482,1.0,0.02857882664483639,0.6431315021863698,0.5339646790534383,1.0,0.038005470950217224,0.01,3,Erdos-Renyi
27,160.58333333333334,122,499,31.389393681217726,198.75666666666666,0,228,19.666724580909754,140.66,1,173,18.301572569821097,0.7749709007421646,0.6991830850552619,1.0,0.027743420325937837,0.6442913314987063,0.5626637160360539,1.0,0.03781897451537045,0.01,3,Erdos-Renyi
28,152.79,113,499,31.693756704543887,198.71333333333334,0,234,19.697829928748376,148.49666666666667,1,182,18.846412916563917,0.7859981846334562,0.711516898926798,1.0,0.026881166253570683,0.6441619861675468,0.5711569450724077,1.0,0.0379762164179026,0.01,3,Erdos-Renyi
29,145.25,106,499,32.12653962839733,197.78333333333333,0,232,19.822702152438833,156.96666666666667,1,193,19.417406481568474,0.7978210262160286,0.7230498157936889,1.0,0.02601179267313466,0.6460167879768134,0.576412961342526,1.0,0.038366872066988016,0.01,3,Erdos-Renyi
30,138.31666666666666,95,499,32.508857381484866,196.37666666666667,0,228,19.80865294073892,165.30666666666667,1,201,20.04725076161865,0.8090453307704629,0.7345827326605798,1.0,0.02530537148465055,0.6485789033188286,0.5768014418067001,1.0,0.038483535858727415,0.01,3,Erdos-Renyi
31,131.35666666666665,90,499,32.897064383300524,195.40333333333334,0,231,19.9229449296816,173.24,1,208,20.557181853369602,0.8197517219285599,0.7592503604036521,1.0,0.024336650563970757,0.6503539230126989,0.577095143317445,1.0,0.03877805443125167,0.01,3,Erdos-Renyi
32,124.84,85,499,33.211409571900255,193.25,0,228,19.9007781229696,181.91,1,215,21.031793896742382,0.8311356719525869,0.7762293769021303,1.0,0.023148612484998277,0.6547464357869263,0.5868051172712224,1.0,0.03867268596944124,0.01,3,Erdos-Renyi
33,119.08666666666667,81,499,33.485171013673195,191.09,0,222,19.52329626343785,189.82333333333332,1,226,21.374009524796914,0.8408030327299909,0.7842383469485824,1.0,0.022224890873429375,0.658601360998061,0.5962864024152945,1.0,0.038015830793510855,0.01,3,Erdos-Renyi
34,113.44333333333333,79,499,33.73346425917901,188.93,0,216,19.250985293813116,197.62666666666667,1,236,21.779849134385927,0.8503235623898767,0.7952907256126862,1.0,0.021145867367173946,0.6626588573188105,0.5954428443475606,1.0,0.03753321228239273,0.01,3,Erdos-Renyi
35,107.68333333333334,75,499,34.08394695977485,186.95666666666668,0,217,19.01877585454895,205.36,1,242,22.219723679680126,0.8597335682631213,0.8032996956591383,1.0,0.020434656344963963,0.666423319439253,0.6015269279376277,1.0,0.03694757624096975,0.01,3,Erdos-Renyi
36,102.31,73,499,34.4263146026952,184.60333333333332,0,215,18.897876990233996,213.08666666666667,1,252,22.712964390266936,0.8687655507501736,0.8093865128944417,1.0,0.019789029884997537,0.671066246424703,0.6059213631226292,1.0,0.0367760369395207,0.01,3,Erdos-Renyi
37,97.41666666666667,70,499,34.66692527345441,182.06,0,213,18.61948847768296,220.52333333333334,1,266,23.23867989005249,0.8769400395109189,0.8196379945539004,1.0,0.019045705648565843,0.6757371449025706,0.6025544195379792,1.0,0.036231071100656195,0.01,3,Erdos-Renyi
38,92.77,66,499,34.94731486185329,179.22666666666666,0,210,18.51877711698545,228.00333333333333,1,272,23.663682902652326,0.8850728816274227,0.8348550376421592,1.0,0.018171614308112975,0.6813904458626309,0.6187120843648637,1.0,0.03622243957096241,0.01,3,Erdos-Renyi
39,88.3,63,499,35.210641824012015,176.42333333333335,0,205,18.372150352753188,235.27666666666667,1,277,24.000978008686786,0.8927614928720167,0.8457472369053339,1.0,0.017343364664183618,0.6870309259330803,0.6204422140622134,1.0,0.03585672361380556,0.01,3,Erdos-Renyi
40,84.04333333333334,59,499,35.4320885434478,173.21666666666667,0,203,17.959720508907772,242.74,1,285,24.36042901248334,0.9001073201986225,0.8563190773666507,1.0,0.016602037995424847,0.6931437637137116,0.6229901804162371,1.0,0.03525667650358812,0.01,3,Erdos-Renyi
41,79.76,55,499,35.67208139854395,170.23,0,203,17.778376441517967,250.01,1,294,24.780978383270245,0.9073132575150835,0.8598430241870896,1.0,0.0156930402590369,0.6992547391993511,0.62561111378099,1.0,0.034906140360924966,0.01,3,Erdos-Renyi
42,76.05333333333333,52,499,35.93496292968843,167.02666666666667,0,200,17.640196825309935,256.92,1,300,25.24144810309299,0.9136547599978642,0.8712157616530514,1.0,0.014925648636052774,0.7056197669006194,0.6334849976757957,1.0,0.034630131394358464,0.01,3,Erdos-Renyi
43,72.35333333333334,49,499,36.14808573858515,163.89,0,199,17.39885918683591,263.75666666666666,1,304,25.640767384429626,0.9197474504778687,0.881307063911581,1.0,0.014190065374965963,0.7118554247485599,0.6436733130360955,1.0,0.03459591929685348,0.01,3,Erdos-Renyi
44,68.92,45,499,36.32674461855809,160.77666666666667,0,191,17.25531634102909,270.30333333333334,1,308,26.108430747094083,0.9254007154679909,0.8875540605478136,1.0,0.013526652709483354,0.7182778625927035,0.6476584357365895,1.0,0.03477154747457178,0.01,3,Erdos-Renyi
45,65.66333333333333,39,499,36.531792937197075,157.54,0,188,16.950500431637504,276.7966666666667,1,314,26.48117881932548,0.9308735116663996,0.8921992631747557,1.0,0.01287137294967117,0.7253963773894675,0.6513663413609174,1.0,0.03454220919341128,0.01,3,Erdos-Renyi
46,62.68,38,499,36.729021268534794,154.13,0,186,16.8028037555291,283.19,1,323,26.945638945736288,0.9357274814458859,0.8995675156174916,1.0,0.01227523899672515,0.7320183729637693,0.6599460517060951,1.0,0.034269400964466505,0.01,3,Erdos-Renyi
47,59.9,38,499,36.88012761242875,150.61666666666667,0,179,16.42281192103028,289.48333333333335,1,327,27.31660750730067,0.940309146243793,0.9048534358481499,1.0,0.011762311720927707,0.7391268258372649,0.6704587466467283,1.0,0.033622088522306755,0.01,3,Erdos-Renyi
48,57.16,35,499,37.050553911520694,147.24,0,178,16.15339512031584,295.6,1,335,27.573434939834243,0.944677238507128,0.9106198942815954,1.0,0.01110206413698373,0.7460251222970772,0.6791648450786504,1.0,0.033169263826181794,0.01,3,Erdos-Renyi
49,54.46333333333333,33,499,37.18545210675138,143.87666666666667,0,173,15.863172961619519,301.66,1,340,27.973310260970585,0.9488467083133109,0.9173474291206151,1.0,0.010493588804570261,0.7528540361882529,0.6867260699435072,1.0,0.03264684971720978,0.01,3,Erdos-Renyi
50,51.89333333333333,30,499,37.359887037038646,140.53333333333333,0,170,15.700442729273798,307.5733333333333,1,344,28.4196565511238,0.9526653852314593,0.9202306583373379,1.0,0.010015618268600911,0.7593718797941439,0.6891579103763599,1.0,0.03237416253628768,0.01,3,Erdos-Renyi
51,49.306666666666665,29,499,37.51119282979328,137.28666666666666,0,165,15.429345565214087,313.4066666666667,1,349,28.752221764765537,0.9564376101233382,0.9251962197661381,1.0,0.00943075375797533,0.7662277570477365,0.6988970730614398,1.0,0.03193594895476263,0.01,3,Erdos-Renyi
52,47.11666666666667,26,499,37.65087449257642,133.74333333333334,0,163,15.292820431323468,319.14,1,357,29.150521602520197,0.95975919696727,0.9296812429921512,1.0,0.008884478619644436,0.7734965311942235,0.7084041248523264,1.0,0.031521150229459026,0.01,3,Erdos-Renyi
53,44.96,25,499,37.776119228243765,130.32333333333332,0,161,15.021905595316607,324.71666666666664,1,365,29.507491065583793,0.9629216722729458,0.9336857280153772,1.0,0.008455111637744381,0.7807236920489243,0.7163930899185781,1.0,0.03159381925084757,0.01,3,Erdos-Renyi
54,42.873333333333335,23,499,37.93936310921235,127.12,0,157,14.78221836982225,330.00666666666666,1,371,29.797532313860156,0.9658465481339099,0.9384911100432485,1.0,0.007964475577539943,0.787394137882298,0.7190147982029265,1.0,0.031399437850838374,0.01,3,Erdos-Renyi
55,41.03,23,499,38.07626258675148,123.61666666666666,0,153,14.482940797227913,335.35333333333335,1,379,30.04013740102504,0.9685124672967057,0.9436168508729778,1.0,0.007472166414992166,0.7944805159278558,0.7272633992388329,1.0,0.03089932585698604,0.01,3,Erdos-Renyi
56,39.24,21,499,38.18388530505986,120.42666666666666,0,151,14.24480033829239,340.3333333333333,1,383,30.371758283417005,0.9709108868599498,0.9463399006887714,1.0,0.007028250479724513,0.8007885590402256,0.7339085099580174,1.0,0.030491063074019897,0.01,3,Erdos-Renyi
57,37.486666666666665,21,499,38.30710905610528,117.24,0,145,13.88349998762396,345.2733333333333,1,387,30.561719266165348,0.9732681937102889,0.9535479737305782,1.0,0.006448494897441675,0.807474255528883,0.7475400550689267,1.0,0.02906655144573348,0.01,3,Erdos-Renyi
58,35.81333333333333,19,499,38.42133720644463,114.28,0,142,13.651966425792649,349.9066666666667,1,388,30.933923897795523,0.9753126167974797,0.9556303059426557,1.0,0.0062059234639262936,0.8133192434629345,0.7509540311534197,1.0,0.029468292807687514,0.01,3,Erdos-Renyi
59,34.12,17,499,38.539632556525156,111.25333333333333,0,136,13.418744273657962,354.62666666666667,1,389,31.27257374202498,0.9772993753003364,0.9589940733621656,1.0,0.005918549358017924,0.8192762948205092,0.7506596208646239,1.0,0.028936012476013087,0.01,3,Erdos-Renyi
60,32.63333333333333,17,499,38.64380114297958,108.28666666666666,0,135,13.170777761584128,359.08,1,393,31.573351449270145,0.9791115382561802,0.9615569437770303,1.0,0.005605401816487795,0.8252017062910392,0.7495037552757029,1.0,0.028822415374528638,0.01,3,Erdos-Renyi
61,31.26,16,499,38.714188112422214,105.29333333333334,0,133,12.90279929528486,363.44666666666666,1,399,31.80448984241075,0.9807272144802179,0.9666826846067595,1.0,0.0052020422915894475,0.8308433578686394,0.769295793303035,1.0,0.028443994490301567,0.01,3,Erdos-Renyi
62,29.95,15,499,38.80300345234987,102.29333333333334,0,130,12.624786718509279,367.75666666666666,1,402,32.083880274479164,0.9823151262747611,0.9674835816114048,1.0,0.004925352804671956,0.8374222386912479,0.7795922002845215,1.0,0.028152905703910203,0.01,3,Erdos-Renyi
63,28.713333333333335,13,499,38.887512360837256,99.40333333333334,0,125,12.381639858037227,371.8833333333333,1,407,32.30554984402275,0.9837353836296653,0.9690853756206952,1.0,0.004640133825340713,0.8432641499460453,0.7782302246800652,1.0,0.02785545986457078,0.01,3,Erdos-Renyi
64,27.54,11,499,38.970468194574565,96.59,0,122,12.212523042498027,375.87,1,409,32.60126646697695,0.9850082759357146,0.9706871696299856,1.0,0.004447349369285204,0.8487064384216881,0.7902944645398948,1.0,0.02785647806882884,0.01,3,Erdos-Renyi
65,26.313333333333333,11,499,39.04112173306683,93.81,0,121,12.047032968514765,379.87666666666667,1,410,32.91422096949865,0.9862181643440654,0.9726093224411341,1.0,0.004196025082948247,0.8536833435657657,0.7900278744830441,1.0,0.028257601521998896,0.01,3,Erdos-Renyi
66,25.19,10,499,39.117188226094676,91.19,0,117,11.821720556800386,383.62,1,413,33.116025887303586,0.9873703881680815,0.9737305782476373,1.0,0.00392157574570589,0.8589806737854431,0.7880677679851985,1.0,0.028209727736437346,0.01,3,Erdos-Renyi
67,24.17,10,499,39.176059596199174,88.44333333333333,0,116,11.541119834994689,387.38666666666666,1,419,33.33899795792235,0.9883998077847189,0.9753323722569277,1.0,0.003689503691131124,0.8644077004769873,0.7783513803841945,1.0,0.028529584627559036,0.01,3,Erdos-Renyi
68,23.223333333333333,10,499,39.25024920214296,85.81666666666666,0,114,11.228087789419531,390.96,1,423,33.54742661927915,0.9893624859843025,0.9772545250680762,1.0,0.003483272384197341,0.8697727393513595,0.7845469502469256,1.0,0.028003855543985226,0.01,3,Erdos-Renyi
69,22.153333333333332,9,499,39.327071474044914,83.39,0,111,11.171417482212048,394.45666666666665,1,425,33.81695942429733,0.9903299695659138,0.9780554220727214,1.0,0.0032406055475685297,0.8749125044860212,0.8036090169192106,1.0,0.028000220757531412,0.01,3,Erdos-Renyi
70,21.133333333333333,8,499,39.38909185819851,81.05333333333333,0,111,11.055522185384422,397.81333333333333,1,427,34.03959658998502,0.9912125580650327,0.980297933685728,1.0,0.0029939050024133528,0.8797932951998411,0.8021794726047431,1.0,0.027703989758716293,0.01,3,Erdos-Renyi
71,20.2,7,499,39.454643533062985,78.58666666666667,0,109,10.930725414285053,401.2133333333333,1,431,34.29150789824412,0.9920358801858081,0.9820599070959475,1.0,0.002826335449608,0.8850187811471303,0.805707254968645,1.0,0.027974802283023868,0.01,3,Erdos-Renyi
72,19.343333333333334,6,499,39.5170526108123,76.12,0,105,10.74167329378908,404.5366666666667,1,433,34.50406387129401,0.9927652303913717,0.983982059907096,1.0,0.0026455711226864593,0.8899384254491497,0.8082449050349568,1.0,0.028391295867748318,0.01,3,Erdos-Renyi
73,18.59,6,499,39.57384063843505,73.92,0,100,10.533920365223466,407.49,1,435,34.668567877289185,0.9934022104757328,0.9854236745154573,1.0,0.0024955260618621327,0.8947640016554432,0.8103351202779663,1.0,0.028424785381642698,0.01,3,Erdos-Renyi
74,17.843333333333334,5,499,39.62169082081881,71.80666666666667,0,98,10.251484380105188,410.35,1,437,34.81995016891731,0.993980992044423,0.9868652891238187,1.0,0.002312316543389516,0.8992411334252163,0.810097898871419,1.0,0.02832153456301234,0.01,3,Erdos-Renyi
