day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std
1,497.61,499,494,1.2021337812991908,2.305,6,0,1.1870215248690787,0.085,1,0,0.27958152504364203
2,494.735,499,486,3.0166664353072874,4.91,14,0,2.8937465065587737,0.355,3,0,0.5661959814827691
3,488.65,499,464,7.254005997728108,10.52,33,0,6.811134838552582,0.83,5,0,0.9929905088941025
4,476.46,499,432,15.244354750490226,21.845,65,0,14.418405845851284,1.695,6,0,1.436066304931915
5,452.755,499,369,30.35774925284305,43.72,121,0,28.460703756081948,3.525,11,0,2.5831644727866903
6,410.06,499,282,54.36473139913875,82.905,204,0,50.440830304516645,7.035,21,0,4.728165898508542
7,344.245,499,166,85.4267735737227,142.63,300,0,78.27982983370602,13.125,37,0,8.162259946680571
8,262.145,499,79,109.93037529300214,215.88,381,0,99.06358345950946,21.975,51,0,12.061999592557374
9,178.29,499,32,117.69821685674037,287.515,422,0,102.8990322070413,34.195,71,0,16.564688937556
10,110.72,499,13,108.37827667144073,340.42,426,0,91.16732421775427,48.86,83,1,19.668877029919376
11,63.945,499,2,91.2879478469669,371.94,427,0,73.39626323789534,64.115,98,1,21.896783339180555
12,36.145,499,1,73.53243549857274,383.395,426,0,56.77876465350307,80.46,119,1,23.82660140837058
13,20.77,499,0,60.25763030563227,382.575,418,0,45.79794354734531,96.655,138,1,24.496661140554963
14,12.495,499,0,52.927939777070726,375.295,418,0,41.24675074761866,112.21,155,1,25.23947414817475
15,8.495,499,0,50.2513278906525,364.555,420,0,40.5293736150479,126.95,167,1,25.529517845173547
16,6.64,499,0,49.78375751751583,351.73,419,0,40.28674981995044,141.63,178,1,25.97511565259775
17,5.725,499,0,49.726987051359046,338.535,414,0,39.6109062566405,155.74,194,1,26.280137521343065
18,5.41,499,0,49.74125917507124,325.325,400,0,38.250291489019716,169.265,208,1,26.4064628719379
19,5.19,499,0,49.75622887194919,312.525,390,0,37.239404415296846,182.285,223,1,27.1230913692952
20,5.105,499,0,49.76400562938445,300.485,370,0,35.71790332718946,194.41,235,1,27.224580601815042
21,5.06,499,0,49.76806911582553,288.475,356,0,34.53451226944493,206.465,244,1,27.892268970840455
22,5.035,499,0,49.770364888209606,276.85,336,0,33.13164695801815,218.115,256,1,28.26919723944799
23,5.02,499,0,49.77173624300459,265.66,324,0,31.91578743251035,229.32,267,1,28.855516006824427
24,5.01,499,0,49.772647934503745,254.595,309,0,30.821922873958417,240.395,280,1,29.575199698158084
25,4.995,499,0,49.77401165448597,244.185,304,0,29.797655551769665,250.82,291,1,30.270930712998506
26,4.995,499,0,49.77401165448597,234.67,292,0,28.743207194030994,260.335,301,1,30.822441328474234
27,4.995,499,0,49.77401165448597,225.77,277,0,27.58134793241339,269.235,308,1,31.207037200834563
28,4.995,499,0,49.77401165448597,216.745,264,0,26.675228472692627,278.26,320,1,31.86328206130989
29,4.99,499,0,49.77446520993143,207.91,258,0,25.88497750243387,287.1,327,1,32.59080858187015
30,4.99,499,0,49.77446520993143,199.7,249,0,24.918964141178638,295.31,333,1,33.09729679711597
31,4.99,499,0,49.77446520993143,191.535,238,0,24.04244101270181,303.475,340,1,33.68102480864864
