,day,s,s,s,i,i,i,r,r,r,V,T
,,mean,max,min,mean,max,min,mean,max,min,,
0,1,498.3,499,497,1.7,3,1,0.0,0,0,0.01,7
1,2,496.4,499,492,3.4,7,1,0.2,1,0,0.01,7
2,3,491.9,499,486,7.6,13,0,0.5,1,0,0.01,7
3,4,483.0,499,465,16.4,33,0,0.6,2,0,0.01,7
4,5,466.0,499,428,32.7,68,0,1.3,4,0,0.01,7
5,6,431.0,499,368,64.9,122,0,4.1,10,0,0.01,7
6,7,374.0,499,280,118.6,209,0,7.4,11,1,0.01,7
7,8,297.4,499,158,188.5,318,0,14.1,24,1,0.01,7
8,9,221.3,499,76,252.5,375,0,26.2,49,1,0.01,7
9,10,158.8,499,33,302.5,410,0,38.7,72,1,0.01,7
10,11,111.9,499,12,335.4,419,0,52.7,92,1,0.01,7
11,12,82.4,499,5,348.3,419,0,69.3,117,1,0.01,7
12,13,64.9,499,1,353.3,429,0,81.8,132,1,0.01,7
13,14,56.3,499,0,347.3,423,0,96.4,147,1,0.01,7
14,15,53.0,499,0,336.5,405,0,110.5,157,1,0.01,7
15,16,51.5,499,0,321.6,400,0,126.9,174,1,0.01,7
16,17,50.8,499,0,309.4,386,0,139.8,184,1,0.01,7
17,18,50.5,499,0,295.8,374,0,153.7,205,1,0.01,7
18,19,50.3,499,0,283.6,357,0,166.1,220,1,0.01,7
19,20,50.3,499,0,272.0,341,0,177.7,232,1,0.01,7
20,21,50.3,499,0,260.6,327,0,189.1,244,1,0.01,7
21,22,50.0,499,0,250.9,317,0,199.1,258,1,0.01,7
22,23,50.0,499,0,241.4,307,0,208.6,267,1,0.01,7
23,24,50.0,499,0,232.7,296,0,217.3,276,1,0.01,7
24,25,50.0,499,0,222.5,285,0,227.5,290,1,0.01,7
25,26,50.0,499,0,213.9,273,0,236.1,296,1,0.01,7
26,27,50.0,499,0,205.5,259,0,244.5,303,1,0.01,7
27,28,50.0,499,0,196.3,249,0,253.7,311,1,0.01,7
28,29,50.0,499,0,189.5,237,0,260.5,320,1,0.01,7
29,30,50.0,499,0,183.6,231,0,266.4,326,1,0.01,7
30,31,50.0,499,0,175.6,225,0,274.4,336,1,0.01,7
31,32,49.9,499,0,169.9,219,0,280.2,343,1,0.01,7
32,33,49.9,499,0,163.8,212,0,286.3,352,1,0.01,7
33,34,49.9,499,0,157.7,202,0,292.4,358,1,0.01,7
34,35,49.9,499,0,151.1,197,0,299.0,364,1,0.01,7
35,36,49.9,499,0,145.2,191,0,304.9,367,1,0.01,7
36,37,49.9,499,0,139.9,180,0,310.2,372,1,0.01,7
37,38,49.9,499,0,133.8,168,0,316.3,378,1,0.01,7
38,39,49.9,499,0,128.3,164,0,321.8,383,1,0.01,7
39,40,49.9,499,0,123.7,156,0,326.4,386,1,0.01,7
40,41,49.9,499,0,118.2,151,0,331.9,389,1,0.01,7
41,42,49.9,499,0,114.8,146,0,335.3,394,1,0.01,7
42,43,49.9,499,0,110.0,139,0,340.1,399,1,0.01,7
43,44,49.9,499,0,105.9,133,0,344.2,404,1,0.01,7
44,45,49.9,499,0,101.7,129,0,348.4,409,1,0.01,7
45,46,49.9,499,0,97.1,124,0,353.0,414,1,0.01,7
46,47,49.9,499,0,92.8,120,0,357.3,417,1,0.01,7
47,48,49.9,499,0,88.8,113,0,361.3,420,1,0.01,7
48,49,49.9,499,0,85.1,112,0,365.0,422,1,0.01,7
49,50,49.9,499,0,81.3,107,0,368.8,425,1,0.01,7
50,51,49.9,499,0,78.3,104,0,371.8,428,1,0.01,7
51,52,49.9,499,0,74.8,100,0,375.3,430,1,0.01,7
52,53,49.9,499,0,72.7,97,0,377.4,432,1,0.01,7
53,54,49.9,499,0,69.9,93,0,380.2,434,1,0.01,7
54,55,49.9,499,0,67.2,89,0,382.9,437,1,0.01,7
55,56,49.9,499,0,64.7,86,0,385.4,437,1,0.01,7
56,57,49.9,499,0,63.0,84,0,387.1,441,1,0.01,7
57,58,49.9,499,0,60.6,79,0,389.5,444,1,0.01,7
58,59,49.9,499,0,58.1,74,0,392.0,447,1,0.01,7
59,60,49.9,499,0,55.4,70,0,394.7,448,1,0.01,7
60,61,49.9,499,0,52.7,68,0,397.4,448,1,0.01,7
61,62,49.9,499,0,50.5,66,0,399.6,450,1,0.01,7
62,63,49.9,499,0,49.1,65,0,401.0,451,1,0.01,7
63,64,49.9,499,0,46.7,63,0,403.4,456,1,0.01,7
64,65,49.9,499,0,44.3,58,0,405.8,460,1,0.01,7
65,66,49.9,499,0,42.8,58,0,407.3,460,1,0.01,7
66,67,49.9,499,0,41.2,57,0,408.9,463,1,0.01,7
67,68,49.9,499,0,39.8,54,0,410.3,464,1,0.01,7
68,69,49.9,499,0,38.5,52,0,411.6,464,1,0.01,7
69,70,49.9,499,0,36.1,48,0,414.0,466,1,0.01,7
70,71,49.9,499,0,34.2,45,0,415.9,467,1,0.01,7
71,72,49.9,499,0,32.4,43,0,417.7,471,1,0.01,7
72,73,49.9,499,0,31.0,43,0,419.1,472,1,0.01,7
73,74,49.9,499,0,29.2,41,0,420.9,472,1,0.01,7
74,75,49.9,499,0,27.4,40,0,422.7,476,1,0.01,7
75,76,49.9,499,0,26.2,40,0,423.9,477,1,0.01,7
76,77,49.9,499,0,25.3,40,0,424.8,478,1,0.01,7
77,78,49.9,499,0,24.4,38,0,425.7,479,1,0.01,7
78,79,49.9,499,0,23.5,37,0,426.6,481,1,0.01,7
79,80,49.9,499,0,22.7,36,0,427.4,483,1,0.01,7
80,81,49.9,499,0,21.6,33,0,428.5,484,1,0.01,7
81,82,49.9,499,0,20.2,29,0,429.9,486,1,0.01,7
82,83,49.9,499,0,19.6,28,0,430.5,486,1,0.01,7
83,84,49.9,499,0,18.9,28,0,431.2,486,1,0.01,7
84,85,49.9,499,0,18.3,28,0,431.8,486,1,0.01,7
85,86,49.9,499,0,17.8,28,0,432.3,487,1,0.01,7
86,87,49.9,499,0,16.9,26,0,433.2,488,1,0.01,7
87,88,49.9,499,0,16.2,23,0,433.9,488,1,0.01,7
88,89,49.9,499,0,15.6,23,0,434.5,488,1,0.01,7
89,90,49.9,499,0,14.9,23,0,435.2,490,1,0.01,7
90,91,49.9,499,0,13.8,22,0,436.3,490,1,0.01,7
91,92,49.9,499,0,13.3,22,0,436.8,490,1,0.01,7
92,93,49.9,499,0,12.3,21,0,437.8,492,1,0.01,7
93,94,49.9,499,0,11.7,20,0,438.4,493,1,0.01,7
94,95,49.9,499,0,11.2,20,0,438.9,493,1,0.01,7
95,96,49.9,499,0,11.1,20,0,439.0,494,1,0.01,7
96,97,49.9,499,0,10.6,19,0,439.5,494,1,0.01,7
97,98,49.9,499,0,10.0,19,0,440.1,495,1,0.01,7
98,99,49.9,499,0,9.5,18,0,440.6,495,1,0.01,7
99,100,49.9,499,0,8.9,17,0,441.2,495,1,0.01,7
100,101,49.9,499,0,8.9,17,0,441.2,495,1,0.01,7
101,102,49.9,499,0,8.5,17,0,441.6,497,1,0.01,7
102,103,49.9,499,0,8.4,17,0,441.7,497,1,0.01,7
103,104,49.9,499,0,8.3,17,0,441.8,497,1,0.01,7
104,105,49.9,499,0,7.9,17,0,442.2,498,1,0.01,7
105,106,49.9,499,0,7.4,15,0,442.7,498,1,0.01,7
106,107,49.9,499,0,7.2,15,0,442.9,498,1,0.01,7
107,108,49.9,499,0,6.8,14,0,443.3,498,1,0.01,7
108,109,49.9,499,0,6.7,13,0,443.4,498,1,0.01,7
109,110,49.9,499,0,6.5,13,0,443.6,498,1,0.01,7
110,111,49.9,499,0,6.3,13,0,443.8,498,1,0.01,7
111,112,49.9,499,0,5.9,12,0,444.2,498,1,0.01,7
112,113,49.9,499,0,5.6,11,0,444.5,498,1,0.01,7
113,114,49.9,499,0,5.5,11,0,444.6,498,1,0.01,7
114,115,49.9,499,0,5.3,10,0,444.8,498,1,0.01,7
115,116,49.9,499,0,5.2,10,0,444.9,498,1,0.01,7
116,117,49.9,499,0,5.2,10,0,444.9,498,1,0.01,7
117,118,49.9,499,0,5.1,10,0,445.0,498,1,0.01,7
118,119,49.9,499,0,5.0,10,0,445.1,499,1,0.01,7
119,120,49.9,499,0,4.7,10,0,445.4,499,1,0.01,7
120,121,49.9,499,0,4.5,9,0,445.6,499,1,0.01,7
121,122,49.9,499,0,4.5,9,0,445.6,499,1,0.01,7
122,123,49.9,499,0,4.1,8,0,446.0,500,1,0.01,7
123,124,49.9,499,0,4.1,8,0,446.0,500,1,0.01,7
124,125,49.9,499,0,4.1,8,0,446.0,500,1,0.01,7
125,126,49.9,499,0,3.9,8,0,446.2,500,1,0.01,7
126,127,49.9,499,0,3.6,8,0,446.5,500,1,0.01,7
127,128,49.9,499,0,3.5,8,0,446.6,500,1,0.01,7
128,129,49.9,499,0,3.4,8,0,446.7,500,1,0.01,7
129,130,49.9,499,0,3.3,8,0,446.8,500,1,0.01,7
130,131,49.9,499,0,3.3,8,0,446.8,500,1,0.01,7
131,132,49.9,499,0,3.2,8,0,446.9,500,1,0.01,7
132,133,49.9,499,0,2.9,8,0,447.2,500,1,0.01,7
133,134,49.9,499,0,2.6,7,0,447.5,500,1,0.01,7
134,135,49.9,499,0,2.6,7,0,447.5,500,1,0.01,7
135,136,49.9,499,0,2.6,7,0,447.5,500,1,0.01,7
136,137,49.9,499,0,2.6,7,0,447.5,500,1,0.01,7
137,138,49.9,499,0,2.5,7,0,447.6,500,1,0.01,7
138,139,49.9,499,0,2.2,6,0,447.9,500,1,0.01,7
139,140,49.9,499,0,2.2,6,0,447.9,500,1,0.01,7
140,141,49.9,499,0,2.2,6,0,447.9,500,1,0.01,7
141,142,49.9,499,0,2.0,5,0,448.1,500,1,0.01,7
142,143,49.9,499,0,1.8,5,0,448.3,500,1,0.01,7
143,144,49.9,499,0,1.7,5,0,448.4,500,1,0.01,7
144,145,49.9,499,0,1.7,5,0,448.4,500,1,0.01,7
145,146,49.9,499,0,1.7,5,0,448.4,500,1,0.01,7
146,147,49.9,499,0,1.7,5,0,448.4,500,1,0.01,7
147,148,49.9,499,0,1.6,5,0,448.5,500,1,0.01,7
148,149,49.9,499,0,1.5,5,0,448.6,500,1,0.01,7
149,150,49.9,499,0,1.5,5,0,448.6,500,1,0.01,7
150,151,49.9,499,0,1.5,5,0,448.6,500,1,0.01,7
151,152,49.9,499,0,1.5,5,0,448.6,500,1,0.01,7
152,153,49.9,499,0,1.5,5,0,448.6,500,1,0.01,7
153,154,49.9,499,0,1.4,4,0,448.7,500,1,0.01,7
154,155,49.9,499,0,1.4,4,0,448.7,500,1,0.01,7
155,156,49.9,499,0,1.4,4,0,448.7,500,1,0.01,7
156,157,49.9,499,0,1.4,4,0,448.7,500,1,0.01,7
157,158,49.9,499,0,1.1,3,0,449.0,500,1,0.01,7
158,159,49.9,499,0,1.1,3,0,449.0,500,1,0.01,7
159,160,49.9,499,0,1.1,3,0,449.0,500,1,0.01,7
160,161,49.9,499,0,1.0,2,0,449.1,500,1,0.01,7
161,162,49.9,499,0,1.0,2,0,449.1,500,1,0.01,7
162,163,49.9,499,0,1.0,2,0,449.1,500,1,0.01,7
163,164,49.9,499,0,1.0,2,0,449.1,500,1,0.01,7
164,165,49.9,499,0,1.0,2,0,449.1,500,1,0.01,7
165,166,49.9,499,0,0.9,2,0,449.2,500,1,0.01,7
166,167,49.9,499,0,0.9,2,0,449.2,500,1,0.01,7
167,168,49.9,499,0,0.7,2,0,449.4,500,1,0.01,7
168,169,49.9,499,0,0.7,2,0,449.4,500,1,0.01,7
169,170,49.9,499,0,0.7,2,0,449.4,500,1,0.01,7
170,171,49.9,499,0,0.7,2,0,449.4,500,1,0.01,7
171,172,49.9,499,0,0.5,2,0,449.6,500,1,0.01,7
172,173,49.9,499,0,0.5,2,0,449.6,500,1,0.01,7
173,174,49.9,499,0,0.5,2,0,449.6,500,1,0.01,7
174,175,49.9,499,0,0.4,1,0,449.7,500,1,0.01,7
175,176,49.9,499,0,0.4,1,0,449.7,500,1,0.01,7
176,177,49.9,499,0,0.3,1,0,449.8,500,1,0.01,7
177,178,49.9,499,0,0.3,1,0,449.8,500,1,0.01,7
178,179,49.9,499,0,0.3,1,0,449.8,500,1,0.01,7
179,180,49.9,499,0,0.3,1,0,449.8,500,1,0.01,7
180,181,49.9,499,0,0.3,1,0,449.8,500,1,0.01,7
181,182,49.9,499,0,0.3,1,0,449.8,500,1,0.01,7
182,183,49.9,499,0,0.3,1,0,449.8,500,1,0.01,7
183,184,49.9,499,0,0.3,1,0,449.8,500,1,0.01,7
184,185,49.9,499,0,0.3,1,0,449.8,500,1,0.01,7
185,186,49.9,499,0,0.2,1,0,449.9,500,1,0.01,7
186,187,49.9,499,0,0.2,1,0,449.9,500,1,0.01,7
187,188,49.9,499,0,0.2,1,0,449.9,500,1,0.01,7
188,189,49.9,499,0,0.2,1,0,449.9,500,1,0.01,7
189,190,49.9,499,0,0.1,1,0,450.0,500,1,0.01,7
190,191,49.9,499,0,0.1,1,0,450.0,500,1,0.01,7
191,192,49.9,499,0,0.1,1,0,450.0,500,1,0.01,7
192,193,49.9,499,0,0.1,1,0,450.0,500,1,0.01,7
193,194,49.9,499,0,0.1,1,0,450.0,500,1,0.01,7
194,195,49.9,499,0,0.1,1,0,450.0,500,1,0.01,7
195,196,49.9,499,0,0.1,1,0,450.0,500,1,0.01,7
196,197,49.9,499,0,0.1,1,0,450.0,500,1,0.01,7
197,198,49.9,499,0,0.1,1,0,450.0,500,1,0.01,7
198,199,49.9,499,0,0.1,1,0,450.0,500,1,0.01,7
199,200,49.9,499,0,0.1,1,0,450.0,500,1,0.01,7
200,1,497.1,499,496,2.8,4,1,0.1,1,0,0.01,14
201,2,494.1,497,490,5.6,10,3,0.3,1,0,0.01,14
202,3,487.8,494,475,11.2,24,4,1.0,2,0,0.01,14
203,4,475.4,489,450,22.6,48,8,2.0,3,1,0.01,14
204,5,451.0,484,393,44.9,99,13,4.1,8,3,0.01,14
205,6,405.9,471,307,86.7,173,26,7.4,20,3,0.01,14
206,7,335.6,447,207,150.6,263,48,13.8,30,5,0.01,14
207,8,242.0,404,115,234.6,337,91,23.4,48,5,0.01,14
208,9,145.5,317,50,319.2,382,172,35.3,68,11,0.01,14
209,10,74.5,210,21,375.3,413,269,50.2,88,21,0.01,14
210,11,34.0,98,9,400.8,415,370,65.2,108,32,0.01,14
211,12,13.4,37,5,401.8,417,370,84.8,125,46,0.01,14
212,13,4.9,14,0,395.1,422,348,100.0,149,64,0.01,14
213,14,2.4,8,0,382.8,407,334,114.8,164,85,0.01,14
214,15,0.8,3,0,366.7,398,320,132.5,180,99,0.01,14
215,16,0.4,1,0,354.7,386,309,144.9,191,113,0.01,14
216,17,0.2,1,0,341.5,370,289,158.3,211,130,0.01,14
217,18,0.1,1,0,328.3,357,281,171.6,219,143,0.01,14
218,19,0.1,1,0,313.7,338,269,186.2,231,162,0.01,14
219,20,0.1,1,0,301.5,325,255,198.4,245,175,0.01,14
220,21,0.1,1,0,289.6,314,244,210.3,256,186,0.01,14
221,22,0.1,1,0,280.1,305,236,219.8,264,195,0.01,14
222,23,0.1,1,0,270.4,294,229,229.5,271,206,0.01,14
223,24,0.1,1,0,259.2,284,218,240.7,282,216,0.01,14
224,25,0.1,1,0,247.9,274,205,252.0,295,226,0.01,14
225,26,0.1,1,0,237.7,260,197,262.2,303,240,0.01,14
226,27,0.1,1,0,227.6,250,189,272.3,311,250,0.01,14
227,28,0.1,1,0,217.6,237,183,282.3,317,263,0.01,14
228,29,0.0,0,0,209.1,225,179,290.9,321,275,0.01,14
229,30,0.0,0,0,201.0,216,174,299.0,326,284,0.01,14
230,31,0.0,0,0,193.1,210,170,306.9,330,290,0.01,14
231,32,0.0,0,0,184.4,201,161,315.6,339,299,0.01,14
232,33,0.0,0,0,176.6,193,151,323.4,349,307,0.01,14
233,34,0.0,0,0,171.2,188,147,328.8,353,312,0.01,14
234,35,0.0,0,0,163.9,180,142,336.1,358,320,0.01,14
235,36,0.0,0,0,158.5,176,137,341.5,363,324,0.01,14
236,37,0.0,0,0,152.5,170,132,347.5,368,330,0.01,14
237,38,0.0,0,0,147.1,163,128,352.9,372,337,0.01,14
238,39,0.0,0,0,140.1,157,124,359.9,376,343,0.01,14
239,40,0.0,0,0,132.5,149,118,367.5,382,351,0.01,14
240,41,0.0,0,0,127.1,145,107,372.9,393,355,0.01,14
241,42,0.0,0,0,122.6,142,104,377.4,396,358,0.01,14
242,43,0.0,0,0,118.3,138,99,381.7,401,362,0.01,14
243,44,0.0,0,0,114.5,134,98,385.5,402,366,0.01,14
244,45,0.0,0,0,110.0,126,93,390.0,407,374,0.01,14
245,46,0.0,0,0,105.4,122,89,394.6,411,378,0.01,14
246,47,0.0,0,0,101.1,119,85,398.9,415,381,0.01,14
247,48,0.0,0,0,96.9,116,79,403.1,421,384,0.01,14
248,49,0.0,0,0,91.8,113,72,408.2,428,387,0.01,14
249,50,0.0,0,0,88.9,107,72,411.1,428,393,0.01,14
250,51,0.0,0,0,85.9,107,68,414.1,432,393,0.01,14
251,52,0.0,0,0,82.0,102,61,418.0,439,398,0.01,14
252,53,0.0,0,0,78.9,95,61,421.1,439,405,0.01,14
253,54,0.0,0,0,75.7,93,57,424.3,443,407,0.01,14
254,55,0.0,0,0,72.4,91,55,427.6,445,409,0.01,14
255,56,0.0,0,0,69.1,89,53,430.9,447,411,0.01,14
256,57,0.0,0,0,66.5,88,53,433.5,447,412,0.01,14
257,58,0.0,0,0,64.3,84,50,435.7,450,416,0.01,14
258,59,0.0,0,0,62.1,78,50,437.9,450,422,0.01,14
259,60,0.0,0,0,59.0,73,47,441.0,453,427,0.01,14
260,61,0.0,0,0,56.8,69,45,443.2,455,431,0.01,14
261,62,0.0,0,0,54.6,68,43,445.4,457,432,0.01,14
262,63,0.0,0,0,53.0,66,41,447.0,459,434,0.01,14
263,64,0.0,0,0,50.8,65,37,449.2,463,435,0.01,14
264,65,0.0,0,0,49.0,62,34,451.0,466,438,0.01,14
265,66,0.0,0,0,47.0,61,33,453.0,467,439,0.01,14
266,67,0.0,0,0,45.6,61,32,454.4,468,439,0.01,14
267,68,0.0,0,0,44.1,58,31,455.9,469,442,0.01,14
268,69,0.0,0,0,42.5,53,31,457.5,469,447,0.01,14
269,70,0.0,0,0,41.3,50,31,458.7,469,450,0.01,14
270,71,0.0,0,0,39.4,46,29,460.6,471,454,0.01,14
271,72,0.0,0,0,37.2,45,29,462.8,471,455,0.01,14
272,73,0.0,0,0,35.8,44,28,464.2,472,456,0.01,14
273,74,0.0,0,0,34.9,42,27,465.1,473,458,0.01,14
274,75,0.0,0,0,33.9,41,27,466.1,473,459,0.01,14
275,76,0.0,0,0,32.3,38,26,467.7,474,462,0.01,14
276,77,0.0,0,0,30.4,36,24,469.6,476,464,0.01,14
277,78,0.0,0,0,29.0,34,24,471.0,476,466,0.01,14
278,79,0.0,0,0,28.1,32,22,471.9,478,468,0.01,14
279,80,0.0,0,0,26.1,30,20,473.9,480,470,0.01,14
280,81,0.0,0,0,25.2,30,20,474.8,480,470,0.01,14
281,82,0.0,0,0,24.4,29,20,475.6,480,471,0.01,14
282,83,0.0,0,0,23.3,28,18,476.7,482,472,0.01,14
283,84,0.0,0,0,22.4,28,16,477.6,484,472,0.01,14
284,85,0.0,0,0,21.8,27,16,478.2,484,473,0.01,14
285,86,0.0,0,0,20.8,25,16,479.2,484,475,0.01,14
286,87,0.0,0,0,20.0,24,15,480.0,485,476,0.01,14
287,88,0.0,0,0,19.0,24,14,481.0,486,476,0.01,14
288,89,0.0,0,0,18.5,24,14,481.5,486,476,0.01,14
289,90,0.0,0,0,18.1,24,14,481.9,486,476,0.01,14
290,91,0.0,0,0,17.3,24,12,482.7,488,476,0.01,14
291,92,0.0,0,0,16.7,23,11,483.3,489,477,0.01,14
292,93,0.0,0,0,15.8,22,10,484.2,490,478,0.01,14
293,94,0.0,0,0,15.2,22,10,484.8,490,478,0.01,14
294,95,0.0,0,0,14.8,22,10,485.2,490,478,0.01,14
295,96,0.0,0,0,14.5,22,9,485.5,491,478,0.01,14
296,97,0.0,0,0,14.1,21,9,485.9,491,479,0.01,14
297,98,0.0,0,0,13.4,21,7,486.6,493,479,0.01,14
298,99,0.0,0,0,12.6,19,7,487.4,493,481,0.01,14
299,100,0.0,0,0,11.9,19,6,488.1,494,481,0.01,14
300,101,0.0,0,0,11.4,18,5,488.6,495,482,0.01,14
301,102,0.0,0,0,11.0,17,5,489.0,495,483,0.01,14
302,103,0.0,0,0,10.4,17,4,489.6,496,483,0.01,14
303,104,0.0,0,0,10.2,17,4,489.8,496,483,0.01,14
304,105,0.0,0,0,9.8,15,4,490.2,496,485,0.01,14
305,106,0.0,0,0,9.3,13,4,490.7,496,487,0.01,14
306,107,0.0,0,0,9.0,13,3,491.0,497,487,0.01,14
307,108,0.0,0,0,8.9,13,3,491.1,497,487,0.01,14
308,109,0.0,0,0,8.7,13,3,491.3,497,487,0.01,14
309,110,0.0,0,0,8.1,13,3,491.9,497,487,0.01,14
310,111,0.0,0,0,8.0,13,3,492.0,497,487,0.01,14
311,112,0.0,0,0,7.9,13,3,492.1,497,487,0.01,14
312,113,0.0,0,0,7.7,13,3,492.3,497,487,0.01,14
313,114,0.0,0,0,7.4,12,3,492.6,497,488,0.01,14
314,115,0.0,0,0,6.9,12,3,493.1,497,488,0.01,14
315,116,0.0,0,0,6.5,11,2,493.5,498,489,0.01,14
316,117,0.0,0,0,6.1,11,2,493.9,498,489,0.01,14
317,118,0.0,0,0,6.0,10,2,494.0,498,490,0.01,14
318,119,0.0,0,0,5.9,9,2,494.1,498,491,0.01,14
319,120,0.0,0,0,5.9,9,2,494.1,498,491,0.01,14
320,121,0.0,0,0,5.8,8,2,494.2,498,492,0.01,14
321,122,0.0,0,0,5.4,8,1,494.6,499,492,0.01,14
322,123,0.0,0,0,5.2,8,1,494.8,499,492,0.01,14
323,124,0.0,0,0,4.9,7,1,495.1,499,493,0.01,14
324,125,0.0,0,0,4.8,7,1,495.2,499,493,0.01,14
325,126,0.0,0,0,4.6,7,1,495.4,499,493,0.01,14
326,127,0.0,0,0,4.5,7,1,495.5,499,493,0.01,14
327,128,0.0,0,0,4.2,7,1,495.8,499,493,0.01,14
328,129,0.0,0,0,4.1,7,1,495.9,499,493,0.01,14
329,130,0.0,0,0,3.8,7,1,496.2,499,493,0.01,14
330,131,0.0,0,0,3.8,7,1,496.2,499,493,0.01,14
331,132,0.0,0,0,3.7,7,1,496.3,499,493,0.01,14
332,133,0.0,0,0,3.6,7,1,496.4,499,493,0.01,14
333,134,0.0,0,0,3.6,7,1,496.4,499,493,0.01,14
334,135,0.0,0,0,3.3,6,1,496.7,499,494,0.01,14
335,136,0.0,0,0,3.0,6,1,497.0,499,494,0.01,14
336,137,0.0,0,0,2.9,6,0,497.1,500,494,0.01,14
337,138,0.0,0,0,2.8,6,0,497.2,500,494,0.01,14
338,139,0.0,0,0,2.8,6,0,497.2,500,494,0.01,14
339,140,0.0,0,0,2.5,6,0,497.5,500,494,0.01,14
340,141,0.0,0,0,2.5,6,0,497.5,500,494,0.01,14
341,142,0.0,0,0,2.5,6,0,497.5,500,494,0.01,14
342,143,0.0,0,0,2.5,6,0,497.5,500,494,0.01,14
343,144,0.0,0,0,2.3,6,0,497.7,500,494,0.01,14
344,145,0.0,0,0,2.3,6,0,497.7,500,494,0.01,14
345,146,0.0,0,0,2.2,6,0,497.8,500,494,0.01,14
346,147,0.0,0,0,2.0,6,0,498.0,500,494,0.01,14
347,148,0.0,0,0,1.8,5,0,498.2,500,495,0.01,14
348,149,0.0,0,0,1.7,5,0,498.3,500,495,0.01,14
349,150,0.0,0,0,1.6,5,0,498.4,500,495,0.01,14
350,151,0.0,0,0,1.6,5,0,498.4,500,495,0.01,14
351,152,0.0,0,0,1.5,4,0,498.5,500,496,0.01,14
352,153,0.0,0,0,1.5,4,0,498.5,500,496,0.01,14
353,154,0.0,0,0,1.5,4,0,498.5,500,496,0.01,14
354,155,0.0,0,0,1.4,4,0,498.6,500,496,0.01,14
355,156,0.0,0,0,1.4,4,0,498.6,500,496,0.01,14
356,157,0.0,0,0,1.4,4,0,498.6,500,496,0.01,14
357,158,0.0,0,0,1.3,4,0,498.7,500,496,0.01,14
358,159,0.0,0,0,1.2,4,0,498.8,500,496,0.01,14
359,160,0.0,0,0,1.0,3,0,499.0,500,497,0.01,14
360,161,0.0,0,0,0.9,2,0,499.1,500,498,0.01,14
361,162,0.0,0,0,0.9,2,0,499.1,500,498,0.01,14
362,163,0.0,0,0,0.9,2,0,499.1,500,498,0.01,14
363,164,0.0,0,0,0.9,2,0,499.1,500,498,0.01,14
364,165,0.0,0,0,0.9,2,0,499.1,500,498,0.01,14
365,166,0.0,0,0,0.9,2,0,499.1,500,498,0.01,14
366,167,0.0,0,0,0.9,2,0,499.1,500,498,0.01,14
367,168,0.0,0,0,0.9,2,0,499.1,500,498,0.01,14
368,169,0.0,0,0,0.9,2,0,499.1,500,498,0.01,14
369,170,0.0,0,0,0.9,2,0,499.1,500,498,0.01,14
370,171,0.0,0,0,0.9,2,0,499.1,500,498,0.01,14
371,172,0.0,0,0,0.9,2,0,499.1,500,498,0.01,14
372,173,0.0,0,0,0.9,2,0,499.1,500,498,0.01,14
373,174,0.0,0,0,0.9,2,0,499.1,500,498,0.01,14
374,175,0.0,0,0,0.9,2,0,499.1,500,498,0.01,14
375,176,0.0,0,0,0.8,2,0,499.2,500,498,0.01,14
376,177,0.0,0,0,0.8,2,0,499.2,500,498,0.01,14
377,178,0.0,0,0,0.7,2,0,499.3,500,498,0.01,14
378,179,0.0,0,0,0.7,2,0,499.3,500,498,0.01,14
379,180,0.0,0,0,0.7,2,0,499.3,500,498,0.01,14
380,181,0.0,0,0,0.7,2,0,499.3,500,498,0.01,14
381,182,0.0,0,0,0.7,2,0,499.3,500,498,0.01,14
382,183,0.0,0,0,0.6,1,0,499.4,500,499,0.01,14
383,184,0.0,0,0,0.6,1,0,499.4,500,499,0.01,14
384,185,0.0,0,0,0.6,1,0,499.4,500,499,0.01,14
385,186,0.0,0,0,0.6,1,0,499.4,500,499,0.01,14
386,187,0.0,0,0,0.5,1,0,499.5,500,499,0.01,14
387,188,0.0,0,0,0.5,1,0,499.5,500,499,0.01,14
388,189,0.0,0,0,0.5,1,0,499.5,500,499,0.01,14
389,190,0.0,0,0,0.5,1,0,499.5,500,499,0.01,14
390,191,0.0,0,0,0.5,1,0,499.5,500,499,0.01,14
391,192,0.0,0,0,0.5,1,0,499.5,500,499,0.01,14
392,193,0.0,0,0,0.5,1,0,499.5,500,499,0.01,14
393,194,0.0,0,0,0.5,1,0,499.5,500,499,0.01,14
394,195,0.0,0,0,0.5,1,0,499.5,500,499,0.01,14
395,196,0.0,0,0,0.5,1,0,499.5,500,499,0.01,14
396,197,0.0,0,0,0.5,1,0,499.5,500,499,0.01,14
397,198,0.0,0,0,0.5,1,0,499.5,500,499,0.01,14
398,199,0.0,0,0,0.5,1,0,499.5,500,499,0.01,14
399,200,0.0,0,0,0.5,1,0,499.5,500,499,0.01,14
400,1,498.1,499,496,1.9,4,1,0.0,0,0,0.01,21
401,2,495.2,499,488,4.8,12,1,0.0,0,0,0.01,21
402,3,489.2,499,474,10.3,26,1,0.5,2,0,0.01,21
403,4,477.3,498,446,21.4,53,2,1.3,4,0,0.01,21
404,5,453.2,498,381,44.2,117,2,2.6,7,0,0.01,21
405,6,411.4,494,288,80.8,195,6,7.8,17,0,0.01,21
406,7,344.6,479,188,141.8,283,19,13.6,29,2,0.01,21
407,8,259.2,460,99,217.8,355,37,23.0,46,3,0.01,21
408,9,175.5,424,52,290.2,385,71,34.3,63,5,0.01,21
409,10,104.7,355,25,346.8,404,136,48.5,85,9,0.01,21
