day,s_mean,s_max,s_min,s_std,i_mean,i_max,i_min,i_std,r_mean,r_max,r_min,r_std,edgecount1_mean,edgecount1_max,edgecount1_min,edgecount1_std,suscedgecount1_mean,suscedgecount1_max,suscedgecount1_min,suscedgecount1_std,edgecount2_mean,edgecount2_max,edgecount2_min,edgecount2_std,suscedgecount2_mean,suscedgecount2_max,suscedgecount2_min,suscedgecount2_std
11,0.9728399999999999,0.998,0.922,0.019592126698534506,0.024680000000000014,0.078,0.0,0.018894378820707713,0.0024800000000000013,0.01,0.0,0.002541412109478524,0.9960256539218735,1.0,0.9713916276062712,0.006031373477961336,0.9979918478455727,1.0,0.9851640512763197,0.0030912330042880266,0.9927725135058871,1.0,0.9597128041483846,0.00909623925935058,0.9965923960401507,1.0,0.9799098603735076,0.0043971249903438534
12,0.9664799999999998,0.998,0.906,0.02456664405245452,0.030480000000000017,0.09,0.0,0.023489676412398356,0.0030400000000000015,0.012,0.0,0.002806406664641982,0.9933210171601533,1.0,0.9621787619201552,0.00976604812518647,0.9965742155186618,1.0,0.9797349802363382,0.005120969028445088,0.989454534375358,1.0,0.9417630634224172,0.013046857008567314,0.9949080687483611,1.0,0.969944553641314,0.006559329769399264
13,0.9589599999999997,0.998,0.896,0.029255357088358146,0.03740000000000002,0.1,0.0,0.027869228147744247,0.003640000000000002,0.016,0.0,0.003538476554469538,0.9896640431767193,1.0,0.9447576099210823,0.014070507191526605,0.9946102411131289,1.0,0.9700744898907708,0.00755942035176623,0.9848944657192658,1.0,0.9222177901874751,0.018013189036328214,0.9925639440031957,1.0,0.9593261726061268,0.009273479097860898
14,0.9503999999999998,0.998,0.862,0.03558720246931242,0.045160000000000006,0.132,0.0,0.03393412586113253,0.004440000000000002,0.016,0.0,0.0038394302298382656,0.9847181566973852,1.0,0.922853921726526,0.020189949369328067,0.9918771541139038,1.0,0.9567309348222823,0.011165526309005434,0.9794478457820412,1.0,0.9014758675708018,0.023959149121825493,0.9895983380413026,1.0,0.9459411358341405,0.012814939708967172
15,0.9404,0.998,0.836,0.041969862851278204,0.05416000000000001,0.154,0.0,0.039376445875623646,0.005440000000000003,0.018,0.0,0.004314947915120654,0.9783950587441717,1.0,0.902077629247866,0.025621740608277276,0.9882693465371588,1.0,0.942319468893814,0.014614018768952849,0.9724544922388376,1.0,0.8763462305544475,0.029845401547823502,0.9857671059327714,1.0,0.9297021113166404,0.016397750093429427
16,0.9296800000000001,0.998,0.816,0.04790187248694044,0.06344,0.164,0.0,0.04429592509014612,0.006880000000000004,0.02,0.0,0.005113567387702194,0.9719269650116865,1.0,0.8891931067804799,0.030070987376704418,0.9844583559790202,1.0,0.9321504188554403,0.017582234939152196,0.9644645376517892,1.0,0.8595931392102114,0.035108267674700384,0.9813405289701329,1.0,0.9170248865303842,0.01980328841598461
17,0.9167599999999997,0.998,0.796,0.05513603214610501,0.07488,0.184,0.0,0.05094880984370288,0.008360000000000005,0.024,0.0,0.006163619397856477,0.9629060982386267,1.0,0.8782010243277849,0.03574187366282449,0.9790478315339826,1.0,0.9237106471617048,0.02132393148770752,0.9542718491434576,1.0,0.8420422816114879,0.0419858557560591,0.9753396932958771,1.0,0.903377845317711,0.024300662412364647
18,0.9030400000000001,0.998,0.772,0.0630014447518176,0.08696000000000001,0.206,0.0,0.057745734006230856,0.010000000000000007,0.03,0.0,0.007362342129557214,0.9531737207163906,1.0,0.865039599159528,0.04153262811242078,0.9729120167043156,1.0,0.9141008647592666,0.025442759551383535,0.9431535449853703,1.0,0.8189070602313522,0.049405871263972376,0.9687098536180188,1.0,0.8854997995092879,0.029353985039168664
19,0.8895599999999999,0.998,0.746,0.0695927394758613,0.09803999999999999,0.22,0.0,0.06267048910038626,0.012400000000000007,0.036,0.0,0.008980704940286693,0.9443430393161384,1.0,0.8572813964764829,0.04567765693910106,0.967123906605401,1.0,0.9055198003117739,0.028664993113411707,0.9330280135045276,1.0,0.8037495013960909,0.054864238224065186,0.9624136675663497,1.0,0.8703264479092632,0.033336467506928695
20,0.8728800000000002,0.998,0.732,0.07621897562220288,0.11244,0.242,0.0,0.06843353993295322,0.014680000000000009,0.044,0.002,0.009677324642942282,0.9335261440660382,1.0,0.8456440924519153,0.04992520619761171,0.9597934726774663,1.0,0.8958738194552536,0.032288522438416324,0.9197304677219291,1.0,0.7914963205233033,0.060854899563529144,0.9536761623631677,1.0,0.8622883981864847,0.038081747709129976
21,0.8544399999999999,0.998,0.698,0.08508271125852798,0.12864000000000003,0.274,0.0,0.07622034652564755,0.01692000000000001,0.052,0.002,0.010985779305027728,0.9217281612140417,1.0,0.829319540973008,0.05459695247583151,0.9511818011263914,1.0,0.8780468241589162,0.036828669876495294,0.9042208864759274,1.0,0.7694194603434178,0.06808358371127612,0.9427530737737054,1.0,0.8357337935945988,0.04472226533295943
22,0.8346399999999998,0.998,0.664,0.09431552775397167,0.1446,0.302,0.0,0.08278543695257379,0.020760000000000015,0.066,0.002,0.013259667247340862,0.9109166294127653,1.0,0.8199450460643284,0.057325851141228346,0.9426205367505714,1.0,0.8643924469593558,0.04052359627652074,0.8905615832287438,1.0,0.750204415372036,0.0730553631936803,0.9323070434576433,1.0,0.8132500850149307,0.05049289485419602
23,0.8135199999999999,0.998,0.64,0.10295515964709678,0.16216,0.314,0.0,0.08961581493081613,0.024320000000000012,0.074,0.002,0.01507185510567729,0.8996429421961311,1.0,0.814288023274608,0.06011167450270175,0.9332453629345457,1.0,0.855189582307871,0.044439850447500165,0.8742682806099938,1.0,0.7469337694194603,0.07758445238578829,0.9195673794192483,1.0,0.8044926806178471,0.056028360085015966
24,0.7919999999999999,0.998,0.608,0.11115277223492989,0.17996,0.35,0.0,0.09654817133304545,0.028040000000000016,0.08,0.002,0.016494847680412206,0.8890402806444135,1.0,0.801034427024406,0.06197848454444468,0.9237093829106819,1.0,0.8349377069135578,0.04802757015314483,0.8593758595151557,1.0,0.7297628781684382,0.08155942184055835,0.9067176865365486,1.0,0.7785619624833868,0.06187385734507273
25,0.7716799999999996,0.998,0.576,0.11981098038330278,0.1960799999999999,0.368,0.0,0.10231281364880301,0.03224000000000002,0.086,0.002,0.019317497619663736,0.8800906793171657,1.0,0.7989332471310813,0.0632476586245127,0.9147600811303717,1.0,0.8231465098469243,0.05133792936221425,0.8471241202292608,1.0,0.7273098937040066,0.08364080935402603,0.895038715659108,1.0,0.7649064508661225,0.06649641288440318
26,0.7494799999999999,0.998,0.534,0.12715718057360573,0.21375999999999998,0.406,0.0,0.1076719431743422,0.03676000000000002,0.094,0.002,0.02168377555798297,0.8705662020197771,1.0,0.79182156133829,0.06392606582238627,0.9047439410319912,1.0,0.8030230620736326,0.05427520127088916,0.833992165404247,1.0,0.7117743254292723,0.08517512646214848,0.881524520262207,1.0,0.7305369430773822,0.07123940613496389
27,0.7265600000000001,0.998,0.51,0.13470696238237173,0.23203999999999994,0.422,0.0,0.1134076914931078,0.04140000000000001,0.098,0.002,0.023415501580912466,0.8624806782571843,1.0,0.7872845168432706,0.06410979556864335,0.8949121179880857,1.0,0.7917516104056247,0.05721856812592161,0.8228223937452158,1.0,0.7117743254292723,0.08569190745657627,0.8685837175495675,1.0,0.717251059239768,0.07559406147813602
28,0.7046799999999999,0.998,0.484,0.14294774841007535,0.2490799999999999,0.442,0.0,0.1195236873457922,0.04624,0.11,0.002,0.025505949686058644,0.8562054914123045,1.0,0.7857029890874585,0.06467618568925834,0.8856501042663741,1.0,0.7788987778105823,0.060697545258793735,0.8130399188773875,1.0,0.705641864268193,0.08660766776264345,0.8556568802476769,1.0,0.6947404878332328,0.0802379629160068
29,0.68076,0.998,0.462,0.15107986264873016,0.26776000000000005,0.446,0.0,0.125839963153724,0.05148000000000001,0.122,0.002,0.027549762027195484,0.8500654315201327,1.0,0.786810058516527,0.06507115003984729,0.8755347095516294,1.0,0.7785183516334225,0.06402284452112043,0.80387801245925,1.0,0.7162714636140638,0.08752294486253635,0.8416711590140977,1.0,0.6909527309918327,0.0852343869903676
30,0.6586399999999999,0.998,0.446,0.1580015189800402,0.2843200000000001,0.464,0.0,0.13027340794009548,0.05704000000000001,0.122,0.002,0.029914817842176682,0.8455771408938909,1.0,0.7888660445990827,0.06415618023361301,0.8664401975805454,1.0,0.7652910024148996,0.06659591124683965,0.7979957989075703,1.0,0.7174979558462796,0.08617829810144874,0.8300070153945645,1.0,0.6805761309476825,0.08843450026502128
31,0.6336799999999999,0.998,0.406,0.165520260798169,0.3030000000000001,0.486,0.0,0.1347991703480797,0.06331999999999999,0.136,0.002,0.0330950640625777,0.8412971674455721,1.0,0.7883724644625459,0.06313894160617761,0.8561821959092117,1.0,0.7571876782378458,0.06916678163531392,0.7908857144078403,1.0,0.716116504854369,0.08500822266436438,0.8153912700219282,1.0,0.6565143224847125,0.09221052063743329
32,0.6083999999999999,0.998,0.386,0.17237500647467097,0.32188,0.498,0.0,0.13886561408610198,0.06971999999999999,0.148,0.002,0.03602269126140197,0.8380138453571839,1.0,0.789011340041527,0.0620565112208432,0.8459469498278247,1.0,0.7472985828814589,0.0715275629987203,0.785463337498131,1.0,0.7207317073170731,0.08288145797031486,0.8010198362375374,1.0,0.6657258274582503,0.09431823059204004
33,0.5831600000000001,0.998,0.354,0.17844136520528678,0.3397600000000001,0.512,0.0,0.14167029271069745,0.07707999999999998,0.164,0.002,0.03999634677194957,0.8361063681833167,1.0,0.7938064114534703,0.06106694833815758,0.8362361044233779,1.0,0.7434956260963146,0.07312921801292922,0.7809304365396001,1.0,0.7195121951219512,0.08178895703489414,0.7867327267676465,1.0,0.6517990914872638,0.0957727797254529
34,0.5589599999999999,0.998,0.332,0.1839885710736248,0.35576,0.526,0.0,0.1444045564321547,0.08527999999999998,0.172,0.002,0.04323973984705292,0.835584929717443,1.0,0.7917552756420743,0.060179318912658174,0.8270849671966976,1.0,0.7354210267655842,0.07465623716499269,0.7787862721452556,1.0,0.7162601626016261,0.08097239125401486,0.7737845497497604,1.0,0.6374355496056697,0.0983536892778649
