day_lags,ped
4,0.001
0,0.001
21,0.001
3,0.001
54,0.001
0,0.001
0,0.001
33,0.001
0,0.001
0,0.001
0,0.001
1,0.001
0,0.001
0,0.001
0,0.001
0,0.001
0,0.001
0,0.001
0,0.001
12,0.001
0,0.001
0,0.001
0,0.001
18,0.001
0,0.001
25,0.001
0,0.001
0,0.001
0,0.001
0,0.001
15,0.001
6,0.001
0,0.001
0,0.001
6,0.001
0,0.001
15,0.001
32,0.001
73,0.001
0,0.001
0,0.001
0,0.001
3,0.001
0,0.001
30,0.001
29,0.001
0,0.001
0,0.001
0,0.001
0,0.001
15,0.002
95,0.002
85,0.002
87,0.002
0,0.002
8,0.002
109,0.002
0,0.002
20,0.002
1,0.002
95,0.002
14,0.002
10,0.002
2,0.002
6,0.002
4,0.002
5,0.002
66,0.002
95,0.002
0,0.002
10,0.002
0,0.002
0,0.002
122,0.002
24,0.002
0,0.002
1,0.002
0,0.002
183,0.002
28,0.002
0,0.002
0,0.002
3,0.002
19,0.002
0,0.002
0,0.002
92,0.002
0,0.002
18,0.002
4,0.002
0,0.002
21,0.002
41,0.002
127,0.002
13,0.002
119,0.002
1,0.002
112,0.002
131,0.002
0,0.002
8,0.003
71,0.003
0,0.003
4,0.003
5,0.003
12,0.003
0,0.003
0,0.003
6,0.003
0,0.003
64,0.003
0,0.003
113,0.003
104,0.003
115,0.003
0,0.003
119,0.003
2,0.003
0,0.003
56,0.003
104,0.003
10,0.003
4,0.003
36,0.003
58,0.003
0,0.003
23,0.003
0,0.003
9,0.003
97,0.003
114,0.003
25,0.003
103,0.003
60,0.003
5,0.003
64,0.003
62,0.003
0,0.003
53,0.003
106,0.003
102,0.003
30,0.003
0,0.003
83,0.003
0,0.003
2,0.003
106,0.003
7,0.003
74,0.003
42,0.003
78,0.004
52,0.004
129,0.004
12,0.004
98,0.004
10,0.004
0,0.004
49,0.004
108,0.004
127,0.004
115,0.004
109,0.004
123,0.004
144,0.004
109,0.004
17,0.004
0,0.004
0,0.004
106,0.004
34,0.004
0,0.004
116,0.004
139,0.004
10,0.004
0,0.004
81,0.004
88,0.004
26,0.004
120,0.004
0,0.004
3,0.004
0,0.004
0,0.004
109,0.004
0,0.004
0,0.004
99,0.004
17,0.004
27,0.004
126,0.004
111,0.004
113,0.004
26,0.004
0,0.004
88,0.004
114,0.004
81,0.004
101,0.004
113,0.004
126,0.004
0,0.005
21,0.005
23,0.005
12,0.005
10,0.005
0,0.005
23,0.005
23,0.005
8,0.005
10,0.005
4,0.005
16,0.005
20,0.005
13,0.005
9,0.005
10,0.005
5,0.005
4,0.005
0,0.005
1,0.005
10,0.005
25,0.005
0,0.005
14,0.005
24,0.005
25,0.005
9,0.005
13,0.005
16,0.005
15,0.005
0,0.005
10,0.005
3,0.005
18,0.005
12,0.005
12,0.005
17,0.005
9,0.005
0,0.005
18,0.005
14,0.005
7,0.005
0,0.005
4,0.005
29,0.005
14,0.005
12,0.005
22,0.005
0,0.005
0,0.005
13,0.006
13,0.006
6,0.006
11,0.006
4,0.006
21,0.006
7,0.006
14,0.006
14,0.006
