day_lags,m
5,5
9,5
2,5
10,5
10,5
12,5
11,5
6,5
7,5
9,5
14,5
11,5
2,5
9,5
7,5
5,5
9,5
8,5
0,5
7,5
3,5
3,5
0,5
7,5
5,5
3,5
9,5
0,5
11,5
10,5
9,5
8,5
9,5
16,5
8,5
8,5
8,5
8,5
9,5
8,5
12,5
7,5
3,5
4,5
8,5
5,5
6,5
7,5
15,5
7,5
10,6
7,6
0,6
11,6
11,6
8,6
10,6
13,6
0,6
3,6
3,6
8,6
10,6
9,6
10,6
5,6
8,6
11,6
7,6
15,6
6,6
8,6
16,6
9,6
14,6
13,6
13,6
11,6
10,6
4,6
13,6
9,6
10,6
0,6
6,6
11,6
8,6
6,6
7,6
8,6
11,6
6,6
7,6
0,6
5,6
8,6
7,6
9,6
3,6
13,6
9,7
7,7
4,7
10,7
4,7
13,7
10,7
11,7
6,7
9,7
12,7
5,7
7,7
11,7
9,7
8,7
8,7
6,7
6,7
7,7
15,7
5,7
5,7
7,7
11,7
8,7
7,7
7,7
8,7
5,7
3,7
7,7
6,7
7,7
12,7
7,7
12,7
10,7
8,7
4,7
7,7
13,7
9,7
9,7
9,7
7,7
7,7
5,7
9,7
10,7
9,8
7,8
5,8
10,8
10,8
8,8
8,8
11,8
8,8
15,8
8,8
5,8
8,8
9,8
9,8
8,8
9,8
8,8
4,8
10,8
3,8
7,8
8,8
8,8
8,8
9,8
7,8
9,8
0,8
9,8
0,8
0,8
6,8
11,8
7,8
6,8
10,8
6,8
10,8
6,8
8,8
5,8
6,8
17,8
6,8
10,8
6,8
0,8
0,8
3,8
8,9
7,9
9,9
9,9
9,9
7,9
7,9
4,9
6,9
7,9
13,9
13,9
6,9
7,9
11,9
8,9
11,9
7,9
7,9
8,9
8,9
7,9
11,9
7,9
6,9
7,9
9,9
7,9
5,9
10,9
5,9
0,9
4,9
6,9
9,9
11,9
5,9
9,9
9,9
6,9
10,9
10,9
6,9
7,9
12,9
5,9
8,9
0,9
7,9
9,9
6,10
11,10
6,10
10,10
6,10
7,10
2,10
6,10
9,10
9,10
8,10
9,10
8,10
6,10
8,10
6,10
8,10
6,10
8,10
9,10
5,10
5,10
9,10
5,10
6,10
9,10
0,10
8,10
6,10
9,10
15,10
8,10
9,10
7,10
6,10
7,10
9,10
5,10
10,10
6,10
5,10
8,10
9,10
5,10
8,10
9,10
9,10
9,10
6,10
3,10
8,11
8,11
6,11
5,11
6,11
9,11
5,11
3,11
8,11
8,11
8,11
6,11
4,11
7,11
7,11
3,11
7,11
7,11
5,11
6,11
6,11
6,11
11,11
7,11
6,11
0,11
5,11
7,11
5,11
6,11
6,11
7,11
9,11
7,11
5,11
6,11
5,11
10,11
5,11
7,11
0,11
6,11
5,11
7,11
7,11
11,11
6,11
5,11
7,11
7,11
8,12
4,12
9,12
8,12
6,12
8,12
8,12
10,12
4,12
6,12
5,12
6,12
7,12
5,12
6,12
5,12
6,12
6,12
5,12
6,12
5,12
7,12
8,12
5,12
8,12
4,12
7,12
6,12
7,12
8,12
5,12
5,12
6,12
10,12
7,12
7,12
7,12
7,12
4,12
6,12
6,12
6,12
6,12
6,12
6,12
2,12
8,12
7,12
6,12
6,12
5,13
7,13
7,13
4,13
6,13
7,13
7,13
6,13
6,13
7,13
6,13
6,13
8,13
10,13
8,13
5,13
6,13
7,13
7,13
4,13
6,13
6,13
5,13
7,13
10,13
6,13
7,13
6,13
8,13
7,13
5,13
7,13
6,13
7,13
6,13
6,13
8,13
8,13
7,13
7,13
6,13
5,13
7,13
6,13
8,13
8,13
9,13
6,13
8,13
5,13
8,14
6,14
7,14
7,14
9,14
5,14
6,14
7,14
6,14
0,14
7,14
7,14
7,14
4,14
5,14
8,14
6,14
4,14
8,14
7,14
9,14
8,14
5,14
8,14
7,14
6,14
7,14
5,14
4,14
5,14
5,14
6,14
5,14
6,14
7,14
5,14
6,14
6,14
5,14
9,14
9,14
6,14
6,14
7,14
4,14
6,14
6,14
7,14
7,14
8,14
7,15
5,15
6,15
6,15
5,15
5,15
6,15
5,15
6,15
6,15
7,15
9,15
6,15
6,15
4,15
8,15
7,15
7,15
6,15
5,15
10,15
6,15
7,15
7,15
5,15
5,15
4,15
5,15
9,15
6,15
9,15
6,15
4,15
7,15
6,15
9,15
6,15
7,15
7,15
5,15
6,15
5,15
6,15
5,15
5,15
7,15
6,15
5,15
6,15
5,15
9,16
6,16
6,16
5,16
7,16
6,16
6,16
7,16
4,16
7,16
7,16
5,16
5,16
5,16
6,16
5,16
7,16
8,16
5,16
8,16
6,16
5,16
5,16
8,16
4,16
7,16
6,16
8,16
8,16
7,16
6,16
5,16
8,16
8,16
6,16
6,16
7,16
6,16
7,16
6,16
7,16
4,16
7,16
6,16
5,16
7,16
5,16
4,16
7,16
6,16
20,17
7,17
5,17
6,17
5,17
6,17
5,17
5,17
6,17
9,17
7,17
6,17
8,17
6,17
6,17
5,17
5,17
0,17
5,17
6,17
8,17
4,17
6,17
6,17
7,17
5,17
7,17
6,17
6,17
7,17
5,17
7,17
6,17
5,17
5,17
7,17
8,17
4,17
5,17
6,17
5,17
6,17
8,17
6,17
5,17
7,17
8,17
6,17
4,17
5,17
6,18
6,18
0,18
7,18
5,18
5,18
5,18
6,18
5,18
5,18
5,18
4,18
5,18
7,18
6,18
5,18
5,18
9,18
7,18
5,18
6,18
5,18
5,18
6,18
5,18
8,18
6,18
5,18
5,18
5,18
8,18
6,18
6,18
6,18
5,18
5,18
5,18
5,18
9,18
5,18
6,18
6,18
7,18
6,18
5,18
9,18
7,18
5,18
6,18
8,18
5,19
5,19
5,19
6,19
5,19
6,19
5,19
8,19
6,19
7,19
6,19
6,19
8,19
7,19
6,19
6,19
6,19
5,19
5,19
5,19
0,19
5,19
7,19
0,19
4,19
5,19
4,19
6,19
7,19
5,19
5,19
6,19
8,19
6,19
6,19
7,19
8,19
5,19
7,19
4,19
6,19
6,19
7,19
6,19
6,19
7,19
4,19
5,19
5,19
6,19
6,20
5,20
5,20
6,20
7,20
4,20
4,20
6,20
4,20
5,20
6,20
6,20
5,20
5,20
8,20
5,20
6,20
5,20
4,20
4,20
5,20
5,20
5,20
6,20
8,20
4,20
6,20
4,20
5,20
7,20
6,20
4,20
5,20
6,20
5,20
4,20
11,20
6,20
7,20
4,20
6,20
4,20
18,20
5,20
5,20
6,20
6,20
7,20
7,20
5,20
7,21
5,21
8,21
6,21
5,21
5,21
8,21
5,21
6,21
9,21
5,21
6,21
7,21
9,21
6,21
6,21
7,21
7,21
6,21
6,21
6,21
6,21
6,21
3,21
7,21
6,21
5,21
6,21
6,21
6,21
5,21
5,21
6,21
5,21
6,21
7,21
5,21
7,21
7,21
5,21
9,21
11,21
6,21
6,21
6,21
7,21
8,21
7,21
5,21
6,21
7,22
7,22
5,22
7,22
6,22
5,22
5,22
6,22
5,22
5,22
7,22
5,22
6,22
8,22
7,22
6,22
8,22
9,22
4,22
9,22
7,22
6,22
5,22
6,22
6,22
6,22
6,22
7,22
7,22
5,22
5,22
6,22
6,22
5,22
5,22
6,22
6,22
6,22
13,22
6,22
7,22
7,22
5,22
7,22
6,22
5,22
6,22
7,22
4,22
8,22
6,23
5,23
5,23
7,23
6,23
7,23
5,23
7,23
6,23
6,23
5,23
8,23
5,23
7,23
6,23
7,23
7,23
6,23
7,23
6,23
6,23
6,23
5,23
6,23
4,23
8,23
7,23
4,23
6,23
6,23
6,23
9,23
7,23
14,23
6,23
5,23
7,23
10,23
6,23
9,23
6,23
7,23
8,23
5,23
5,23
7,23
6,23
6,23
6,23
6,23
9,24
8,24
8,24
10,24
6,24
7,24
15,24
6,24
6,24
6,24
9,24
8,24
6,24
7,24
7,24
7,24
7,24
6,24
5,24
8,24
6,24
6,24
7,24
5,24
9,24
6,24
7,24
6,24
8,24
5,24
7,24
7,24
7,24
6,24
7,24
6,24
10,24
6,24
5,24
7,24
7,24
6,24
5,24
6,24
7,24
7,24
8,24
7,24
9,24
6,24
8,25
7,25
5,25
8,25
5,25
12,25
9,25
4,25
11,25
7,25
6,25
8,25
6,25
9,25
9,25
8,25
8,25
6,25
8,25
6,25
5,25
8,25
5,25
5,25
8,25
7,25
6,25
6,25
5,25
4,25
6,25
7,25
9,25
0,25
7,25
5,25
6,25
7,25
6,25
6,25
6,25
6,25
6,25
6,25
7,25
6,25
5,25
8,25
5,25
7,25
7,26
6,26
10,26
6,26
5,26
8,26
7,26
7,26
6,26
8,26
5,26
8,26
9,26
6,26
5,26
8,26
9,26
11,26
6,26
7,26
12,26
8,26
7,26
6,26
0,26
7,26
7,26
9,26
7,26
7,26
9,26
6,26
7,26
5,26
8,26
11,26
6,26
6,26
6,26
6,26
6,26
7,26
7,26
7,26
9,26
13,26
5,26
6,26
9,26
6,26
5,27
9,27
9,27
8,27
5,27
8,27
8,27
8,27
7,27
6,27
9,27
8,27
9,27
8,27
10,27
12,27
7,27
7,27
10,27
6,27
6,27
11,27
8,27
7,27
6,27
7,27
12,27
6,27
9,27
8,27
9,27
11,27
9,27
5,27
8,27
7,27
7,27
7,27
11,27
12,27
6,27
10,27
7,27
7,27
13,27
12,27
9,27
6,27
9,27
6,27
6,28
12,28
6,28
7,28
7,28
7,28
9,28
7,28
8,28
7,28
10,28
10,28
6,28
6,28
7,28
6,28
7,28
7,28
11,28
7,28
8,28
5,28
9,28
7,28
11,28
11,28
7,28
7,28
8,28
9,28
8,28
9,28
8,28
14,28
7,28
8,28
6,28
9,28
7,28
10,28
9,28
6,28
8,28
8,28
6,28
6,28
8,28
9,28
8,28
10,28
5,29
8,29
7,29
8,29
10,29
8,29
11,29
8,29
8,29
9,29
8,29
7,29
6,29
8,29
9,29
8,29
7,29
6,29
7,29
9,29
11,29
8,29
5,29
7,29
8,29
8,29
7,29
7,29
7,29
8,29
7,29
0,29
6,29
7,29
11,29
10,29
6,29
8,29
9,29
9,29
7,29
7,29
10,29
6,29
7,29
10,29
9,29
9,29
7,29
8,29
5,30
9,30
6,30
6,30
7,30
8,30
6,30
5,30
6,30
7,30
7,30
12,30
7,30
9,30
9,30
10,30
7,30
7,30
7,30
6,30
9,30
7,30
7,30
8,30
6,30
8,30
7,30
8,30
8,30
8,30
7,30
7,30
8,30
12,30
8,30
7,30
7,30
8,30
8,30
9,30
7,30
6,30
7,30
7,30
7,30
8,30
6,30
6,30
7,30
6,30
7,31
7,31
6,31
6,31
7,31
6,31
8,31
7,31
7,31
9,31
7,31
6,31
6,31
6,31
7,31
10,31
7,31
6,31
9,31
6,31
7,31
6,31
7,31
4,31
9,31
7,31
7,31
7,31
8,31
6,31
7,31
8,31
6,31
8,31
6,31
10,31
9,31
7,31
8,31
8,31
8,31
6,31
7,31
7,31
5,31
8,31
8,31
7,31
8,31
6,31
8,32
6,32
6,32
5,32
6,32
8,32
7,32
8,32
7,32
7,32
8,32
7,32
6,32
6,32
8,32
8,32
7,32
5,32
7,32
5,32
7,32
8,32
4,32
7,32
6,32
6,32
8,32
7,32
9,32
8,32
6,32
6,32
6,32
6,32
2,32
6,32
5,32
7,32
5,32
10,32
9,32
9,32
9,32
7,32
6,32
5,32
7,32
9,32
6,32
5,32
9,33
8,33
6,33
7,33
5,33
1,33
8,33
5,33
7,33
5,33
6,33
1,33
1,33
6,33
7,33
6,33
5,33
8,33
8,33
7,33
1,33
2,33
8,33
5,33
6,33
7,33
6,33
7,33
8,33
8,33
7,33
6,33
6,33
13,33
6,33
6,33
7,33
7,33
5,33
7,33
6,33
5,33
5,33
6,33
5,33
6,33
10,33
8,33
7,33
5,33
7,34
7,34
7,34
9,34
10,34
7,34
5,34
5,34
4,34
4,34
1,34
6,34
6,34
4,34
1,34
6,34
6,34
6,34
1,34
6,34
0,34
5,34
1,34
6,34
8,34
5,34
6,34
8,34
7,34
7,34
7,34
5,34
6,34
8,34
7,34
1,34
7,34
5,34
5,34
7,34
5,34
6,34
1,34
8,34
6,34
1,34
1,34
1,34
6,34
7,34
7,35
5,35
9,35
