day,s,i,r,edgecount,suscedgecount
1,4999,1,0,1.0,1.0
2,4999,1,0,1.0,1.0
3,4999,1,0,1.0,1.0
4,4998,2,0,1.0,0.9999986298648361
5,4998,2,0,1.0,0.9999986298648361
6,4998,2,0,1.0,0.9999986298648361
7,4998,2,0,1.0,0.9999986298648361
8,4998,2,0,1.0,0.9999986298648361
9,4997,3,0,1.0,0.9999972591812891
10,4997,2,1,1.0,0.9999972591812891
11,4997,2,1,1.0,0.9999972591812891
12,4997,2,1,1.0,0.9999972591812891
13,4997,2,1,1.0,0.9999972591812891
14,4997,2,1,1.0,0.9999972591812891
15,4997,1,2,1.0,0.9999972591812891
16,4997,1,2,1.0,0.9999972591812891
17,4996,2,2,1.0,0.9999958879490299
18,4996,1,3,1.0,0.9999958879490299
19,4996,1,3,1.0,0.9999958879490299
20,4996,1,3,1.0,0.9999958879490299
21,4996,1,3,1.0,0.9999958879490299
22,4996,1,3,1.0,0.9999958879490299
23,4996,1,3,1.0,0.9999958879490299
24,4996,1,3,1.0,0.9999958879490299
25,4996,1,3,1.0,0.9999958879490299
26,4996,1,3,1.0,0.9999958879490299
27,4996,1,3,1.0,0.9999958879490299
28,4996,1,3,1.0,0.9999958879490299
29,4996,1,3,1.0,0.9999958879490299
30,4996,1,3,1.0,0.9999958879490299
31,4996,1,3,1.0,0.9999958879490299
32,4996,1,3,1.0,0.9999958879490299
33,4996,1,3,1.0,0.9999958879490299
34,4996,1,3,1.0,0.9999958879490299
35,4996,1,3,1.0,0.9999958879490299
36,4996,1,3,1.0,0.9999958879490299
37,4996,1,3,1.0,0.9999958879490299
38,4995,2,3,1.0,0.9999945161677286
39,4995,2,3,1.0,0.9999945161677286
40,4994,3,3,1.0,0.9999931438370555
41,4994,3,3,1.0,0.9999931438370555
42,4994,3,3,1.0,0.9999931438370555
43,4994,3,3,1.0,0.9999931438370555
44,4992,5,3,1.0,0.9999903975262736
45,4990,7,3,1.0,0.99998764901404
46,4989,8,3,1.0,0.9999862739315517
47,4987,10,3,1.0,0.9999835221121743
48,4983,14,3,1.0,0.9999780118465218
49,4981,16,3,1.0,0.9999752533949249
50,4978,18,4,0.9999197496188107,0.999945829120436
51,4976,20,4,1.0,0.9999683475647863
52,4970,26,4,0.9999197496188107,0.9999311014989375
53,4965,31,4,1.0,0.9999531057787189
54,4961,32,7,1.0,0.9999475465529417
55,4957,34,9,1.0,0.9999419783552448
56,4950,40,10,1.0,0.9999322123551729
57,4948,41,11,1.0,0.9999294169941408
58,4940,47,13,0.9999197496188107,0.9998978313783529
59,4934,51,15,0.9997592488564321,0.9998416766003043
60,4924,60,16,0.9995184977128642,0.9997030572359099
61,4911,73,16,0.9992777465692962,0.999598475273029
62,4898,79,23,0.9991172458069176,0.9995216438678286
63,4887,80,33,0.9991172458069176,0.9995002479647419
64,4873,90,37,0.9990369954257283,0.9993987869343474
65,4851,112,37,0.9986357435197817,0.9991537428954916
66,4833,125,42,0.9983147419950245,0.9989766945093086
67,4814,140,46,0.99767273894551,0.9987598000390906
68,4788,165,47,0.9970307358959956,0.9984371675034415
69,4754,195,51,0.9951849771286414,0.9974684891763623
70,4712,227,61,0.9936602198860445,0.9966637250570666
71,4674,257,69,0.9918947114998796,0.995761410738513
72,4632,292,76,0.9898082015889575,0.994518078366031
73,4578,334,88,0.9878019420592248,0.9933806786038067
74,4517,378,105,0.9850734290987883,0.9920837611961343
75,4453,423,124,0.9817029130888372,0.9901326003110399
76,4402,454,144,0.9782521466976968,0.9881374655831852
77,4337,504,159,0.9735976245887168,0.985741211627797
78,4261,559,180,0.9683010994302222,0.982556397859296
79,4179,610,211,0.9643688307519461,0.9800227519072066
80,4092,675,233,0.9602760613112912,0.9770864184396411
81,4022,726,252,0.9548190353904181,0.9734466026210261
82,3941,779,280,0.9500040125190594,0.9703935427558719
83,3851,814,335,0.9479977529893266,0.967947260304046
84,3745,879,376,0.9422197255436964,0.9634196818037024
85,3647,936,417,0.9385282080089881,0.9599933352254922
86,3548,996,456,0.9296204156969745,0.9526422650408165
87,3456,1044,500,0.9240831393949122,0.9476030261766614
88,3361,1078,561,0.9244041409196694,0.9454461895691487
89,3249,1147,604,0.9195088676671214,0.9402944048668693
90,3158,1185,657,0.9187866142364176,0.9374961008417065
91,3070,1215,715,0.91734210737501,0.9341041694015851
92,2978,1254,768,0.9172618569938207,0.9320697756285824
93,2889,1283,828,0.9160581012759811,0.9284997020440504
94,2792,1338,870,0.9130085867907872,0.9232155939393167
95,2688,1385,927,0.9114838295481904,0.9181988885357273
96,2592,1425,983,0.9124468341224621,0.9152820159529741
97,2514,1447,1039,0.9122863333600835,0.9119072222991303
98,2439,1459,1102,0.9127678356472193,0.9086868394884221
99,2368,1474,1158,0.916298852419549,0.9088829933845038
100,2273,1513,1214,0.9159778508947918,0.9036509005408659
101,2192,1544,1264,0.9183051119492818,0.9020661543711097
102,2101,1572,1327,0.9212743760532862,0.9009871338494235
103,2036,1569,1395,0.9244843913008587,0.9009834106387461
104,1958,1581,1461,0.9282561592167563,0.9015886566865817
105,1877,1607,1516,0.9287376615038921,0.8960626442547277
106,1806,1619,1575,0.9318674263702753,0.8963314238446393
107,1746,1621,1633,0.9370837011475804,0.8991743461068513
108,1679,1611,1710,0.9405344675387208,0.9009527088814862
109,1625,1593,1782,0.9456704919348367,0.9050226288202118
110,1567,1569,1864,0.9492015087071664,0.9064136182855348
