day,s,i,r,edgecount,suscedgecount
1,497,3,0,0.9967272727272727,1.0
2,490,8,2,0.987909090909091,0.9954819444283513
3,480,17,3,0.9685454545454546,0.9852350469111851
4,466,31,3,0.9405454545454546,0.9696805079958931
5,442,54,4,0.8913636363636364,0.9400185876258655
6,408,84,8,0.8337272727272728,0.8994173813299208
7,367,122,11,0.7716363636363637,0.8456623954207566
8,322,159,19,0.7529090909090909,0.8092779688934446
9,250,226,24,0.7522727272727273,0.7526511103989687
10,182,278,40,0.8037272727272727,0.7296044547528068
11,110,335,55,0.8967272727272727,0.7635335131637029
12,45,378,77,0.9771818181818182,0.871350271641369
13,11,387,102,0.9954545454545455,0.897675429190918
14,2,378,120,0.9992727272727273,0.912211516580321
15,1,362,137,0.9993636363636363,0.8555709322174906
16,0,346,154,1.0,
17,0,336,164,1.0,
18,0,326,174,1.0,
19,0,314,186,1.0,
20,0,296,204,1.0,
21,0,282,218,1.0,
22,0,267,233,1.0,
23,0,256,244,1.0,
24,0,246,254,1.0,
25,0,238,262,1.0,
26,0,226,274,1.0,
27,0,222,278,1.0,
28,0,215,285,1.0,
29,0,203,297,1.0,
30,0,198,302,1.0,
31,0,187,313,1.0,
32,0,178,322,1.0,
33,0,171,329,1.0,
34,0,166,334,1.0,
35,0,162,338,1.0,
36,0,147,353,1.0,
37,0,144,356,1.0,
38,0,138,362,1.0,
39,0,131,369,1.0,
40,0,127,373,1.0,
41,0,118,382,1.0,
42,0,112,388,1.0,
43,0,106,394,1.0,
44,0,101,399,1.0,
45,0,97,403,1.0,
46,0,91,409,1.0,
47,0,89,411,1.0,
48,0,87,413,1.0,
49,0,84,416,1.0,
50,0,81,419,1.0,
51,0,77,423,1.0,
52,0,75,425,1.0,
53,0,73,427,1.0,
54,0,70,430,1.0,
55,0,66,434,1.0,
56,0,63,437,1.0,
57,0,62,438,1.0,
58,0,61,439,1.0,
59,0,60,440,1.0,
60,0,58,442,1.0,
61,0,56,444,1.0,
62,0,53,447,1.0,
63,0,53,447,1.0,
64,0,48,452,1.0,
65,0,46,454,1.0,
66,0,45,455,1.0,
67,0,44,456,1.0,
68,0,42,458,1.0,
69,0,40,460,1.0,
70,0,39,461,1.0,
71,0,38,462,1.0,
72,0,34,466,1.0,
73,0,31,469,1.0,
74,0,30,470,1.0,
75,0,30,470,1.0,
76,0,27,473,1.0,
77,0,26,474,1.0,
78,0,25,475,1.0,
79,0,25,475,1.0,
80,0,23,477,1.0,
81,0,21,479,1.0,
82,0,20,480,1.0,
83,0,19,481,1.0,
84,0,18,482,1.0,
85,0,18,482,1.0,
86,0,17,483,1.0,
87,0,16,484,1.0,
88,0,16,484,1.0,
89,0,16,484,1.0,
90,0,16,484,1.0,
91,0,14,486,1.0,
92,0,12,488,1.0,
93,0,11,489,1.0,
94,0,10,490,1.0,
95,0,10,490,1.0,
96,0,10,490,1.0,
97,0,10,490,1.0,
98,0,10,490,1.0,
99,0,8,492,1.0,
100,0,8,492,1.0,
101,0,8,492,1.0,
102,0,8,492,1.0,
103,0,7,493,1.0,
104,0,7,493,1.0,
105,0,7,493,1.0,
106,0,7,493,1.0,
107,0,7,493,1.0,
108,0,7,493,1.0,
109,0,7,493,1.0,
110,0,7,493,1.0,
111,0,7,493,1.0,
112,0,7,493,1.0,
113,0,7,493,1.0,
114,0,6,494,1.0,
115,0,6,494,1.0,
116,0,6,494,1.0,
117,0,6,494,1.0,
118,0,6,494,1.0,
119,0,6,494,1.0,
120,0,6,494,1.0,
121,0,5,495,1.0,
122,0,5,495,1.0,
123,0,5,495,1.0,
124,0,5,495,1.0,
125,0,5,495,1.0,
126,0,5,495,1.0,
127,0,5,495,1.0,
128,0,5,495,1.0,
129,0,5,495,1.0,
130,0,5,495,1.0,
131,0,5,495,1.0,
132,0,4,496,1.0,
133,0,4,496,1.0,
134,0,4,496,1.0,
135,0,4,496,1.0,
136,0,4,496,1.0,
137,0,4,496,1.0,
138,0,4,496,1.0,
139,0,4,496,1.0,
140,0,4,496,1.0,
141,0,4,496,1.0,
142,0,2,498,1.0,
143,0,2,498,1.0,
144,0,2,498,1.0,
145,0,2,498,1.0,
146,0,2,498,1.0,
147,0,2,498,1.0,
