day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std
1,497.635,494,499,1.2285445079606057,2.305,0,6,1.2367793318041378,0.06,0,1,0.2380827946018509,0.9995992460252419,0.9959023110965416,1.0,0.0006301575032177918,0.9999394665138844,0.998764623910389,1.0,0.00017330597475248753
2,495.125,486,499,3.009094255952436,4.615,0,14,2.976756691772112,0.26,0,2,0.47277646720167715,0.9978233076544829,0.985412227503688,1.0,0.0028388746494111224,0.9990578407848669,0.9939948178211623,1.0,0.001242733254074545
3,490.305,471,499,6.16946403119111,9.03,0,26,5.870383891635698,0.665,0,6,0.9311877108101347,0.9923758400262253,0.9606621865267989,1.0,0.008276370909775177,0.9963112770852363,0.9805455283046817,1.0,0.00408667501238008
4,482.525,452,499,10.980538974973152,16.28,0,44,10.347315336519268,1.195,0,9,1.2904656165654662,0.9796353056875923,0.9196852974922144,1.0,0.01938192766417758,0.9895830673649599,0.9566673332997112,1.0,0.010238242270609219
5,470.635,432,499,17.068345470063218,27.2,0,67,15.905183883622955,2.165,0,12,1.9225650265744032,0.9574045238485495,0.8641206359613178,1.0,0.032947539066488674,0.9771995781705591,0.9226103221882248,1.0,0.018462051073412478
6,453.365,398,499,24.2043597343692,42.675,0,93,22.15430978864057,3.96,0,16,2.8263654591263867,0.9243001147352894,0.812325848221603,1.0,0.046599229195024704,0.957324007758745,0.8838693285718957,1.0,0.028158969882193945
7,431.655,366,499,31.176527296531216,61.76,0,124,28.285202196848143,6.585,0,17,3.7231821641085037,0.885228651040813,0.7639731191607934,1.0,0.05769169506168418,0.9313281638262019,0.8390152857483351,1.0,0.03815933796834415
8,406.49,335,499,38.53823918391946,83.61,0,155,34.329440022541974,9.9,1,26,5.175318308856949,0.8435043435502376,0.7231601376823471,1.0,0.0655990581299487,0.8996214034635028,0.7923793290953259,1.0,0.0484920612748859
9,377.38,295,499,45.292967051426515,108.245,0,186,39.893513723234854,14.375,1,32,6.662304896405094,0.8029650876905425,0.6951319455826913,1.0,0.06861881127894674,0.8626843064646045,0.7409597877931039,1.0,0.058033150505102056
10,345.83,256,499,51.20989520428813,134.455,0,222,44.221211570510114,19.715,1,42,8.61247050742155,0.7688673987870841,0.6867726602196361,1.0,0.06622028374345187,0.8228081769576606,0.6878459285657816,1.0,0.06516785822040949
11,313.445,215,499,56.51323476423544,160.39,0,257,47.88856306428299,26.165,1,55,10.460635711919592,0.745818718242911,0.6892312735617112,1.0,0.06111313675909734,0.7831281014148472,0.6426756288027754,1.0,0.07052766822925913
