day_lags,m
5,20
5,20
5,21
5,21
7,21
6,21
6,21
6,21
6,21
0,21
4,21
5,21
6,21
5,21
5,21
5,21
5,21
8,21
7,21
4,21
7,21
5,21
6,21
8,21
6,21
6,21
7,21
5,21
5,21
6,21
5,21
6,21
6,21
5,21
6,21
7,21
7,21
8,21
6,21
5,21
6,21
5,21
6,21
5,21
6,21
7,21
6,21
0,21
7,21
8,21
5,21
5,21
5,22
7,22
4,22
6,22
7,22
7,22
6,22
6,22
6,22
7,22
5,22
7,22
6,22
7,22
5,22
6,22
7,22
6,22
5,22
8,22
6,22
7,22
6,22
5,22
5,22
7,22
5,22
5,22
7,22
6,22
4,22
8,22
6,22
6,22
6,22
7,22
8,22
7,22
5,22
6,22
6,22
6,22
7,22
6,22
6,22
8,22
6,22
6,22
6,22
3,22
7,23
5,23
7,23
6,23
9,23
6,23
6,23
7,23
6,23
7,23
6,23
5,23
6,23
7,23
6,23
5,23
7,23
6,23
6,23
5,23
6,23
6,23
7,23
6,23
8,23
5,23
5,23
8,23
6,23
6,23
6,23
6,23
6,23
5,23
6,23
5,23
7,23
6,23
6,23
6,23
6,23
6,23
6,23
5,23
7,23
6,23
8,23
9,23
6,23
7,23
5,24
6,24
5,24
7,24
5,24
17,24
6,24
6,24
6,24
7,24
6,24
5,24
6,24
5,24
6,24
5,24
5,24
6,24
6,24
6,24
6,24
7,24
7,24
6,24
5,24
9,24
8,24
8,24
7,24
7,24
6,24
6,24
5,24
8,24
6,24
7,24
7,24
6,24
6,24
7,24
5,24
8,24
5,24
7,24
7,24
6,24
5,24
7,24
5,24
8,24
7,25
8,25
7,25
14,25
7,25
6,25
6,25
6,25
5,25
6,25
7,25
7,25
7,25
8,25
7,25
7,25
11,25
8,25
6,25
17,25
7,25
5,25
8,25
6,25
5,25
6,25
7,25
6,25
6,25
7,25
7,25
14,25
7,25
6,25
9,25
6,25
8,25
5,25
6,25
5,25
9,25
8,25
8,25
5,25
6,25
7,25
7,25
5,25
9,25
9,25
8,26
7,26
0,26
6,26
8,26
5,26
7,26
7,26
6,26
7,26
5,26
9,26
8,26
7,26
8,26
7,26
6,26
6,26
6,26
6,26
7,26
7,26
9,26
6,26
6,26
8,26
6,26
8,26
6,26
0,26
6,26
6,26
7,26
7,26
6,26
6,26
7,26
6,26
7,26
5,26
7,26
9,26
6,26
12,26
6,26
6,26
9,26
8,26
7,26
6,26
9,27
7,27
9,27
9,27
10,27
8,27
7,27
8,27
8,27
7,27
11,27
7,27
7,27
0,27
10,27
7,27
7,27
9,27
6,27
8,27
6,27
8,27
6,27
7,27
7,27
9,27
7,27
8,27
8,27
7,27
8,27
7,27
7,27
8,27
8,27
7,27
10,27
7,27
6,27
10,27
7,27
8,27
6,27
9,27
8,27
7,27
8,27
8,27
6,27
8,27
5,28
9,28
6,28
8,28
6,28
7,28
8,28
5,28
11,28
7,28
9,28
8,28
6,28
9,28
6,28
8,28
6,28
7,28
9,28
7,28
0,28
9,28
6,28
11,28
8,28
7,28
11,28
7,28
7,28
10,28
8,28
8,28
8,28
7,28
9,28
8,28
8,28
11,28
6,28
7,28
7,28
6,28
7,28
7,28
8,28
8,28
9,28
8,28
7,28
9,28
7,29
7,29
10,29
8,29
11,29
7,29
8,29
7,29
6,29
10,29
7,29
7,29
7,29
7,29
9,29
7,29
9,29
8,29
8,29
6,29
8,29
9,29
9,29
7,29
9,29
6,29
7,29
7,29
7,29
10,29
11,29
7,29
8,29
8,29
8,29
9,29
6,29
8,29
7,29
8,29
9,29
5,29
5,29
7,29
7,29
6,29
8,29
8,29
11,29
9,29
9,30
7,30
11,30
7,30
9,30
6,30
9,30
10,30
9,30
7,30
8,30
7,30
10,30
7,30
7,30
6,30
7,30
8,30
8,30
6,30
7,30
9,30
8,30
8,30
11,30
7,30
11,30
9,30
6,30
8,30
9,30
8,30
14,30
8,30
10,30
13,30
6,30
8,30
11,30
6,30
7,30
8,30
9,30
11,30
5,30
8,30
7,30
7,30
6,30
7,30
10,31
9,31
8,31
8,31
7,31
7,31
11,31
6,31
9,31
7,31
7,31
8,31
12,31
8,31
8,31
8,31
9,31
8,31
9,31
8,31
8,31
7,31
8,31
8,31
8,31
8,31
7,31
10,31
7,31
8,31
8,31
7,31
9,31
11,31
9,31
8,31
8,31
9,31
8,31
6,31
7,31
9,31
8,31
7,31
7,31
7,31
9,31
8,31
6,31
7,31
7,32
9,32
9,32
7,32
9,32
7,32
8,32
10,32
7,32
8,32
11,32
8,32
8,32
7,32
6,32
0,32
8,32
7,32
8,32
7,32
0,32
8,32
6,32
7,32
10,32
8,32
7,32
9,32
7,32
8,32
9,32
7,32
7,32
7,32
7,32
10,32
7,32
8,32
9,32
8,32
7,32
7,32
8,32
7,32
7,32
8,32
8,32
9,32
8,32
8,32
5,33
6,33
8,33
6,33
9,33
7,33
7,33
8,33
7,33
5,33
9,33
6,33
9,33
10,33
6,33
9,33
8,33
7,33
8,33
12,33
8,33
7,33
9,33
9,33
6,33
5,33
9,33
6,33
8,33
6,33
8,33
8,33
9,33
7,33
8,33
6,33
9,33
7,33
7,33
9,33
6,33
6,33
7,33
6,33
7,33
7,33
8,33
7,33
8,33
6,33
8,34
7,34
9,34
7,34
6,34
6,34
6,34
1,34
6,34
6,34
5,34
7,34
7,34
8,34
6,34
5,34
5,34
7,34
7,34
7,34
4,34
7,34
8,34
7,34
6,34
7,34
8,34
7,34
7,34
8,34
1,34
7,34
7,34
8,34
8,34
6,34
8,34
6,34
9,34
6,34
7,34
7,34
10,34
6,34
6,34
8,34
7,34
10,34
6,34
1,34
1,35
0,35
8,35
6,35
7,35
6,35
6,35
7,35
10,35
7,35
7,35
6,35
7,35
5,35
7,35
7,35
6,35
6,35
7,35
8,35
6,35
1,35
6,35
6,35
7,35
6,35
1,35
6,35
6,35
5,35
8,35
8,35
6,35
8,35
7,35
5,35
6,35
1,35
7,35
6,35
7,35
6,35
5,35
10,35
7,35
8,35
6,35
9,35
7,35
9,35
1,36
0,36
1,36
6,36
4,36
0,36
8,36
6,36
6,36
5,36
7,36
8,36
6,36
5,36
6,36
0,36
7,36
1,36
1,36
8,36
7,36
9,36
5,36
1,36
6,36
5,36
6,36
7,36
8,36
5,36
1,36
1,36
6,36
7,36
5,36
6,36
5,36
11,36
0,36
6,36
5,36
1,36
7,36
6,36
7,36
7,36
8,36
9,36
7,36
7,36
6,37
1,37
5,37
6,37
1,37
5,37
0,37
1,37
7,37
5,37
6,37
0,37
1,37
1,37
0,37
0,37
1,37
5,37
5,37
6,37
1,37
6,37
6,37
5,37
6,37
0,37
6,37
10,37
6,37
1,37
6,37
7,37
0,37
6,37
1,37
5,37
7,37
7,37
6,37
7,37
7,37
5,37
5,37
5,37
1,37
7,37
6,37
7,37
7,37
