day,s,i,r,edgecount,suscedgecount
1,997,3,0,0.9971764705882353,1.0
2,994,6,0,0.9932941176470588,0.9980417587975488
3,986,14,0,0.9852941176470589,0.9939466137135708
4,979,21,0,0.9804117647058823,0.9913961315913478
5,969,29,2,0.9764705882352941,0.9892525285610804
6,960,36,4,0.9745294117647059,0.9881232424080262
7,955,39,6,0.9762352941176471,0.9889471075976223
8,946,46,8,0.976,0.9887020528990085
9,937,53,10,0.9770588235294118,0.989144785623885
10,921,68,11,0.974764705882353,0.9876813678853129
11,912,77,11,0.9702352941176471,0.985071800723951
12,896,87,17,0.9715294117647059,0.9855030638933159
13,880,101,19,0.9661176470588235,0.9821324240142262
14,865,115,20,0.9637058823529412,0.9803997813184429
15,852,120,28,0.9616470588235294,0.9788649151212752
16,839,129,32,0.959764705882353,0.9774003839343522
17,826,137,37,0.9605294117647059,0.9774847575990269
18,811,145,44,0.9666470588235294,0.980818949017184
19,791,159,50,0.9685294117647059,0.9814767373148658
20,775,168,57,0.9711176470588235,0.9827520494664552
21,761,173,66,0.9669411764705882,0.9796594247808971
22,741,187,72,0.971,0.9818292052229264
23,726,191,83,0.9731176470588235,0.9828687147666558
24,714,198,88,0.9772941176470589,0.9854833316911558
25,703,201,96,0.9741176470588235,0.9829741386796543
26,689,204,107,0.9727058823529412,0.9815682708887202
27,676,206,118,0.9714117647058823,0.980226713830991
28,661,216,123,0.9681176470588235,0.9772477850788901
29,650,216,134,0.9668823529411765,0.975884382149018
30,635,221,144,0.9594117647058824,0.9693843965260998
31,612,230,158,0.9495294117647058,0.960104954373524
32,592,240,168,0.9414117647058824,0.9518529881518825
33,570,250,180,0.9335294117647058,0.9430183847178201
34,541,269,190,0.9227058823529412,0.9299108675506397
35,508,285,207,0.9160588235294118,0.918693800194252
36,473,306,221,0.912,0.9082258480283308
37,444,325,231,0.9038235294117647,0.8929080232310782
38,406,346,248,0.904,0.8830284366467291
39,363,370,267,0.9026470588235294,0.8671302528805307
40,323,400,277,0.8955882352941177,0.83953473924849
41,286,424,290,0.8906470588235295,0.8099683772685764
42,249,447,304,0.8949411764705882,0.7901096529930101
43,211,463,326,0.901,0.7664800380421747
44,159,500,341,0.9130588235294118,0.7275243429839818
45,130,512,358,0.9244117647058824,0.7102560017373413
46,103,519,378,0.9391764705882353,0.705872275567051
47,74,526,400,0.9550588235294117,0.6974628443718599
48,62,525,413,0.9592352941176471,0.6723859797203825
49,50,514,436,0.967,0.6712553758000823
50,34,512,454,0.9751764705882353,0.6364160358214538
51,23,497,480,0.9827058823529412,0.6249059202828355
52,18,475,507,0.9864117647058823,0.6234066704789691
53,13,457,530,0.9901176470588235,0.6207541515952051
54,9,447,544,0.9931176470588235,0.6196637200442215
55,7,420,573,0.9948235294117647,0.6313050366337468
56,4,403,593,0.9972941176470588,0.6606937953719811
57,2,392,606,0.9986470588235294,0.6582393435823521
58,2,375,623,0.9986470588235294,0.6582393435823521
59,1,353,646,0.9994705882352941,0.7283027855772194
60,1,343,656,0.9994705882352941,0.7283027855772194
61,0,331,669,1.0,
