day,s,i,r,edgecount,suscedgecount
1,997,3,0,0.997,1.0
2,993,7,0,0.9928181818181818,0.9978792577956425
3,983,17,0,0.9853181818181819,0.9940091654638141
4,966,32,2,0.9715,0.9867157713030287
5,946,51,3,0.9586818181818182,0.9796345780115437
6,921,71,8,0.9484545454545454,0.9734614751712006
7,892,99,9,0.9304545454545454,0.9624511051098762
8,837,147,16,0.9013636363636364,0.9425014026676782
9,785,188,27,0.8802727272727273,0.9251207279383676
10,714,245,41,0.8522727272727273,0.8978816434584685
11,616,326,58,0.8275,0.8612267037256592
12,535,388,77,0.8307272727272728,0.8430682354845532
13,438,467,95,0.8361363636363637,0.8140463281880677
14,329,549,122,0.8498181818181818,0.7727686764643938
15,239,618,143,0.8846363636363637,0.759818660179559
16,158,667,175,0.9189545454545455,0.7445029381391012
17,98,695,207,0.9515,0.7544759669887586
18,56,708,236,0.9738636363636364,0.7691461086770573
19,29,713,258,0.988,0.7949039884891707
20,13,698,289,0.9960909090909091,0.8501243990167692
21,4,678,318,0.9982727272727273,0.7835545486847217
22,1,657,342,0.9994545454545455,0.7283709231482366
23,1,634,365,0.9994545454545455,0.7283709231482366
24,1,606,393,0.9994545454545455,0.7283709231482366
25,0,584,416,1.0,
26,0,559,441,1.0,
27,0,534,466,1.0,
28,0,519,481,1.0,
29,0,505,495,1.0,
30,0,487,513,1.0,
31,0,467,533,1.0,
32,0,457,543,1.0,
33,0,438,562,1.0,
34,0,427,573,1.0,
35,0,418,582,1.0,
36,0,399,601,1.0,
37,0,387,613,1.0,
38,0,368,632,1.0,
39,0,355,645,1.0,
40,0,340,660,1.0,
41,0,326,674,1.0,
42,0,308,692,1.0,
43,0,298,702,1.0,
44,0,284,716,1.0,
45,0,266,734,1.0,
46,0,258,742,1.0,
47,0,249,751,1.0,
48,0,238,762,1.0,
49,0,229,771,1.0,
50,0,218,782,1.0,
51,0,212,788,1.0,
52,0,202,798,1.0,
53,0,191,809,1.0,
54,0,184,816,1.0,
55,0,179,821,1.0,
56,0,173,827,1.0,
57,0,165,835,1.0,
58,0,161,839,1.0,
59,0,149,851,1.0,
