day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std
1,497.685,494,499,1.1323364913523772,2.23,0,6,1.1373512382707376,0.085,0,2,0.3134746108671186,0.9996659724447292,0.9971163088753605,1.0,0.00046928540539644244,0.9999651925598982,0.9992015209068391,1.0,0.00011499853033394493
2,495.13,487,499,2.957504720343537,4.58,0,13,2.8058804008939164,0.29,0,4,0.6307847867824499,0.9980671259211791,0.9865427747516822,1.0,0.002398648239474345,0.9991760565573496,0.9931737423942678,1.0,0.0010527639969084087
3,490.12,472,499,6.056318599188328,9.12,0,26,5.748987238754038,0.76,0,5,1.0429953000756522,0.9923333867350208,0.9644344761294457,1.0,0.008173328989683249,0.9962716474440698,0.9814214405437226,1.0,0.004045502807396786
4,482.16,454,499,10.160243735453346,16.365,0,44,9.576026126839333,1.475,0,7,1.3888916806225433,0.9797292534444089,0.9197372636975328,1.0,0.017506620820845583,0.9896495416737985,0.9566565710588225,1.0,0.009174668402346674
5,469.745,429,499,15.734607218536091,27.59,0,66,14.554762297187759,2.665,0,10,1.9956674177354938,0.9567534444088434,0.8774431272028196,1.0,0.030163678695831926,0.9768818500673724,0.9290159534263895,1.0,0.01687064581208337
6,452.415,400,499,21.786602655677683,43.245,0,89,19.92132704808553,4.34,0,14,2.984785540640749,0.923467638577379,0.8274591477090676,1.0,0.04221458237960383,0.9570285033801172,0.8929386795621199,1.0,0.025369800369564863
7,430.04,362,499,28.408690014530915,63.025,0,118,25.38001380028216,6.935,0,20,4.00762777737779,0.8826153476449856,0.7777955783402756,1.0,0.05186465118030545,0.9300439747115499,0.8510600972981295,1.0,0.03434321138695216
8,403.13,329,499,34.94192022406216,86.35,0,151,30.867808604437755,10.52,0,28,5.178191609211517,0.837868471643704,0.731015700096123,1.0,0.059024417333699675,0.8961452121235451,0.7935947136929218,1.0,0.04408077073772984
9,372.53,292,499,40.800028327904236,112.33,0,179,35.65582405364828,15.14,0,34,6.423136571573536,0.7948766421018904,0.7026594040371675,1.0,0.06012178214591192,0.8568144785018607,0.7472586283514877,1.0,0.05241644635972626
10,340.56,256,499,45.694049182068184,138.665,0,211,39.0019040251619,20.775,1,40,8.201260780633659,0.7613008651073373,0.6917654597885293,1.0,0.05556610013373487,0.8166259463434319,0.7056798485949775,1.0,0.0577358632508693
11,305.905,220,499,50.18073841164246,166.615,0,240,41.92739327137645,27.48,1,56,10.061599221519035,0.7374615507850047,0.68743992310157,1.0,0.04805200204372778,0.773806656221019,0.6655895776171605,1.0,0.06181915044790048
12,271.53,173,499,53.26334593414597,192.65,0,275,43.36878784095735,35.82,1,68,12.140202741843538,0.7287648189682794,0.6864786927266902,1.0,0.040863942772296095,0.734655964776913,0.6107201689744537,1.0,0.06322122653913931
13,237.37,144,499,55.865713903518234,217.37,0,296,44.37396017608234,45.26,1,83,14.104149572940564,0.7332145145786607,0.6914450496635693,1.0,0.03852783815485545,0.6990093166800329,0.5942567781944541,1.0,0.0631535343948531
