day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std
1,497.85,499,494,1.1016205513678194,2.06,5,0,1.0592497582021232,0.09,1,0,0.28689990900825446
2,495.27,499,486,2.9015850805894883,4.465,14,0,2.847687062870532,0.265,3,0,0.5158541728416967
3,489.97,499,467,6.967195206482016,9.34,32,0,6.722376942629295,0.69,4,0,0.9154728025787038
4,478.65,499,429,15.072938244970127,19.945,67,0,14.527464026982699,1.405,7,0,1.3565308250817545
5,456.625,499,357,30.511294144165014,40.31,133,0,28.777327410034466,3.065,13,0,2.4290484519477067
6,417.09,499,265,54.6466208088766,76.645,214,0,50.67205602012349,6.265,24,0,4.784268084621475
7,354.155,499,145,83.59414381041881,134.105,326,0,76.96774743831759,11.74,41,1,7.592802728000486
8,270.805,499,62,107.32586445449449,208.72,392,0,96.87204221453204,20.475,50,1,11.501338134950748
9,183.845,499,25,113.86565730971242,284.215,418,0,100.27764860149654,31.94,65,1,15.025485886674458
10,111.99,499,8,106.78871216203581,341.58,425,0,91.03394695105467,46.43,84,1,18.298339985669617
11,63.67,499,4,94.83511795737878,373.835,428,0,78.12480528618953,62.495,104,1,20.939971034714283
12,37.2,499,1,85.53978768024804,384.595,424,0,69.06570300560395,78.205,125,1,22.70375027130781
13,23.865,499,0,80.65159747878151,381.265,420,0,64.2572153428554,94.87,139,1,24.382898282263668
14,17.555,499,0,78.77783132672995,371.57,416,0,61.81757161846476,110.875,154,1,26.246595854888476
15,14.74,499,0,78.07825220467402,359.06,418,0,59.957743914163274,126.2,168,1,27.962825286260852
16,13.415,499,0,77.96863674954766,345.94,413,0,58.23187405346743,140.645,184,1,29.230653955278967
17,12.96,499,0,78.0055300191457,332.67,395,0,56.21147346177397,154.37,199,1,30.602215244806168
18,12.705,499,0,78.03631402451465,319.99,388,0,54.31593693406313,167.305,210,1,32.155901245721964
19,12.595,499,0,78.05165777488033,307.14,376,0,52.42386582981757,180.265,221,1,33.897343916937146
20,12.54,499,0,78.05975291483848,294.825,365,0,50.42277916072711,192.635,239,1,35.34001070718456
21,12.52,499,0,78.06285059627328,282.93,351,0,48.49343425484677,204.55,245,1,36.81459045476072
22,12.515,499,0,78.06362419277342,271.675,343,0,46.6956291736132,215.81,256,1,38.28475561581677
23,12.505,499,0,78.0651703972119,260.605,331,0,44.95144197551836,226.89,268,1,39.793157412857084
24,12.49,499,0,78.06748723261221,249.83,323,0,43.377866435342476,237.68,282,1,41.41368210297938
25,12.48,499,0,78.06903014215486,239.825,313,0,41.858032075651025,247.695,292,1,42.852932737691404
26,12.48,499,0,78.06903014215486,230.49,296,0,40.33278527251987,257.03,300,1,44.10140325255219
27,12.475,499,0,78.06980110273823,221.38,285,0,38.95230429705347,266.145,312,1,45.42677552582141
28,12.47,499,0,78.07057173387595,212.695,278,0,37.52736991133686,274.835,320,1,46.60523591910438
29,12.47,499,0,78.07057173387595,204.285,267,0,36.185782140859246,283.245,329,1,47.79073915251488
30,12.47,499,0,78.07057173387595,196.075,253,0,34.78591199561733,291.455,337,1,48.891614052136944
31,12.47,499,0,78.07057173387595,188.395,242,0,33.431832316824966,299.135,342,1,49.90510366544985
32,12.47,499,0,78.07057173387595,180.985,234,0,32.252065883735945,306.545,347,1,50.97805198239335
33,12.47,499,0,78.07057173387595,173.885,225,0,31.141140443803653,313.645,356,1,52.022115272131494
34,12.47,499,0,78.07057173387595,166.92,216,0,30.11174498313986,320.61,363,1,53.083208599102974
35,12.47,499,0,78.07057173387595,160.085,205,0,28.90406545799396,327.445,369,1,54.01737087996713
36,12.47,499,0,78.07057173387595,153.5,195,0,27.936575690419417,334.03,373,1,55.02670982322901
37,12.47,499,0,78.07057173387595,147.41,190,0,26.909337827444926,340.12,376,1,55.89496251157928
38,12.47,499,0,78.07057173387595,141.53,184,0,26.019109714818423,346.0,382,1,56.78479165070583
39,12.47,499,0,78.07057173387595,135.59,180,0,24.891158043444232,351.94,387,1,57.58451424998769
40,12.47,499,0,78.07057173387595,130.145,170,0,23.983746066385965,357.385,393,1,58.378997178418444
41,12.47,499,0,78.07057173387595,125.025,162,0,23.09526643401828,362.505,398,1,59.11525217912043
42,12.47,499,0,78.07057173387595,120.175,156,0,22.181398676282367,367.355,404,1,59.789656212004964
43,12.47,499,0,78.07057173387595,115.345,152,0,21.372174061629824,372.185,408,1,60.503089958053906
44,12.47,499,0,78.07057173387595,110.53,148,0,20.735450187356964,377.0,414,1,61.27399540231415
45,12.47,499,0,78.07057173387595,106.28,142,0,20.069767758732223,381.25,419,1,61.918226994729544
46,12.47,499,0,78.07057173387595,101.765,136,0,19.378788979488835,385.765,422,1,62.60813579992388
47,12.47,499,0,78.07057173387595,97.735,132,0,18.6826115646173,389.795,426,1,63.20043075198284
48,12.47,499,0,78.07057173387595,93.925,126,0,18.10603539121527,393.605,428,1,63.78543630345498
49,12.47,499,0,78.07057173387595,90.425,120,0,17.588094848561912,397.105,430,1,64.32591305572163
50,12.47,499,0,78.07057173387595,86.845,117,0,17.02852985861459,400.685,436,1,64.87053806268847
51,12.47,499,0,78.07057173387595,83.45,111,0,16.41048506597238,404.08,438,1,65.36525593476311
52,12.47,499,0,78.07057173387595,80.19,107,0,15.800066789503262,407.34,441,1,65.83819361657388
53,12.47,499,0,78.07057173387595,76.995,105,0,15.314622532618392,410.535,442,1,66.32983499188167
54,12.47,499,0,78.07057173387595,74.025,98,0,14.806095953590697,413.505,445,1,66.77405068004417
55,12.47,499,0,78.07057173387595,70.975,94,0,14.232257754974086,416.555,446,1,67.2202333666683
56,12.47,499,0,78.07057173387595,68.3,91,0,13.755583608193803,419.23,450,1,67.61855102123275
57,12.47,499,0,78.07057173387595,65.475,87,0,13.352935235257629,422.055,454,1,68.05999404161541
58,12.47,499,0,78.07057173387595,62.78,86,0,12.956114561187434,424.75,457,1,68.47827297286881
59,12.47,499,0,78.07057173387595,60.37,82,0,12.471599898172668,427.16,458,1,68.82849123749665
60,12.47,499,0,78.07057173387595,57.975,80,0,12.143794039275441,429.555,461,1,69.20493907926533
61,12.47,499,0,78.07057173387595,55.68,78,0,11.814631929865229,431.85,465,1,69.56265026260706
62,12.47,499,0,78.07057173387595,53.365,76,0,11.44406431475291,434.165,467,1,69.91687652574004
63,12.47,499,0,78.07057173387595,51.23,73,0,11.124561986747384,436.3,468,1,70.24723031432745
64,12.47,499,0,78.07057173387595,49.115,70,0,10.785332260055736,438.415,471,1,70.57091500913198
65,12.47,499,0,78.07057173387595,47.225,68,0,10.378968636128963,440.305,472,1,70.84509235333638
66,12.47,499,0,78.07057173387595,45.285,64,0,10.03179743610262,442.245,473,1,71.13766803930498
67,12.47,499,0,78.07057173387595,43.47,62,0,9.731526759215464,444.06,475,1,71.4151737040237
68,12.47,499,0,78.07057173387595,41.77,58,0,9.375853729971965,445.76,475,1,71.66548758330447
69,12.47,499,0,78.07057173387595,40.115,57,0,9.120729881310991,447.415,476,1,71.92152881114713
70,12.47,499,0,78.07057173387595,38.56,55,0,8.88544629036125,448.97,477,1,72.16263805916667
71,12.47,499,0,78.07057173387595,37.12,55,0,8.659708584231868,450.41,477,1,72.38494179727559
72,12.47,499,0,78.07057173387595,35.645,51,0,8.364736642326365,451.885,479,1,72.60529885697427
73,12.47,499,0,78.07057173387595,34.375,48,0,8.135434930447031,453.155,480,1,72.79820649814621
74,12.47,499,0,78.07057173387595,33.04,47,0,7.8553761637089545,454.49,482,1,72.99700482600528
75,12.47,499,0,78.07057173387595,31.575,46,0,7.6028541982468,455.955,482,1,73.22144408827141
76,12.47,499,0,78.07057173387595,30.275,44,0,7.5221198097451785,457.255,483,1,73.43530277371599
77,12.47,499,0,78.07057173387595,29.21,44,0,7.33518402108056,458.32,483,1,73.59796807332808
78,12.47,499,0,78.07057173387595,27.985,42,0,7.11250402937244,459.545,485,1,73.7844747802203
79,12.47,499,0,78.07057173387595,26.91,42,0,6.996187044800127,460.62,485,1,73.95574936623663
80,12.47,499,0,78.07057173387595,25.91,41,0,6.747558650259623,461.62,486,1,74.10196424878112
81,12.47,499,0,78.07057173387595,24.865,40,0,6.58815558178837,462.665,486,1,74.26418125914036
82,12.47,499,0,78.07057173387595,23.83,39,0,6.364245288363128,463.7,488,1,74.41915785116346
83,12.47,499,0,78.07057173387595,22.895,37,0,6.085155758320002,464.635,489,1,74.55315310696761
84,12.47,499,0,78.07057173387595,21.93,36,0,5.922879579441305,465.6,491,1,74.70215566033892
85,12.47,499,0,78.07057173387595,21.035,35,0,5.698785465245597,466.495,491,1,74.83475917583034
86,12.47,499,0,78.07057173387595,20.245,34,0,5.5142551673141895,467.285,492,1,74.95314298424103
87,12.47,499,0,78.07057173387595,19.385,31,0,5.403030510136632,468.145,493,1,75.0887178793447
88,12.47,499,0,78.07057173387595,18.565,31,0,5.196227371321656,468.965,493,1,75.21088458995825
89,12.47,499,0,78.07057173387595,17.8,29,0,5.066393362989367,469.73,494,1,75.32940792607137
90,12.47,499,0,78.07057173387595,17.065,28,0,5.00058036832731,470.465,494,1,75.44720124616549
91,12.47,499,0,78.07057173387595,16.415,28,0,4.921777572418507,471.115,494,1,75.54992209554699
92,12.47,499,0,78.07057173387595,15.735,27,0,4.775857943393772,471.795,494,1,75.65328859591553
93,12.47,499,0,78.07057173387595,15.045,27,0,4.5349535852200855,472.485,494,1,75.75270381760899
94,12.47,499,0,78.07057173387595,14.405,27,0,4.477860109000603,473.125,495,1,75.85512093365419
95,12.47,499,0,78.07057173387595,13.88,27,0,4.421918908592835,473.65,496,1,75.93853306471028
96,12.47,499,0,78.07057173387595,13.265,27,0,4.275062078952127,474.265,496,1,76.03156429302389
97,12.47,499,0,78.07057173387595,12.685,25,0,4.196885061698201,474.845,496,1,76.12275840202895
98,12.47,499,0,78.07057173387595,12.215,23,0,4.1272199751913,475.315,496,1,76.19629354997375
99,12.47,499,0,78.07057173387595,11.78,22,0,4.087190432086655,475.75,496,1,76.2656524835638
100,12.47,499,0,78.07057173387595,11.315,22,0,4.028263837900727,476.215,496,1,76.33889512920487
101,12.47,499,0,78.07057173387595,10.85,21,0,3.896590443634939,476.68,497,1,76.40836861214781
102,12.47,499,0,78.07057173387595,10.415,21,0,3.7473977570774024,477.115,497,1,76.47222884106101
103,12.47,499,0,78.07057173387595,10.0,20,0,3.5894877225800284,477.53,497,1,76.53264222952954
104,12.47,499,0,78.07057173387595,9.62,20,0,3.5466170447782424,477.91,497,1,76.59284706227812
105,12.47,499,0,78.07057173387595,9.265,19,0,3.4444296301981456,478.265,497,1,76.64625245291107
106,12.47,499,0,78.07057173387595,8.91,19,0,3.4043867650769575,478.62,498,1,76.70248991916102
107,12.47,499,0,78.07057173387595,8.555,18,0,3.3290219186231504,478.975,499,1,76.75716701678229
108,12.47,499,0,78.07057173387595,8.195,17,0,3.2910683148890016,479.335,499,1,76.8142887082133
109,12.47,499,0,78.07057173387595,7.895,16,0,3.1898039510652003,479.635,499,1,76.85895046337582
110,12.47,499,0,78.07057173387595,7.615,16,0,3.1506201032774293,479.915,499,1,76.90297858716454
111,12.47,499,0,78.07057173387595,7.35,16,0,3.055187531768117,480.18,499,1,76.94230429974644
112,12.47,499,0,78.07057173387595,7.09,16,0,2.986047958767625,480.44,499,1,76.98192961622345
113,12.47,499,0,78.07057173387595,6.865,16,0,2.947918949132298,480.665,499,1,77.01708206396967
114,12.47,499,0,78.07057173387595,6.57,16,0,2.852328679250055,480.96,499,1,77.0614738619036
115,12.47,499,0,78.07057173387595,6.255,16,0,2.7746112045984774,481.275,499,1,77.10985034417135
116,12.47,499,0,78.07057173387595,5.99,16,0,2.758249390191624,481.54,499,1,77.15232209091378
117,12.47,499,0,78.07057173387595,5.78,15,0,2.7033573022295054,481.75,499,1,77.18448499289276
118,12.47,499,0,78.07057173387595,5.54,14,0,2.6690860047032037,481.99,499,1,77.22225250151044
119,12.47,499,0,78.07057173387595,5.34,14,0,2.6551173686310046,482.19,499,1,77.25422302291554
120,12.47,499,0,78.07057173387595,5.12,13,0,2.5707281490037808,482.41,499,1,77.28705157857003
121,12.47,499,0,78.07057173387595,4.92,13,0,2.526960157618429,482.61,499,1,77.31803341690274
122,12.47,499,0,78.07057173387595,4.755,13,0,2.4911854658225727,482.775,500,1,77.34361349031147
123,12.47,499,0,78.07057173387595,4.6,13,0,2.435086906294317,482.93,500,1,77.3669394288214
124,12.47,499,0,78.07057173387595,4.4,12,0,2.333931485906243,483.13,500,1,77.39621418292528
125,12.47,499,0,78.07057173387595,4.24,12,0,2.266735637929864,483.29,500,1,77.4201219088546
126,12.47,499,0,78.07057173387595,4.105,12,0,2.2803453410332084,483.425,500,1,77.44237199298261
127,12.47,499,0,78.07057173387595,3.93,12,0,2.2651167230066145,483.6,500,1,77.47024067959757
128,12.47,499,0,78.07057173387595,3.805,11,0,2.2093849618271,483.725,500,1,77.48885071366475
129,12.47,499,0,78.07057173387595,3.67,11,0,2.1527357842484807,483.86,500,1,77.50908781212263
130,12.47,499,0,78.07057173387595,3.48,10,0,2.078751074600024,484.05,500,1,77.53778459693704
131,12.47,499,0,78.07057173387595,3.33,10,0,2.0252427114301645,484.2,500,1,77.56061011367838
132,12.47,499,0,78.07057173387595,3.21,10,0,1.993935529166467,484.32,500,1,77.57918697212727
133,12.47,499,0,78.07057173387595,3.045,10,0,1.9627114359743578,484.485,500,1,77.60504163672094
134,12.47,499,0,78.07057173387595,2.93,10,0,1.9452557930777408,484.6,500,1,77.62317169453718
135,12.47,499,0,78.07057173387595,2.79,10,0,1.9168388969300254,484.74,500,1,77.64506539957657
136,12.47,499,0,78.07057173387595,2.695,9,0,1.8436295314531685,484.835,500,1,77.65862531249914
137,12.47,499,0,78.07057173387595,2.58,9,0,1.7943518307350736,484.95,500,1,77.67602800499753
138,12.47,499,0,78.07057173387595,2.495,9,0,1.7792706427355292,485.035,500,1,77.6893942885683
139,12.47,499,0,78.07057173387595,2.43,8,0,1.7722313675422021,485.1,500,1,77.6997183466953
140,12.47,499,0,78.07057173387595,2.35,8,0,1.7443375727877888,485.18,500,1,77.71198985249424
141,12.47,499,0,78.07057173387595,2.24,8,0,1.7399820942878153,485.29,500,1,77.72962998036475
142,12.47,499,0,78.07057173387595,2.155,8,0,1.7279770029178823,485.375,500,1,77.74306590611421
143,12.47,499,0,78.07057173387595,2.07,7,0,1.6909751579856587,485.46,500,1,77.75595373801639
144,12.47,499,0,78.07057173387595,1.955,7,0,1.6328828900638637,485.575,500,1,77.77324580997693
145,12.47,499,0,78.07057173387595,1.875,7,0,1.5721748211766116,485.655,500,1,77.78488553109418
146,12.47,499,0,78.07057173387595,1.785,6,0,1.5591438831106017,485.745,500,1,77.7991226972535
147,12.47,499,0,78.07057173387595,1.725,6,0,1.523476254983151,485.805,500,1,77.80808095764577
148,12.47,499,0,78.07057173387595,1.655,6,0,1.4754183462606159,485.875,500,1,77.81842914485527
149,12.47,499,0,78.07057173387595,1.565,6,0,1.4373953971118008,485.965,500,1,77.83221081403897
150,12.47,499,0,78.07057173387595,1.53,6,0,1.4067675624901121,486.0,500,1,77.83728679804047
151,12.47,499,0,78.07057173387595,1.48,6,0,1.370764376132664,486.05,500,1,77.84469463240292
