m,mean_effort,min_effort,max_effort,std_effort
5,0.8110787878787881,0.7511111111111111,1.0,0.07134580600345206
6,0.7965519568151147,0.738191632928475,1.0,0.06990782859053361
7,0.768611996522747,0.7215299913068676,1.0,0.04928914059443636
8,0.768145325203252,0.7184959349593496,1.0,0.06984530473958274
9,0.7554786150712832,0.7089839330165196,1.0,0.06337722024704731
10,0.7391836734693878,0.7040816326530612,1.0,0.054608538356875895
11,0.7273991448224577,0.6960401561628555,1.0,0.0406822016921869
12,0.7192144808743168,0.6950136612021858,0.7527322404371585,0.013733629726908616
13,0.7160164271047229,0.6965724214184174,0.7414310535460433,0.010882223255609318
14,0.7180746619635507,0.6944444444444444,0.7385361552028219,0.01017160462210334
15,0.7181800687285224,0.6977319587628866,0.733745704467354,0.008219589230778578
16,0.7256689049586776,0.6942148760330579,1.0,0.040306595008852496
17,0.7191694068931921,0.6955303860674704,0.7404701010839119,0.00945896490025548
18,0.7252627939142462,0.706777316735823,0.7400875979714154,0.008156563521022555
19,0.730812999234052,0.707626654995076,1.0,0.03956300783799262
20,0.73388125,0.7111458333333334,1.0,0.03887059421488249
21,0.7335361367929218,0.7185604930907645,0.7507704543195148,0.007719063375706349
22,0.7374115633320655,0.7198554583491822,0.7561810574362876,0.009412552344602382
23,0.743197520736487,0.7259137726734117,0.7643788168808677,0.0078099849548241215
24,0.7477065826330532,0.7249649859943977,0.7635679271708683,0.007841515344754697
25,0.7525574736842107,0.7408842105263158,0.7678315789473684,0.006204159076814162
26,0.7570707562479714,0.7415611814345991,0.7718273287893541,0.007026433505299055
27,0.7638430819826167,0.7516247748805889,0.7768381489311722,0.006426637731189064
28,0.7730538740920098,0.7563559322033898,1.0,0.03287550356536443
29,0.76891134050809,0.7576689362325206,0.7835859140493447,0.0060099560469661275
30,0.7765943262411348,0.7638297872340426,0.7931914893617021,0.006015798157640188
31,0.7799986243895731,0.7658023247816218,0.7946213632299333,0.006246346889056685
32,0.7826028311965811,0.7634214743589743,0.7942040598290598,0.006249355202923102
33,0.7883628576990462,0.7771072610473039,0.8011160859126598,0.006502214689528404
34,0.7925751072961372,0.7790961878313557,0.8049103761676344,0.0061923247955451045
35,0.7952749615975422,0.7799692780337941,0.8098310291858679,0.007678380047696655
36,0.7986757662835251,0.7867576628352491,0.8113625478927203,0.005870532608864582
37,0.8045881734866616,0.7895044072149904,0.8217850680053704,0.006767585039337047
38,0.8119207108680793,0.7931761221234905,1.0,0.02752725743700013
39,0.81103954613716,0.7989320874353413,0.8264085877968741,0.006516869343717876
40,0.814454347826087,0.8025543478260869,0.8289673913043478,0.006582470491341092
41,0.8125617726765504,0.803018226260694,0.830118497263404,0.005900850081696346
42,0.8194385527136618,0.8038573508005823,0.8367124142233312,0.007625175910453184
43,0.8216793038522212,0.8074398249452954,0.8412803419673299,0.0075488405195382234
44,0.8248066188197767,0.8132476076555024,0.8406598883572568,0.007620787382909546
45,0.8285079365079366,0.8152380952380952,0.8436141636141636,0.007024165228913192
46,0.830141735299751,0.818760773798123,0.8448094234820915,0.006455486724808632
47,0.8318284721243719,0.817105819360293,0.8474942463951904,0.006686340325473301
48,0.8356775442477877,0.8198746312684366,0.8512629056047197,0.007894553805953032
49,0.8376270419475995,0.8207158694963573,0.8552875695732839,0.007975630499379415
50,0.8393351111111111,0.8267111111111111,0.8558666666666667,0.008149676161103835
51,0.8415048692082623,0.829468535743919,0.8640115288877244,0.008064065034848484
52,0.8443080357142857,0.8331043956043956,0.8608774038461539,0.00849544898420981
53,0.8452104174581063,0.8367312481533071,0.860284496222194,0.005876289617724365
54,0.8479787410729114,0.8326274705198472,0.8656369373858163,0.00859479759565561
55,0.8519959141981613,0.8375076608784474,0.8684371807967314,0.008034544138264762
56,0.8520294401544402,0.8377171814671814,0.8739140926640927,0.008052613409030606
57,0.8547162488614313,0.8402439507346243,0.8753316700328699,0.008222319389755612
58,0.8568122952098611,0.8406147604930566,0.8723279762833516,0.008475594139858347
59,0.8582412852146507,0.8405396056727776,0.8763980168338522,0.008122224687335143
60,0.8595992424242425,0.8471590909090909,0.8825757575757576,0.008506047955048831
