day,s,i,r,edgecount,suscedgecount
1,999,1,0,1.0,1.0
2,999,1,0,1.0,1.0
3,999,1,0,1.0,1.0
4,999,1,0,1.0,1.0
5,999,1,0,1.0,1.0
6,999,1,0,1.0,1.0
7,999,1,0,1.0,1.0
8,999,1,0,1.0,1.0
9,998,2,0,0.999,0.999498997995992
10,998,2,0,0.999,0.999498997995992
11,998,2,0,0.999,0.999498997995992
12,998,2,0,0.999,0.999498997995992
13,998,2,0,0.999,0.999498997995992
14,998,2,0,0.999,0.999498997995992
15,998,2,0,0.999,0.999498997995992
16,997,3,0,0.9985,0.9992477432296891
17,997,3,0,0.9985,0.9992477432296891
18,997,3,0,0.9985,0.9992477432296891
19,997,3,0,0.9985,0.9992477432296891
20,997,3,0,0.9985,0.9992477432296891
21,997,3,0,0.9985,0.9992477432296891
22,997,3,0,0.9985,0.9992477432296891
23,996,4,0,0.998,0.998995983935743
24,996,4,0,0.998,0.998995983935743
25,996,3,1,0.999,0.9994979919678715
26,996,3,1,0.999,0.9994979919678715
27,996,3,1,0.999,0.9994979919678715
28,996,3,1,0.999,0.9994979919678715
29,996,3,1,0.999,0.9994979919678715
30,996,3,1,0.999,0.9994979919678715
31,996,3,1,0.999,0.9994979919678715
32,995,4,1,0.9985,0.9992462311557789
33,995,3,2,0.999,0.9994974874371859
34,994,4,2,0.998,0.9989939637826962
35,993,5,2,0.998,0.998992950654582
36,993,5,2,0.998,0.998992950654582
37,993,5,2,0.998,0.998992950654582
38,993,5,2,0.998,0.998992950654582
39,993,5,2,0.998,0.998992950654582
40,992,6,2,0.9985,0.9992439516129032
41,992,5,3,0.9985,0.9992439516129032
42,992,5,3,0.9985,0.9992439516129032
43,992,5,3,0.9985,0.9992439516129032
44,992,5,3,0.9985,0.9992439516129032
45,992,5,3,0.9985,0.9992439516129032
46,992,5,3,0.9985,0.9992439516129032
47,991,6,3,0.9995,0.9997477295660948
48,991,6,3,0.9995,0.9997477295660948
49,991,5,4,1.0,1.0
50,991,5,4,1.0,1.0
51,991,5,4,1.0,1.0
52,991,5,4,1.0,1.0
53,991,5,4,1.0,1.0
54,990,6,4,1.0,1.0
