day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std
1,497.65,499,492,1.1977785132628578,2.255,7,0,1.1776712392423843,0.095,1,0,0.29395073596757565
2,494.875,499,484,2.9568717341577897,4.845,15,0,2.863910774556901,0.28,2,0,0.48245602814710215
3,489.105,499,469,6.807767880707147,10.2,30,0,6.495456471555278,0.695,5,0,0.9033577787244151
4,476.9,499,432,14.855755360690477,21.51,66,0,14.07445742324705,1.59,6,0,1.4255035256033355
5,453.645,499,362,29.54715122864883,42.95,129,0,27.756795537173634,3.405,11,0,2.56395090068151
6,411.485,499,259,52.42817316775916,81.69,222,0,48.51455669235034,6.825,23,0,4.751553567680013
7,344.6,499,148,79.83708285624529,142.67,320,0,73.09325701530565,12.73,37,0,7.706102782892435
8,258.045,499,66,101.32708852694195,220.08,386,0,91.03074526177717,21.875,58,1,11.500901210045065
9,170.505,499,24,107.3881794258661,295.295,417,0,94.29264813580278,34.2,70,1,15.027947164529808
10,100.75,499,6,100.10144352093467,350.36,431,0,85.03632330602633,48.89,87,1,17.958855824148788
11,56.725,499,1,87.26929024634326,378.65,425,0,71.76145225781563,64.625,111,1,20.231434196523022
12,32.22,499,0,75.9644296553612,387.18,426,0,60.542087192365955,80.6,124,1,22.0843517669146
13,19.86,499,0,67.7045784991587,383.335,423,0,53.11174126595273,96.805,143,1,23.38270148300268
14,13.35,499,0,63.0951064846677,374.055,418,0,49.36717090146113,112.595,163,1,24.56456930879582
15,10.34,499,0,61.335918305442036,362.1,418,0,47.84291717295351,127.56,175,1,25.880211101016272
16,8.76,499,0,60.804343933686425,349.12,411,0,47.03741267283709,142.12,191,1,27.12219881096864
17,8.01,499,0,60.76389681199598,335.765,413,0,45.75090712229169,156.225,206,1,27.70690777935112
18,7.695,499,0,60.785246614866594,322.43,396,0,44.11195327924793,169.875,220,1,28.313737188295
19,7.595,499,0,60.79457935866474,309.9,386,0,42.651091168801834,182.505,230,1,29.28357240954946
20,7.555,499,0,60.79892698570481,297.295,374,0,41.10273896900023,195.15,239,1,30.261465288499082
21,7.525,499,0,60.802252793162346,285.25,365,0,39.62053043765068,207.225,253,1,31.25409520905514
22,7.515,499,0,60.80341314639546,273.86,355,0,38.13214790065711,218.625,263,1,32.13530401006183
23,7.515,499,0,60.80341314639546,263.27,341,0,36.76404596037932,229.215,272,1,33.00645246800409
24,7.51,499,0,60.80399269487319,252.83,324,0,35.534696753551096,239.66,281,1,34.014693839353086
25,7.505,499,0,60.804571824607635,242.345,310,0,34.107515124085175,250.15,294,1,34.85284931720272
26,7.5,499,0,60.805150535610814,232.785,296,0,32.81865468719562,259.715,306,1,35.66812090994184
27,7.495,499,0,60.80572882789463,223.61,281,0,31.621313021219247,268.895,314,1,36.51108422598244
28,7.49,499,0,60.80630670147109,215.01,261,0,30.57341276075008,277.5,323,1,37.381773432043396
29,7.49,499,0,60.80630670147109,206.51,247,0,29.398490714344625,286.0,329,1,38.14215673769661
30,7.49,499,0,60.80630670147109,198.025,239,0,28.319682148373847,294.485,337,1,38.989107807671
31,7.49,499,0,60.80630670147109,189.935,231,0,27.30197362497985,302.575,342,1,39.81470114336762
32,7.49,499,0,60.80630670147109,181.995,221,0,26.18287013377661,310.515,349,1,40.55680023406841
33,7.49,499,0,60.80630670147109,174.76,217,0,25.30700739154233,317.75,352,1,41.33509951918957
34,7.49,499,0,60.80630670147109,167.665,206,0,24.426544071488742,324.845,363,1,42.09012793217356
35,7.49,499,0,60.80630670147109,160.88,198,0,23.651268730510296,331.63,369,1,42.8530631941945
36,7.49,499,0,60.80630670147109,154.305,190,0,22.803111288201674,338.205,377,1,43.5416161468935
37,7.485,499,0,60.80688415635206,148.28,187,0,22.132574506174304,344.235,382,1,44.23145808609651
38,7.485,499,0,60.80688415635206,142.44,182,0,21.37524045531683,350.075,388,1,44.84792141533855
39,7.485,499,0,60.80688415635206,136.6,177,0,20.623448624462135,355.915,392,1,45.4711546425051
40,7.485,499,0,60.80688415635206,130.83,167,0,19.982431982611576,361.685,400,1,46.134670412503795
41,7.485,499,0,60.80688415635206,125.36,162,0,19.27193392438677,367.155,407,1,46.720606270159394
42,7.485,499,0,60.80688415635206,120.25,153,0,18.475503270696787,372.265,411,1,47.21898918548015
43,7.485,499,0,60.80688415635206,115.545,147,0,17.95801846350756,376.97,414,1,47.76575064492725
44,7.485,499,0,60.80688415635206,110.935,142,0,17.375856148242658,381.58,417,1,48.27375453478238
45,7.485,499,0,60.80688415635206,106.625,137,0,17.012982775356377,385.89,420,1,48.81312843424081
46,7.485,499,0,60.80688415635206,102.245,131,0,16.422957794306352,390.27,421,1,49.28378595226776
47,7.485,499,0,60.80688415635206,98.335,127,0,15.747466095921942,394.18,425,1,49.658710592286255
48,7.485,499,0,60.80688415635206,94.055,124,0,15.14691785819858,398.46,429,1,50.11813581617378
49,7.485,499,0,60.80688415635206,90.1,117,0,14.494497309714005,402.415,432,1,50.5172518917396
50,7.485,499,0,60.80688415635206,86.615,116,0,14.05219183890495,405.9,435,1,50.90971415137658
51,7.485,499,0,60.80688415635206,83.255,113,0,13.544268568485943,409.26,436,1,51.26728069979681
52,7.485,499,0,60.80688415635206,80.06,109,0,13.204856727963017,412.455,439,1,51.64614794919318
53,7.485,499,0,60.80688415635206,77.075,108,0,12.890313257613135,415.44,443,1,52.0002551211368
54,7.485,499,0,60.80688415635206,73.995,105,0,12.496229582111729,418.52,445,1,52.34846136263389
55,7.485,499,0,60.80688415635206,70.995,100,0,12.038671983054355,421.52,447,1,52.67134851865737
56,7.485,499,0,60.80688415635206,68.355,96,0,11.658411891814257,424.16,450,1,52.962055251683864
57,7.485,499,0,60.80688415635206,65.81,93,0,11.36838161316344,426.705,452,1,53.25965574098504
58,7.485,499,0,60.80688415635206,63.045,90,0,11.087272571075655,429.47,455,1,53.58991036064824
59,7.485,499,0,60.80688415635206,60.625,88,0,10.7298660348407,431.89,456,1,53.85620068069036
60,7.485,499,0,60.80688415635206,58.09,85,0,10.335181657788963,434.425,457,1,54.132392841752996
61,7.485,499,0,60.80688415635206,55.675,81,0,10.076559943825451,436.84,464,1,54.41848267162001
62,7.485,499,0,60.80688415635206,53.48,77,0,9.838372214914209,439.035,464,1,54.6777105882816
63,7.485,499,0,60.80688415635206,51.245,74,0,9.577243495120301,441.27,465,1,54.93822112794988
64,7.485,499,0,60.80688415635206,49.08,73,0,9.344527864211498,443.435,468,1,55.194000247459726
65,7.485,499,0,60.80688415635206,47.105,69,0,9.097681796499137,445.41,471,1,55.421472354945145
66,7.485,499,0,60.80688415635206,45.2,67,0,8.965595883584015,447.315,473,1,55.65801693598354
67,7.485,499,0,60.80688415635206,43.555,64,0,8.75902836446185,448.96,474,1,55.84713882172357
68,7.485,499,0,60.80688415635206,41.855,63,0,8.475443392738669,450.66,474,1,56.032065478697504
69,7.485,499,0,60.80688415635206,40.275,63,0,8.325620383723326,452.24,474,1,56.221407249959775
70,7.485,499,0,60.80688415635206,38.605,61,0,8.101056138107168,453.91,476,1,56.41173031013065
71,7.485,499,0,60.80688415635206,36.99,60,0,7.891213866155642,455.525,478,1,56.597044998061165
72,7.485,499,0,60.80688415635206,35.37,56,0,7.482179834471827,457.145,481,1,56.756590169232254
73,7.485,499,0,60.80688415635206,34.04,53,0,7.33741016569869,458.475,481,1,56.91375274269201
74,7.485,499,0,60.80688415635206,32.555,50,0,7.055200512484162,459.96,481,1,57.07412442072118
75,7.485,499,0,60.80688415635206,31.26,49,0,6.984001818945582,461.255,482,1,57.235825086800595
76,7.485,499,0,60.80688415635206,29.935,48,0,6.8230156612430415,462.58,482,1,57.39034639463752
77,7.485,499,0,60.80688415635206,28.765,47,0,6.621100350338017,463.75,483,1,57.519911343855746
78,7.485,499,0,60.80688415635206,27.55,45,0,6.53844448484554,464.965,485,1,57.66916365949769
79,7.485,499,0,60.80688415635206,26.465,42,0,6.2283817074315,466.05,485,1,57.77627532084211
80,7.485,499,0,60.80688415635206,25.51,39,0,6.025898877879727,467.005,485,1,57.87905406533083
81,7.485,499,0,60.80688415635206,24.465,38,0,5.768461732019106,468.05,486,1,57.98854071513919
82,7.485,499,0,60.80688415635206,23.565,38,0,5.714811488733357,468.95,487,1,58.099875020407175
83,7.485,499,0,60.80688415635206,22.57,38,0,5.542444719375799,469.945,487,1,58.2118982726256
84,7.485,499,0,60.80688415635206,21.575,37,0,5.397223835049658,470.94,488,1,58.32672142475356
85,7.485,499,0,60.80688415635206,20.695,37,0,5.273616420517688,471.82,489,1,58.42882196468541
86,7.485,499,0,60.80688415635206,19.905,36,0,5.22613984585585,472.61,489,1,58.526186210634016
87,7.485,499,0,60.80688415635206,19.105,34,0,5.082631277548824,473.41,490,1,58.61630537897631
88,7.485,499,0,60.80688415635206,18.28,34,0,5.047672233304612,474.235,491,1,58.71907204742384
89,7.485,499,0,60.80688415635206,17.585,34,0,5.00078134598502,474.93,491,1,58.80403619962522
90,7.485,499,0,60.80688415635206,16.905,33,0,4.903693101138239,475.61,492,1,58.88279731038157
91,7.485,499,0,60.80688415635206,16.18,33,0,4.854423460688034,476.335,494,1,58.97127121866826
92,7.485,499,0,60.80688415635206,15.575,29,0,4.668333932843999,476.94,494,1,59.03338975128939
93,7.485,499,0,60.80688415635206,15.075,29,0,4.520125292878127,477.44,494,1,59.08554738299155
94,7.485,499,0,60.80688415635206,14.51,27,0,4.37901574494456,478.005,494,1,59.14682331742522
95,7.485,499,0,60.80688415635206,13.895,26,0,4.216976339420958,478.62,495,1,59.21323022066797
96,7.485,499,0,60.80688415635206,13.28,24,0,3.971202873350408,479.235,495,1,59.27433685879795
97,7.485,499,0,60.80688415635206,12.795,23,0,3.8727205972185246,479.72,495,1,59.32934735260814
98,7.485,499,0,60.80688415635206,12.27,22,0,3.7533368738287023,480.245,496,1,59.38821241516994
99,7.485,499,0,60.80688415635206,11.775,22,0,3.6442802985599725,480.74,496,1,59.44409476146515
100,7.485,499,0,60.80688415635206,11.255,20,0,3.5936816412550314,481.26,496,1,59.506786910756745
101,7.485,499,0,60.80688415635206,10.835,20,0,3.512758511741029,481.68,496,1,59.55503008176724
102,7.485,499,0,60.80688415635206,10.38,20,0,3.4255322734991007,482.135,496,1,59.60739874314787
103,7.485,499,0,60.80688415635206,9.98,18,0,3.412893082998631,482.535,497,1,59.657134051310926
104,7.485,499,0,60.80688415635206,9.585,18,0,3.380817153162173,482.93,497,1,59.70509687593534
105,7.485,499,0,60.80688415635206,9.14,18,0,3.190815966592764,483.375,497,1,59.7506912135961
106,7.485,499,0,60.80688415635206,8.735,17,0,3.115010667282928,483.78,497,1,59.7976621784669
107,7.485,499,0,60.80688415635206,8.39,17,0,3.042066872090644,484.125,497,1,59.83729509613639
108,7.485,499,0,60.80688415635206,8.125,17,0,2.9381180521623387,484.39,497,1,59.865409346139984
109,7.485,499,0,60.80688415635206,7.69,16,0,2.8130885760465163,484.825,497,1,59.914045425058546
110,7.485,499,0,60.80688415635206,7.43,16,0,2.700288464024672,485.085,497,1,59.94149387896678
111,7.485,499,0,60.80688415635206,7.105,16,0,2.7037987421757106,485.41,498,1,59.9824253993111
112,7.485,499,0,60.80688415635206,6.845,16,0,2.646885910863109,485.67,498,1,60.012486975335584
113,7.485,499,0,60.80688415635206,6.57,15,0,2.5842779382859655,485.945,498,1,60.04422135050081
114,7.485,499,0,60.80688415635206,6.335,15,0,2.522815488685161,486.18,499,1,60.071043367468505
115,7.485,499,0,60.80688415635206,6.06,15,0,2.4466981134360357,486.455,499,1,60.102324598226254
116,7.485,499,0,60.80688415635206,5.89,14,0,2.376158802198694,486.625,499,1,60.12076936922662
117,7.485,499,0,60.80688415635206,5.675,14,0,2.2859358067458535,486.84,499,1,60.14416850389677
118,7.485,499,0,60.80688415635206,5.41,14,0,2.2577393416143874,487.105,499,1,60.176240114947866
119,7.485,499,0,60.80688415635206,5.205,14,0,2.2445858925747815,487.31,499,1,60.201369790255725
120,7.485,499,0,60.80688415635206,4.975,13,0,2.1628138660308887,487.54,500,1,60.22711120934752
121,7.485,499,0,60.80688415635206,4.75,13,0,2.1542292165848878,487.765,500,1,60.254900549258274
122,7.485,499,0,60.80688415635206,4.535,13,0,2.116879992943061,487.98,500,1,60.28041341270007
123,7.485,499,0,60.80688415635206,4.31,12,0,2.0259373412207893,488.205,500,1,60.30536177067058
124,7.485,499,0,60.80688415635206,4.17,12,0,2.005294499606168,488.345,500,1,60.32213336636352
125,7.485,499,0,60.80688415635206,3.965,12,0,1.950074086983266,488.55,500,1,60.34588327417791
126,7.485,499,0,60.80688415635206,3.825,12,0,1.9138151536162145,488.69,500,1,60.362172420287244
127,7.485,499,0,60.80688415635206,3.655,12,0,1.9194783106158355,488.86,500,1,60.383534645476054
128,7.485,499,0,60.80688415635206,3.465,10,0,1.8536328584348478,489.05,500,1,60.40514387893778
129,7.485,499,0,60.80688415635206,3.3,9,0,1.7679446090597744,489.215,500,1,60.423120928280134
130,7.485,499,0,60.80688415635206,3.175,9,0,1.75778955526622,489.34,500,1,60.438385087292
131,7.485,499,0,60.80688415635206,3.045,8,0,1.7227344747092508,489.47,500,1,60.453554579582274
132,7.485,499,0,60.80688415635206,2.905,8,0,1.6793080053654308,489.61,500,1,60.46975156449179
133,7.485,499,0,60.80688415635206,2.81,8,0,1.6270020523625535,489.705,500,1,60.48013898012537
134,7.485,499,0,60.80688415635206,2.695,8,0,1.56017490322182,489.82,500,1,60.49268073172615
135,7.485,499,0,60.80688415635206,2.565,8,0,1.551713269374133,489.95,500,1,60.508627234876556
136,7.485,499,0,60.80688415635206,2.445,8,0,1.5325529657942734,490.07,500,1,60.523055949840625
137,7.485,499,0,60.80688415635206,2.335,8,0,1.5080270981130333,490.18,500,1,60.53611073993431
