day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std,d
32,16.58,2,499,69.25522698429675,220.82,0,268,34.42848832116809,262.6,1,298,40.096348608285666,0.9933814102564102,0.9855769230769231,1.0,0.00337500628745293,0.7107663293597847,0.5908114885153068,1.0,0.057675480821507905,1
33,15.79,1,499,69.3715359495521,212.63,0,258,33.25525856495815,271.58,1,310,41.24947015270365,0.9944038461538461,0.9863782051282052,1.0,0.003181380555131169,0.7225674758042492,0.6263331987499944,1.0,0.05660007539251318,1
34,15.17,1,499,69.45270245849241,204.53,0,246,31.959398168819316,280.3,1,317,42.19088417028859,0.9952467948717948,0.9876602564102565,1.0,0.0028923588116876544,0.7389532653114101,0.6515828021798831,1.0,0.056363459594229705,1
35,14.62,1,499,69.52054852104281,196.55,0,239,30.8834155095474,288.83,1,327,43.313294900659734,0.9960352564102564,0.9884615384615385,1.0,0.0024612333248077043,0.7558788780287901,0.6463798420526831,1.0,0.058823219121113504,1
36,14.08,1,499,69.58907960305265,189.24,0,231,29.60075074123028,296.68,1,333,44.13932944710878,0.9966907051282051,0.9900641025641026,1.0,0.0020979597089308224,0.7680983780739835,0.6318870392415229,1.0,0.06097123491440643,1
37,13.59,0,499,69.65283246722326,181.88,0,226,28.635035402898534,304.53,1,338,45.20312293672113,0.9972692307692307,0.9907051282051282,1.0,0.0018136550928318767,0.7814045482715116,0.6549846172112778,1.0,0.05998315999905015,1
38,13.17,0,499,69.71182456978504,174.91,0,223,27.98776608636441,311.92,1,350,46.35756506098912,0.9977259615384615,0.9923076923076923,1.0,0.0016378995794842236,0.7925578446444104,0.6549846172112778,1.0,0.06176266167986611,1
39,12.71,0,499,69.77486088930034,168.38,0,214,27.1173208652531,318.91,1,363,47.27420442525082,0.9981874999999999,0.9931089743589744,1.0,0.001441263219326708,0.802510001655913,0.6549846172112778,1.0,0.06591980221374293,1
40,12.54,0,499,69.79774821987925,161.86,0,207,26.002338667158693,325.6,1,366,48.02209087619168,0.998400641025641,0.9934294871794872,1.0,0.0013404104423914273,0.8150221475690123,0.6428571428571429,1.0,0.06718117835262179,1
41,12.32,0,499,69.82588446567749,155.5,0,202,25.22004173371855,332.18,1,368,48.943046678581595,0.9986362179487179,0.9943910256410257,1.0,0.0011684606341342673,0.8271682475587782,0.6428571428571429,1.0,0.06777140466260118,1
42,12.08,0,499,69.85767349013668,149.33,0,199,24.367993165402247,338.59,1,375,49.79900915812797,0.9988333333333334,0.9950320512820513,1.0,0.0010838238285536777,0.8370752888909746,0.6907110508773475,1.0,0.06851465521751945,1
43,11.9,0,499,69.88020051661574,143.68,0,191,23.595017450403564,344.42,1,379,50.568920866237185,0.9989935897435898,0.9958333333333333,1.0,0.0009165305908711691,0.8441995027679255,0.666893428433301,1.0,0.06796899657249764,1
44,11.75,0,499,69.90113870259333,137.74,0,185,22.75278648713807,350.51,1,384,51.34444881622963,0.9991378205128205,0.9959935897435898,1.0,0.0007879886685476418,0.8508954153442259,0.666893428433301,1.0,0.06681901049867153,1
45,11.62,0,499,69.91810216318098,132.55,0,178,21.872160710396553,355.83,1,386,51.99204581744045,0.9992516025641025,0.9959935897435898,1.0,0.0007321069553511501,0.8624498800232098,0.666893428433301,1.0,0.06396886161451379,1
46,11.53,0,499,69.93018957604372,127.39,0,170,21.034312996442818,361.08,1,394,52.660659419580476,0.9993317307692309,0.9969551282051282,1.0,0.0006695507558986895,0.8719504589832153,0.666893428433301,1.0,0.06388398842511107,1
47,11.39,0,499,69.94960595841391,122.5,0,167,20.474916903914952,366.11,1,399,53.398803565456625,0.9994166666666666,0.9969551282051282,1.0,0.0006335028666826243,0.878828241446496,0.7224678808027427,1.0,0.06048198131528461,1
48,11.31,0,499,69.96040655148084,117.76,0,161,19.962651996853392,370.93,1,407,54.09032008846616,0.9994759615384615,0.9969551282051282,1.0,0.0005995618466446788,0.8846263687015729,0.7224678808027427,1.0,0.06128563563736347,1
49,11.2,0,499,69.97517597352116,113.19,0,156,19.254119328369992,375.61,1,409,54.705066889954004,0.9995576923076923,0.9969551282051282,1.0,0.0005457756417028606,0.8961496496844225,0.7224678808027427,1.0,0.06136019299064585,1
50,11.08,0,499,69.99158390965172,108.91,0,152,18.74986599278712,380.01,1,411,55.339447453371335,0.9996330128205128,0.9971153846153846,1.0,0.0004886871726138628,0.9043247475095908,0.7224678808027427,1.0,0.0637269082447182,1
51,11.0,0,499,70.00317453119139,104.7,0,150,18.246073328779318,384.3,1,416,55.94306268543278,0.9996971153846154,0.9974358974358974,1.0,0.00044803234613686457,0.9180127995082321,0.7502505411766615,1.0,0.05968483257460629,1
52,10.93,0,499,70.0121569530044,100.88,0,148,17.72932285477618,388.19,1,418,56.469656641528466,0.9997371794871794,0.9982371794871795,1.0,0.0003773981839175511,0.9220295446174293,0.7502505411766615,1.0,0.058726641297910345,1
53,10.89,0,499,70.01787578392342,96.87,0,143,17.111432175920022,392.24,1,420,56.999401024674945,0.999761217948718,0.9982371794871795,1.0,0.0003626582066772159,0.9275229331056004,0.7502505411766615,1.0,0.058341152346811705,1
54,10.82,0,499,70.02732222915465,92.67,0,141,16.604766870639374,396.51,1,423,57.59550610275357,0.9997964743589743,0.9982371794871795,1.0,0.0003268086333705963,0.9319894781931931,0.8002672439217722,1.0,0.05703176450814841,1
55,10.75,0,499,70.03698517875604,88.49,0,137,15.993366680526577,400.76,1,427,58.1628018165521,0.9998301282051283,0.9985576923076923,1.0,0.0002834172908876393,0.935685496775564,0.7647058823529411,1.0,0.0605352320059283,1
56,10.69,0,499,70.04510740021084,84.94,0,131,15.675252321845909,404.37,1,431,58.69673041674604,0.9998509615384615,0.9985576923076923,1.0,0.0002609580743657428,0.9389035387088199,0.7647058823529411,1.0,0.056920196484716495,1
57,10.65,0,499,70.0509735042197,81.62,0,127,15.333188405112185,407.73,1,435,59.17989267453684,0.9998798076923078,0.9987179487179487,1.0,0.00023046754107743548,0.9511977513311725,0.8571428571428571,1.0,0.04442336020321264,1
58,10.65,0,499,70.0509735042197,78.38,0,124,14.882557073651865,410.97,1,437,59.61398639360879,0.9998878205128205,0.9988782051282051,1.0,0.00021907038789121692,0.9537655775160199,0.8571428571428571,1.0,0.044859266106177846,1
59,10.6,0,499,70.05740791693913,75.12,0,119,14.31343227302045,414.28,1,441,60.03199147121474,0.9999054487179486,0.9990384615384615,1.0,0.00020129103154454097,0.960728625461313,0.8571428571428571,1.0,0.04274279092369743,1
60,10.56,0,499,70.06250023653124,72.37,0,112,13.78013135648642,417.07,1,444,60.363253086893195,0.9999230769230769,0.999198717948718,1.0,0.0001634301126151628,0.9640914741881331,0.8571428571428571,1.0,0.040687089049732485,1
61,10.54,0,499,70.06467719114241,69.31,0,104,13.18990660935991,420.15,1,447,60.73961232219469,0.9999326923076923,0.9993589743589744,1.0,0.00014257554050702573,0.9661048180766327,0.8571428571428571,1.0,0.03975554239741598,1
62,10.53,0,499,70.0659797273364,66.05,0,99,12.690866038536566,423.42,1,451,61.1740652779122,0.9999358974358974,0.9993589743589744,1.0,0.00013475560339466897,0.966889847510683,0.8571428571428571,1.0,0.03863899884164535,1
63,10.48,0,499,70.07290287387639,63.31,0,97,12.335130909133253,426.21,1,454,61.55186611486463,0.9999439102564103,0.9995192307692308,1.0,0.00011917629362672691,0.9667604026005948,0.8571428571428571,1.0,0.04005365449389238,1
64,10.46,0,499,70.07577716625444,60.72,0,88,11.768027219821708,428.82,1,456,61.86273171916656,0.9999503205128205,0.9995192307692308,1.0,0.00011546148048408522,0.9690847887308001,0.8571428571428571,1.0,0.04050918977578097,1
65,10.44,0,499,70.07864557521475,58.28,0,82,11.33607809900173,431.28,1,458,62.176529398807766,0.9999567307692309,0.9995192307692308,1.0,0.00010402025352750033,0.9723050881398354,0.8571428571428571,1.0,0.03674304294804159,1
66,10.39,0,499,70.08564673874304,56.15,0,75,10.811866843726138,433.46,1,458,62.43112083316179,0.9999647435897435,0.9995192307692308,1.0,9.274811118210301e-05,0.9752241654393301,0.8571428571428571,1.0,0.03397872415255554,1
67,10.39,0,499,70.08564673874304,53.76,0,74,10.54774618081747,435.85,1,461,62.77124977232648,0.9999679487179488,0.9995192307692308,1.0,8.82182504107407e-05,0.9781073499631396,0.8571428571428571,1.0,0.03319550018459737,1
68,10.38,0,499,70.08663902411766,51.68,0,71,10.229566970504687,437.94,1,462,63.05534205454889,0.9999695512820513,0.9995192307692308,1.0,8.731675874759697e-05,0.9784078307323704,0.8571428571428571,1.0,0.03335336025481668,1
69,10.37,0,499,70.08806221209477,49.42,0,70,9.873114191499246,440.21,1,464,63.36128490050075,0.9999711538461539,0.9995192307692308,1.0,8.3318389670817e-05,0.9784125714151817,0.8571428571428571,1.0,0.03343682798478009,1
70,10.36,0,499,70.08933981395143,47.6,0,69,9.629500128629353,442.04,1,467,63.612450340981496,0.9999743589743589,0.9995192307692308,1.0,7.797881239965973e-05,0.9799486697254737,0.8571428571428571,1.0,0.03329457829501638,1
71,10.35,0,499,70.09032772361705,45.84,0,68,9.396668225353798,443.81,1,469,63.8561664994071,0.9999743589743589,0.9995192307692308,1.0,7.797881239965973e-05,0.979724655388556,0.8571428571428571,1.0,0.0333233647372772,1
72,10.32,0,499,70.09414736587854,43.92,0,65,8.950684190314584,445.76,1,469,64.09937360824752,0.9999823717948718,0.9996794871794872,1.0,5.9810846100966455e-05,0.9843168980952056,0.8571428571428571,1.0,0.030881123365901774,1
73,10.32,0,499,70.09414736587854,42.04,0,60,8.724654489410794,447.64,1,471,64.36269074235445,0.9999839743589743,0.9996794871794872,1.0,5.807236180605989e-05,0.9859835647618723,0.8571428571428571,1.0,0.030309123746994064,1
74,10.31,0,499,70.09556175520514,40.3,0,58,8.50014854296825,449.39,1,472,64.60648480445192,0.9999871794871795,0.9996794871794872,1.0,4.927603299908447e-05,0.9897600144557926,0.9285714285714286,1.0,0.020241889741892595,1
75,10.3,0,499,70.09697467498764,38.69,0,58,8.213926336325754,451.01,1,472,64.82213348771383,0.9999871794871795,0.9996794871794872,1.0,4.927603299908447e-05,0.9893943006863567,0.9285714285714286,1.0,0.02051553395319274,1
76,10.3,0,499,70.09697467498764,37.01,0,57,8.040924365174979,452.69,1,473,65.058589755774,0.9999871794871795,0.9996794871794872,1.0,4.927603299908447e-05,0.9893943006863567,0.9285714285714286,1.0,0.02051553395319274,1
77,10.29,0,499,70.09838612531487,35.51,0,55,7.755734274806877,454.2,1,476,65.25722220953824,0.999988782051282,0.9996794871794872,1.0,4.698536371186827e-05,0.9911749605288253,0.9285714285714286,1.0,0.018570930549778156,1
78,10.29,0,499,70.09838612531487,34.0,0,54,7.5905310496803615,455.71,1,478,65.47006332606675,0.999988782051282,0.9996794871794872,1.0,4.698536371186827e-05,0.9911749605288253,0.9285714285714286,1.0,0.018570930549778156,1
79,10.29,0,499,70.09838612531487,32.75,0,50,7.3832666390037875,456.96,1,478,65.63934518536604,0.999988782051282,0.9996794871794872,1.0,4.698536371186827e-05,0.9911749605288253,0.9285714285714286,1.0,0.018570930549778156,1
80,10.28,0,499,70.09950791625438,31.34,0,49,7.087077441842063,458.38,1,482,65.82418885473514,0.9999919871794871,0.9998397435897436,1.0,3.5103031018832264e-05,0.9922037671131875,0.9285714285714286,1.0,0.018247194800502114,1
81,10.28,0,499,70.09950791625438,30.05,0,47,6.856943689988765,459.67,1,482,65.99602911225689,0.9999935897435897,0.9998397435897436,1.0,3.1561920763931156e-05,0.9933611745205949,0.9285714285714286,1.0,0.017684734990966476,1
82,10.28,0,499,70.09950791625438,28.95,0,44,6.615523525402318,460.77,1,482,66.13879727550619,0.9999935897435897,0.9998397435897436,1.0,3.1561920763931156e-05,0.9933611745205949,0.9285714285714286,1.0,0.017684734990966476,1
83,10.28,0,499,70.09950791625438,27.74,0,44,6.442629490159649,461.98,1,482,66.30492463085251,0.9999935897435897,0.9998397435897436,1.0,3.1561920763931156e-05,0.9933611745205949,0.9285714285714286,1.0,0.017684734990966476,1
84,10.28,0,499,70.09950791625438,26.46,0,41,6.156904640115416,463.26,1,483,66.47345030882326,0.9999935897435897,0.9998397435897436,1.0,3.1561920763931156e-05,0.9933611745205949,0.9285714285714286,1.0,0.017684734990966476,1
85,10.28,0,499,70.09950791625438,25.41,0,40,6.1102579753438,464.31,1,484,66.62812446480068,0.9999935897435897,0.9998397435897436,1.0,3.1561920763931156e-05,0.9933611745205949,0.9285714285714286,1.0,0.017684734990966476,1
86,10.28,0,499,70.09950791625438,24.17,0,39,5.8015236591499635,465.55,1,487,66.78782551007059,0.9999935897435897,0.9998397435897436,1.0,3.1561920763931156e-05,0.9933611745205949,0.9285714285714286,1.0,0.017684734990966476,1
87,10.27,0,499,70.10091643372779,23.04,0,38,5.6923127323105005,466.69,1,487,66.95116492525341,0.9999935897435897,0.9998397435897436,1.0,3.1561920763931156e-05,0.9931058350790793,0.9285714285714286,1.0,0.01798413410368409,1
88,10.27,0,499,70.10091643372779,22.1,0,36,5.437431063071657,467.63,1,487,67.07159675234436,0.9999935897435897,0.9998397435897436,1.0,3.1561920763931156e-05,0.9931058350790793,0.9285714285714286,1.0,0.01798413410368409,1
89,10.27,0,499,70.10091643372779,21.23,0,36,5.4510771801766325,468.5,1,488,67.20352023006777,0.9999951923076924,0.9998397435897436,1.0,2.7475417948361474e-05,0.9945851250199076,0.9285714285714286,1.0,0.016828382759173692,1
90,10.27,0,499,70.10091643372779,20.27,0,36,5.315985042275511,469.46,1,488,67.3368465930126,0.9999951923076924,0.9998397435897436,1.0,2.7475417948361474e-05,0.9945851250199076,0.9285714285714286,1.0,0.016828382759173692,1
91,10.26,0,499,70.10217939233813,19.3,0,34,5.190317325500815,470.44,1,489,67.47140359463633,0.9999951923076924,0.9998397435897436,1.0,2.7475417948361474e-05,0.9945851250199076,0.9285714285714286,1.0,0.016828382759173692,1
92,10.26,0,499,70.10217939233813,18.51,0,32,4.983802045455138,471.23,1,490,67.57365678212989,0.9999951923076924,0.9998397435897436,1.0,2.7475417948361474e-05,0.9945851250199076,0.9285714285714286,1.0,0.016828382759173692,1
93,10.25,0,499,70.10358497439789,17.78,0,31,4.837939289166058,471.97,1,490,67.67367555878994,0.9999967948717949,0.9998397435897436,1.0,2.2548925342352976e-05,0.9972256728778468,0.9523809523809523,1.0,0.010303197751361277,1
94,10.25,0,499,70.10358497439789,17.07,0,29,4.660721321032103,472.68,1,490,67.76785686623434,0.9999967948717949,0.9998397435897436,1.0,2.2548925342352976e-05,0.9972256728778468,0.9523809523809523,1.0,0.010303197751361277,1
95,10.23,0,499,70.10624765023414,16.5,0,27,4.580370943471498,473.27,1,492,67.84874071168613,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
96,10.22,0,499,70.10764882837266,15.71,0,27,4.358423864868881,474.07,1,492,67.95218981762177,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
97,10.22,0,499,70.10764882837266,15.09,0,27,4.344031084212688,474.69,1,492,68.04346427323516,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
98,10.22,0,499,70.10764882837266,14.41,0,25,4.151414508844235,475.37,1,492,68.13187672640926,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
99,10.22,0,499,70.10764882837266,13.78,0,25,3.971056903305835,476.0,1,493,68.2140126011622,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
100,10.22,0,499,70.10764882837266,13.21,0,23,3.8854689146702337,476.57,1,494,68.2942615570017,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
101,10.21,0,499,70.10904853775072,12.67,0,23,3.931368281610941,477.12,1,494,68.37748462791244,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
102,10.21,0,499,70.10904853775072,12.25,0,23,3.8726573237861817,477.54,1,494,68.4356838811656,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
103,10.21,0,499,70.10904853775072,11.73,0,21,3.7815474359183985,478.06,1,494,68.50729077177765,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
104,10.21,0,499,70.10904853775072,11.29,0,20,3.6908157922227995,478.5,1,495,68.56678525644935,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
105,10.21,0,499,70.10904853775072,10.87,0,18,3.5495198138749564,478.92,1,495,68.62129716234185,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
106,10.21,0,499,70.10904853775072,10.51,0,18,3.482988963693701,479.28,1,495,68.67006169894836,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
107,10.21,0,499,70.10904853775072,10.09,0,18,3.3457194120007108,479.7,1,496,68.72496789465391,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
108,10.21,0,499,70.10904853775072,9.54,0,18,3.322467137352584,480.25,1,496,68.80397789181505,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
109,10.21,0,499,70.10904853775072,9.33,0,18,3.2785036005143957,480.46,1,496,68.83275295081461,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
110,10.21,0,499,70.10904853775072,8.98,0,18,3.225466844293453,480.81,1,497,68.88076288013582,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
111,10.21,0,499,70.10904853775072,8.65,0,18,3.2609566669672856,481.14,1,497,68.9305051878669,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
112,10.21,0,499,70.10904853775072,8.29,0,17,3.2668985693814045,481.5,1,497,68.98345578265248,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
113,10.21,0,499,70.10904853775072,7.94,0,17,3.1712725674356177,481.85,1,497,69.03027808816427,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
114,10.21,0,499,70.10904853775072,7.59,0,16,3.1175456546923113,482.2,1,498,69.07849436574587,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
115,10.2,0,499,70.11044677845625,7.27,0,16,3.071060751827313,482.53,1,498,69.12446028795458,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
116,10.2,0,499,70.11044677845625,6.94,0,16,2.99096281920364,482.86,1,498,69.16909743811928,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
117,10.2,0,499,70.11044677845625,6.66,0,15,2.850553729656146,483.14,1,498,69.20384469964166,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
118,10.2,0,499,70.11044677845625,6.43,0,14,2.811430492496909,483.37,1,498,69.23574936330934,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
119,10.2,0,499,70.11044677845625,6.23,0,14,2.7701693781858143,483.57,1,498,69.26296764410753,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
120,10.2,0,499,70.11044677845625,6.01,0,13,2.713583489324652,483.79,1,498,69.29300910706009,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
121,10.2,0,499,70.11044677845625,5.75,0,12,2.5638315707612946,484.05,1,498,69.32479186897545,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
122,10.2,0,499,70.11044677845625,5.57,0,12,2.511609407965701,484.23,1,498,69.34919034869984,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
123,10.2,0,499,70.11044677845625,5.3,0,12,2.5524794837866014,484.5,1,499,69.38918205209357,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
124,10.2,0,499,70.11044677845625,5.18,0,12,2.544076105843384,484.62,1,499,69.40654351592711,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
125,10.2,0,499,70.11044677845625,4.91,0,11,2.3745068600201664,484.89,1,499,69.43973406247079,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
126,10.2,0,499,70.11044677845625,4.69,0,11,2.3385007715598167,485.11,1,499,69.47042027315867,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
127,10.2,0,499,70.11044677845625,4.52,0,10,2.2762719831808633,485.28,1,499,69.49312588633889,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
128,10.2,0,499,70.11044677845625,4.34,0,10,2.270673819807591,485.46,1,500,69.51933384158522,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
129,10.2,0,499,70.11044677845625,4.16,0,10,2.228012657962338,485.64,1,500,69.544335106855,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
