day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std
1,497.705,493,499,1.231077886983236,2.18,0,7,1.2103407053865365,0.115,0,1,0.3198225010233082,0.999626063232226,0.9963087786872091,1.0,0.0005819060080585327,0.999949948692754,0.9986089937773676,1.0,0.00017306802881537827
2,495.235,485,499,2.798020657177131,4.46,0,14,2.655874308341519,0.305,0,2,0.5032307681672005,0.998083774675012,0.984753651099342,1.0,0.002266539347402461,0.9991947148998642,0.9941957036829717,1.0,0.0009842898993790265
3,490.725,475,499,5.5264894306544825,8.61,0,22,5.222477511371775,0.665,0,4,0.8283755369098933,0.9929593965655593,0.9696677900818488,1.0,0.006982713989635685,0.9966171132354635,0.9848504856547718,1.0,0.003400658380991037
4,482.865,461,499,9.945922878725117,15.86,0,37,9.300153994510415,1.275,0,5,1.2357224810819196,0.9805825710158884,0.9358048467340716,1.0,0.016957763758528487,0.9901246288247969,0.9652982840850534,1.0,0.008857138441721783
5,470.455,431,499,16.382610433722576,27.05,0,64,15.132496896135741,2.495,0,8,1.9100303872980682,0.957969828277965,0.8767453057294174,1.0,0.03126784709293264,0.9775834976718025,0.9297684687698087,1.0,0.01743055550948265
6,453.445,395,499,22.85692829000151,42.435,0,95,20.843657676296473,4.12,0,15,2.8926522753227095,0.9256050393195313,0.8181672283742577,1.0,0.044567285765386704,0.9582768605630614,0.8858430829877322,1.0,0.02679701262177668
7,431.815,359,499,30.04871714416525,61.42,0,128,27.094170412687646,6.765,0,19,3.8955940838762513,0.8860287273310865,0.7502808537955384,1.0,0.056139805329467066,0.9320927920458182,0.8278579552161863,1.0,0.03748545270896059
8,405.845,328,499,36.01731821020654,83.82,0,153,31.87282517952594,10.335,0,29,5.270833275402041,0.842859894077997,0.7178623013962446,1.0,0.061598475487358154,0.8997617252762425,0.7858704056157395,1.0,0.046317228854510395
9,375.085,295,499,42.409795196902515,109.865,0,181,36.74517402422189,15.05,1,35,6.975729640697128,0.7994607607125662,0.6982827796501364,1.0,0.06211884010824274,0.8605247768975223,0.7463440235947951,1.0,0.05493312337197602
10,342.24,251,499,47.50839544955138,136.98,0,217,40.29825488446949,20.78,1,42,8.662377498100506,0.7643596533461724,0.6979618038838068,1.0,0.056534704250934355,0.8191922442372581,0.6906222412386027,1.0,0.0605371077999834
11,307.475,218,499,51.668341005992815,164.815,0,236,42.78496865388086,27.71,1,50,10.530925980655747,0.7407181832771625,0.6913818006740491,1.0,0.047438553883656254,0.7770819439339653,0.662137505956799,1.0,0.06387090939991524
12,272.72,175,499,54.17199113117017,191.32,0,269,43.63309333717762,35.96,1,61,12.415276697576534,0.7304164660568127,0.6912213127908843,1.0,0.03943079851052232,0.7371450323969736,0.6217130515593431,1.0,0.06398056697402103
