day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std
1,497.575,493,499,1.2855497621464376,2.32,0,7,1.2710933844371148,0.105,0,1,0.3073226906378774,0.9996140238018656,0.9961402380186555,1.0,0.0006139340813203748,0.9999362332205467,0.9987575988906536,1.0,0.00015837735376024074
2,495.105,481,499,3.1164944550636107,4.63,0,19,3.0626785662227114,0.265,0,2,0.4752941432555899,0.9978610485686715,0.9773238983596012,1.0,0.003024628616488486,0.9990696242084379,0.9904413433244871,1.0,0.0013401327874330061
3,490.275,466,499,6.134946031879208,9.005,0,29,5.804605258848811,0.72,0,5,0.8574825840269572,0.9923882277259569,0.9519137986490833,1.0,0.008570895703798983,0.9963120943568291,0.9760437725457397,1.0,0.004237655576785788
4,482.08,450,499,10.765830928353358,16.49,0,47,9.997984721555756,1.43,0,8,1.4785229625385496,0.9794290768735928,0.9134770022515278,1.0,0.018792063306693828,0.989484311366818,0.9540651471910109,1.0,0.00990253203641077
5,469.6,424,499,16.721484389880136,27.795,0,69,15.509859888756068,2.605,0,9,2.1169274691277775,0.9559440334512704,0.8618526857510453,1.0,0.0323188160429083,0.9763793814609347,0.920608353564959,1.0,0.018138067199346027
6,452.415,395,499,23.254821189222536,43.165,0,97,21.25834804986138,4.42,0,13,2.9096270634294714,0.9231103248633,0.805725313605661,1.0,0.045289593742750836,0.9566660991385015,0.8777792609113042,1.0,0.02737529200421567
7,430.86,355,499,30.387619801260016,62.19,0,131,27.577827741041766,6.95,0,19,4.010977399399362,0.8839136378256675,0.7537793502733998,1.0,0.05649412411170903,0.9305790445113432,0.8264082001197018,1.0,0.03765131217172242
8,404.585,308,499,37.93213690329417,85.02,0,169,33.793930649507445,10.395,0,26,5.525543698662528,0.8408113541331618,0.7188806690254101,1.0,0.06402694343875123,0.8975322173601806,0.7704093595821924,1.0,0.04838005681455702
9,373.755,280,499,44.65428310923823,111.305,0,190,38.86495075238002,14.94,1,36,7.271918867816149,0.797996944355098,0.6994210357027983,1.0,0.0646671747218992,0.8581528388652773,0.7315695001591065,1.0,0.057248092447177386
10,340.965,246,499,49.83262210771829,138.155,0,220,42.178383744240165,20.88,1,44,9.225026044821675,0.7639466066259247,0.6862335155998713,1.0,0.05914405927311204,0.8172296699801148,0.6965929712969741,1.0,0.06271491033813728
11,307.065,201,499,54.17096308176579,164.955,0,247,44.640304196924674,27.98,1,55,11.267403066336826,0.7419443550981023,0.6889675136699903,1.0,0.051486016036454495,0.7764981981329419,0.6479090415201246,1.0,0.0663378827944492
12,272.82,168,499,57.53598480723776,191.34,0,271,46.41428475314175,35.84,1,65,12.920491301703155,0.7321011579285944,0.6963653908009007,1.0,0.044990648373875,0.7368737991625559,0.6158814710031376,1.0,0.06807865560946166
13,238.665,135,499,59.63779091756868,216.31,0,301,47.15742799470067,45.025,1,79,14.579340204687597,0.7353232550659377,0.6970086844644581,1.0,0.04258945174487938,0.7006100732888892,0.5834110618551429,1.0,0.0673048186354217
14,206.73,108,499,61.50554250467163,237.975,0,316,47.706961187321944,55.295,1,87,16.279529798254657,0.7504639755548408,0.6931489224831135,1.0,0.04377472380371059,0.6705869056292293,0.5633099241519641,1.0,0.0668039721879484
15,176.705,89,499,62.85980232822658,257.32,0,327,47.809584623896775,65.975,1,102,17.917296744014298,0.7728280797684143,0.7037632679318109,1.0,0.04618172725044031,0.6444270691676333,0.5544037429249862,1.0,0.0660022483304518
16,149.235,70,499,63.86645752650546,273.195,0,330,47.52895943448186,77.57,1,115,19.85614343624673,0.7997483113541332,0.7077838533290447,1.0,0.04826069895465035,0.6228137738688367,0.5398336960056132,1.0,0.0649804181041077
17,125.02,58,499,63.81332385566149,285.135,0,336,46.7258310943453,89.845,1,129,21.31861608922585,0.828571083949823,0.7219363139273078,1.0,0.0471656822494577,0.6072163180219051,0.5385677858381503,1.0,0.06392546310071645
18,104.315,39,499,64.24721236351357,293.935,0,342,46.345553472077185,101.75,1,143,22.588241259913985,0.85597378578321,0.7280476037311032,1.0,0.04478976478692461,0.5954551741016525,0.5298948199637052,1.0,0.06343590072836049
