day,s,i,r,edgecount,suscedgecount
1,999,1,0,1.0,1.0
2,999,1,0,1.0,1.0
3,997,3,0,0.99875,0.999372683267193
4,996,4,0,0.99725,0.9986186048541994
5,993,7,0,0.99375,0.9968499563836487
6,991,9,0,0.9915833333333334,0.9957400213965827
7,989,10,1,0.9909166666666667,0.9953870389220105
8,984,13,3,0.9884166666666667,0.9940835809353837
9,979,17,4,0.9865,0.9930388368570631
10,976,20,4,0.9850833333333333,0.9923016342768659
11,969,25,6,0.98275,0.9910470286806268
12,962,29,9,0.9821666666666666,0.9906495374973636
13,951,39,10,0.97625,0.9874389208225445
14,943,45,12,0.9736666666666667,0.985967115015711
15,930,56,14,0.97125,0.9844973955277835
16,923,61,16,0.9638333333333333,0.9803963221255604
17,910,71,19,0.9576666666666667,0.9767674606453871
18,883,94,23,0.94025,0.966227587579205
19,847,123,30,0.922,0.9540329317081024
20,816,146,38,0.90475,0.9417135864514381
21,784,172,44,0.8874166666666666,0.9283608230968479
22,737,207,56,0.865,0.9084914152438194
23,693,243,64,0.8421666666666666,0.8862067708312767
24,649,278,73,0.8303333333333334,0.8693450573677679
25,601,309,90,0.82525,0.8546025255701157
26,541,351,108,0.8125,0.8265808843571442
27,502,377,121,0.8076666666666666,0.8082605031379498
28,451,410,139,0.80775,0.786716128275465
29,405,441,154,0.8140833333333334,0.7702090219674761
30,358,468,174,0.8236666666666667,0.7530919497472814
31,316,494,190,0.8306666666666667,0.731412373170766
32,273,516,211,0.8458333333333333,0.7170920903696824
33,242,526,232,0.8491666666666666,0.6877743178488777
34,206,543,251,0.8658333333333333,0.6736432464397851
35,175,552,273,0.8776666666666667,0.6502310095701401
36,148,558,294,0.8915,0.6338225425181947
37,119,568,313,0.9103333333333333,0.623219789588076
38,103,567,330,0.9203333333333333,0.6131201878183726
39,87,558,355,0.9318333333333333,0.6084594066603063
40,66,556,378,0.94625,0.5925531001716773
41,50,550,400,0.9574166666666667,0.5735845849802371
42,39,539,422,0.9673333333333334,0.5803908651734738
43,34,517,449,0.9723333333333334,0.5921661629078508
44,25,500,475,0.9810833333333333,0.6186909090909092
