day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std
1,497.745,499,494,1.1819305389890618,2.17,6,1,1.1346971791813936,0.085,1,0,0.279581525043642
2,495.205,499,482,3.1500139586513765,4.5,17,0,3.042413746852188,0.295,2,0,0.49922049790412054
3,489.99,499,462,7.233360736040224,9.335,35,0,6.7914204670156435,0.675,4,0,0.844357565544635
4,478.555,499,420,15.531034743409887,19.91,75,0,14.562701030596374,1.535,8,0,1.47296405780246
5,456.67,499,357,30.670908416862677,40.22,133,0,28.642864178390198,3.11,15,0,2.606119585990331
6,417.08,499,241,54.98344748637936,76.81,234,0,51.06724210372439,6.11,25,0,4.63088821157893
7,354.045,499,120,85.07497712999009,134.455,342,0,78.06007205509253,11.5,38,0,7.737528464158846
8,271.955,499,60,110.54689527651321,208.28,382,0,100.06666923335304,19.765,58,1,11.497859752774529
9,187.94,499,29,119.9511056168032,280.755,418,0,105.77935210454964,31.305,78,1,15.929555192886458
10,116.895,499,6,111.99292859496258,337.36,429,0,94.64692600932726,45.745,91,1,20.184574811016144
11,67.92,499,2,94.35580900753982,371.05,435,0,76.49394826130373,61.03,114,1,22.714064887610775
12,38.13,499,0,76.45344167346944,384.985,436,0,59.70105404656905,76.885,132,1,24.330260642142186
13,21.72,499,0,63.07530475829474,385.0,424,0,48.672941932678675,93.28,140,1,25.057754394126814
14,13.07,499,0,54.40047941704209,378.555,418,0,42.80441642315233,108.375,153,1,25.7427235169543
15,8.55,499,0,50.79822633709739,367.985,424,0,41.62291569019119,123.465,168,1,26.363687051982584
16,6.63,499,0,49.880692833880516,354.925,414,0,40.9050791774391,138.445,179,1,26.336763288272767
17,5.805,499,0,49.75585594686343,341.525,404,0,40.06388585432949,152.67,193,1,26.6182976323472
18,5.42,499,0,49.74814559307461,328.24,392,0,38.77473144968221,166.34,212,1,26.697907997768024
19,5.245,499,0,49.75684569451058,315.215,387,0,37.61199390390164,179.54,226,1,27.311499225596318
20,5.13,499,0,49.76308797314648,302.465,367,0,36.286115608172345,192.405,242,1,27.72262060966345
21,5.06,499,0,49.76847299769818,290.72,358,0,35.11390796626483,204.22,251,1,28.25301335820828
22,5.025,499,0,49.771380598022056,279.345,344,0,34.199179733911194,215.63,265,1,29.097187693285615
23,5.015,499,0,49.77229330565875,268.38,330,0,33.10172534937608,226.605,278,1,29.707603124740398
24,5.01,499,0,49.772748895990425,258.01,321,0,32.30103223454454,236.98,286,1,30.557624943883575
25,5.0,499,0,49.773557590108815,247.875,314,0,31.03700781762567,247.125,294,1,30.90184452382857
26,4.995,499,0,49.77401165448597,237.99,302,0,29.93023546474158,257.015,303,1,31.410473799699496
27,4.99,499,0,49.77446520993142,228.28,288,0,28.79753618718555,266.73,315,1,31.8922038015027
28,4.99,499,0,49.77446520993142,219.19,278,0,27.789660417692282,275.82,325,1,32.42304534350119
29,4.99,499,0,49.77446520993142,210.205,271,0,26.77137477862668,284.805,332,1,32.95172310026263
30,4.99,499,0,49.77446520993142,201.93,262,0,25.865036255580865,293.08,337,1,33.482967994618456
31,4.99,499,0,49.77446520993142,193.72,251,0,24.9981225425684,301.29,347,1,34.049415759566834
32,4.99,499,0,49.77446520993142,186.055,244,0,24.16322166862348,308.955,357,1,34.57164979935505
33,4.99,499,0,49.77446520993142,178.71,234,0,23.141163914908937,316.3,364,1,34.93597877640366
34,4.99,499,0,49.77446520993142,171.345,223,0,22.025703919871194,323.665,368,1,35.27056618762988
