day,s,i,r,edgecount,suscedgecount
1,997,3,0,0.9975294117647059,1.0
2,995,5,0,0.9955294117647059,0.9989950643048529
3,987,13,0,0.9881764705882353,0.9952321129629039
4,976,23,1,0.9784705882352941,0.9901967257185416
5,956,40,4,0.9674117647058823,0.9840891693328359
6,935,60,5,0.9525882352941176,0.9757711911161917
7,908,80,12,0.9343529411764706,0.9649764640058969
8,863,121,16,0.9008235294117647,0.943601674391199
9,821,157,22,0.8737058823529412,0.9240915789425665
10,757,211,32,0.8419411764705882,0.8964882029801942
11,692,262,46,0.823,0.8729964919860623
12,612,331,57,0.7894705882352941,0.8288995625455181
13,534,389,77,0.7737058823529411,0.7889268797074213
14,446,458,96,0.7662941176470588,0.7387676420377337
15,363,527,110,0.778235294117647,0.6948812028046084
16,282,580,138,0.8084705882352942,0.6605156977580693
17,206,636,158,0.8512352941176471,0.6375058167618097
18,147,659,194,0.8914705882352941,0.6285752666315749
19,97,681,222,0.9285882352941176,0.6304572091681725
20,56,687,257,0.9583529411764706,0.6262536103566333
21,35,674,291,0.9738823529411764,0.6206054438025901
22,17,666,317,0.9875294117647059,0.6314130598404881
23,14,643,343,0.9896470588235294,0.6263856889733515
24,7,627,366,0.9947058823529412,0.6157230902187971
25,5,603,392,0.9962352941176471,0.6147791783791723
26,3,575,422,0.9977647058823529,0.623900821507347
27,0,551,449,1.0,
28,0,534,466,1.0,
29,0,504,496,1.0,
30,0,480,520,1.0,
31,0,460,540,1.0,
32,0,435,565,1.0,
33,0,423,577,1.0,
34,0,405,595,1.0,
35,0,386,614,1.0,
36,0,379,621,1.0,
37,0,369,631,1.0,
38,0,356,644,1.0,
39,0,343,657,1.0,
40,0,322,678,1.0,
41,0,312,688,1.0,
42,0,305,695,1.0,
43,0,295,705,1.0,
44,0,284,716,1.0,
45,0,276,724,1.0,
46,0,268,732,1.0,
47,0,257,743,1.0,
48,0,246,754,1.0,
49,0,234,766,1.0,
50,0,223,777,1.0,
51,0,215,785,1.0,
52,0,202,798,1.0,
53,0,197,803,1.0,
54,0,190,810,1.0,
55,0,181,819,1.0,
56,0,176,824,1.0,
57,0,172,828,1.0,
58,0,168,832,1.0,
59,0,164,836,1.0,
60,0,151,849,1.0,
61,0,146,854,1.0,
62,0,142,858,1.0,
63,0,132,868,1.0,
64,0,126,874,1.0,
65,0,121,879,1.0,
66,0,115,885,1.0,
67,0,111,889,1.0,
68,0,110,890,1.0,
69,0,107,893,1.0,
70,0,102,898,1.0,
71,0,99,901,1.0,
72,0,96,904,1.0,
73,0,94,906,1.0,
74,0,90,910,1.0,
75,0,85,915,1.0,
76,0,79,921,1.0,
77,0,76,924,1.0,
78,0,73,927,1.0,
79,0,68,932,1.0,
80,0,66,934,1.0,
81,0,63,937,1.0,
82,0,61,939,1.0,
83,0,57,943,1.0,
84,0,56,944,1.0,
85,0,55,945,1.0,
86,0,53,947,1.0,
87,0,51,949,1.0,
88,0,50,950,1.0,
89,0,46,954,1.0,
90,0,42,958,1.0,
91,0,41,959,1.0,
92,0,38,962,1.0,
93,0,35,965,1.0,
94,0,34,966,1.0,
95,0,33,967,1.0,
96,0,31,969,1.0,
97,0,31,969,1.0,
98,0,27,973,1.0,
99,0,25,975,1.0,
100,0,24,976,1.0,
101,0,23,977,1.0,
102,0,22,978,1.0,
103,0,20,980,1.0,
104,0,20,980,1.0,
105,0,20,980,1.0,
106,0,19,981,1.0,
107,0,19,981,1.0,
108,0,19,981,1.0,
109,0,19,981,1.0,
110,0,19,981,1.0,
111,0,18,982,1.0,
112,0,18,982,1.0,
113,0,17,983,1.0,
114,0,15,985,1.0,
115,0,14,986,1.0,
116,0,13,987,1.0,
117,0,12,988,1.0,
118,0,12,988,1.0,
119,0,12,988,1.0,
120,0,11,989,1.0,
121,0,11,989,1.0,
122,0,11,989,1.0,
123,0,11,989,1.0,
124,0,11,989,1.0,
125,0,10,990,1.0,
126,0,9,991,1.0,
127,0,9,991,1.0,
128,0,8,992,1.0,
129,0,8,992,1.0,
130,0,8,992,1.0,
131,0,8,992,1.0,
132,0,8,992,1.0,
133,0,7,993,1.0,
134,0,5,995,1.0,
135,0,5,995,1.0,
136,0,5,995,1.0,
137,0,4,996,1.0,
138,0,4,996,1.0,
139,0,4,996,1.0,
140,0,4,996,1.0,
141,0,4,996,1.0,
142,0,4,996,1.0,
143,0,4,996,1.0,
144,0,4,996,1.0,
145,0,4,996,1.0,
146,0,4,996,1.0,
147,0,4,996,1.0,
148,0,4,996,1.0,
149,0,4,996,1.0,
150,0,4,996,1.0,
151,0,4,996,1.0,
152,0,4,996,1.0,
153,0,3,997,1.0,
154,0,3,997,1.0,
155,0,3,997,1.0,
156,0,3,997,1.0,
157,0,3,997,1.0,
158,0,3,997,1.0,
159,0,3,997,1.0,
160,0,3,997,1.0,
161,0,2,998,1.0,
162,0,2,998,1.0,
163,0,2,998,1.0,
164,0,2,998,1.0,
165,0,2,998,1.0,
166,0,2,998,1.0,
167,0,2,998,1.0,
168,0,2,998,1.0,
169,0,2,998,1.0,
170,0,1,999,1.0,
171,0,1,999,1.0,
172,0,1,999,1.0,
173,0,1,999,1.0,
174,0,1,999,1.0,
175,0,1,999,1.0,
176,0,1,999,1.0,
177,0,1,999,1.0,
178,0,1,999,1.0,
179,0,1,999,1.0,
180,0,1,999,1.0,
181,0,1,999,1.0,
182,0,1,999,1.0,
183,0,1,999,1.0,
184,0,1,999,1.0,
185,0,1,999,1.0,
186,0,1,999,1.0,
187,0,1,999,1.0,
188,0,1,999,1.0,
189,0,1,999,1.0,
190,0,1,999,1.0,
191,0,1,999,1.0,
192,0,1,999,1.0,
193,0,1,999,1.0,
194,0,1,999,1.0,
195,0,1,999,1.0,
196,0,1,999,1.0,
197,0,1,999,1.0,
198,0,1,999,1.0,
199,0,0,1000,1.0,
200,0,0,1000,1.0,
1,998,2,0,0.9983529411764706,1.0
2,998,2,0,0.9983529411764706,1.0
3,994,6,0,0.9952941176470588,0.9984411947704364
4,987,13,0,0.9886470588235294,0.9950578489908585
5,978,21,1,0.9810588235294118,0.9910853842311141
6,964,35,1,0.9680588235294117,0.9841276834163799
7,950,47,3,0.9603529411764706,0.9798050500436474
8,930,63,7,0.9505294117647058,0.9740166093619406
9,900,88,12,0.9325294117647058,0.9632230546212319
10,860,125,15,0.9074705882352941,0.9468657383610206
11,797,176,27,0.8659411764705882,0.9165650339250755
12,748,216,36,0.8358235294117647,0.8910379387685187
13,688,265,47,0.8065294117647058,0.8600700677266622
14,624,315,61,0.7804705882352941,0.8248286384813649
15,537,390,73,0.7543529411764706,0.7719782667692018
16,449,458,93,0.7535294117647059,0.725941477257667
17,367,517,116,0.7720588235294118,0.6897586957556884
18,292,563,145,0.8027058823529412,0.6617437436535554
19,232,600,168,0.8376470588235294,0.6487887372530939
20,159,646,195,0.8867647058823529,0.6427269427623962
21,102,683,215,0.9267647058823529,0.6392580217806392
22,68,687,245,0.9502352941176471,0.6311798433647374
23,51,679,270,0.9625294117647059,0.6301177115666524
24,33,674,293,0.9755294117647059,0.6269109174314319
25,14,654,332,0.9894705882352941,0.6246874134787265
26,9,634,357,0.9932941176470588,0.6275198778972741
27,7,605,388,0.994764705882353,0.6247149876536746
28,5,580,415,0.9964705882352941,0.6413738676430725
29,5,555,440,0.9964705882352941,0.6413738676430725
30,5,537,458,0.9965294117647059,0.6474394961350237
31,5,518,477,0.9967058823529412,0.66550270430093
32,3,502,495,0.9980588235294118,0.6675356517304363
33,3,479,518,0.9982352941176471,0.6969717900001994
34,0,464,536,1.0,
35,0,444,556,1.0,
36,0,426,574,1.0,
37,0,414,586,1.0,
38,0,397,603,1.0,
39,0,381,619,1.0,
40,0,369,631,1.0,
41,0,358,642,1.0,
42,0,343,657,1.0,
43,0,333,667,1.0,
44,0,321,679,1.0,
45,0,308,692,1.0,
46,0,294,706,1.0,
47,0,278,722,1.0,
48,0,263,737,1.0,
49,0,246,754,1.0,
50,0,242,758,1.0,
51,0,235,765,1.0,
52,0,227,773,1.0,
53,0,222,778,1.0,
54,0,217,783,1.0,
55,0,213,787,1.0,
56,0,205,795,1.0,
57,0,195,805,1.0,
58,0,188,812,1.0,
59,0,179,821,1.0,
60,0,170,830,1.0,
61,0,159,841,1.0,
62,0,142,858,1.0,
63,0,133,867,1.0,
64,0,131,869,1.0,
65,0,128,872,1.0,
66,0,121,879,1.0,
67,0,115,885,1.0,
68,0,107,893,1.0,
69,0,98,902,1.0,
70,0,95,905,1.0,
71,0,91,909,1.0,
72,0,85,915,1.0,
73,0,82,918,1.0,
