day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std,V,T
1,497.72,494,499,1.1393377252866288,2.205,0,6,1.1355272390184061,0.075,0,1,0.26405230180866107,0.9996492645870373,0.9969290447712946,1.0,0.0005288172028899277,0.9998362856877201,0.9985690398718411,1.0,0.0002538852430327329,0.01,2
2,495.21,485,499,3.074600108818342,4.51,0,14,2.951858285332041,0.28,0,2,0.5224603565062165,0.9980305479230646,0.9857766284144174,1.0,0.0026475258228078257,0.9990420852428343,0.9929580093652242,1.0,0.0013099130199756516,0.01,2
3,490.71,470,499,5.928883393309173,8.675,0,29,5.603245201124043,0.615,0,5,0.883560066978923,0.9927816389203169,0.9489251656699531,1.0,0.008446327169742989,0.9963998128940169,0.9733095738654428,1.0,0.004319984987484652,0.01,2
4,482.885,453,499,10.146751095249398,15.95,0,43,9.552683855557088,1.165,0,7,1.2632314787259775,0.9793058024890899,0.9119120737029255,1.0,0.019568133730649664,0.9893642029007066,0.9519674655081976,1.0,0.010366822618743242,0.01,2
5,470.915,427,499,15.501265145320486,26.8,0,65,14.448313702443652,2.285,0,8,1.8138980485830136,0.9534321965411346,0.8475836431226765,1.0,0.036091742191331024,0.9751966493603603,0.9108138161021188,1.0,0.020163840846895008,0.01,2
6,455.88,404,499,20.222272412059375,40.27,0,86,18.613689780271425,3.85,0,15,2.6118208285027906,0.9172757394536933,0.7908517860029093,1.0,0.050099386526699166,0.9541619814811423,0.8713636885160855,1.0,0.029721368481672346,0.01,2
7,437.89,384,499,24.230217025140877,55.895,0,107,21.791012277551534,6.215,0,18,3.7172388034141757,0.8736908032972361,0.7389688055600453,1.0,0.058799550574952265,0.9269062875890794,0.8344934549926712,1.0,0.03718668404347259,0.01,2
8,418.94,366,499,27.292320417451574,71.855,0,125,24.106838726113267,9.205,1,22,4.5647739050275105,0.8303774042346856,0.7027638597058348,1.0,0.06288569127085492,0.8972307948190896,0.799260667882158,1.0,0.042400181888514785,0.01,2
9,399.98,345,499,29.774354078703706,87.065,0,138,25.90513763288848,12.955,1,29,5.493072384477155,0.7920567318571198,0.6856311621141102,1.0,0.06461627886843757,0.8678336912725829,0.7763461576141594,1.0,0.0462760770603244,0.01,2
10,380.92,322,499,32.14748675281805,101.87,0,153,27.103433000304772,17.21,1,36,6.751579007571294,0.7585332148052367,0.6642961047357362,1.0,0.06348556872353625,0.8386264107794764,0.7459569691035258,1.0,0.04849123294564224,0.01,2
11,362.71,305,499,34.40851098406763,114.745,0,162,28.249071225893932,22.545,1,45,8.00426864759764,0.7336617100371747,0.6440924519153063,1.0,0.0628193308876042,0.8128961145107222,0.711140623741895,1.0,0.0504376771701787,0.01,2
12,345.385,291,499,36.7295805234301,127.005,0,173,29.530071122544097,27.61,1,55,9.226240707240395,0.7136641344755132,0.6240504283174398,1.0,0.06271237623875191,0.7883799947525086,0.6935579311787239,1.0,0.05287982775546501,0.01,2
13,328.905,276,499,38.734192431449806,137.63,0,177,30.53892976441347,33.465,1,61,10.427966601269194,0.7002222401810247,0.618231776305156,1.0,0.06246327862167055,0.7668440090123951,0.6700586193674632,1.0,0.05462635898210258,0.01,2
14,313.055,263,499,40.96342252454772,147.63,0,187,31.72626481949908,39.315,1,65,11.634542876267146,0.6909657346048165,0.6332632940035559,1.0,0.06253967036417865,0.7468642944485773,0.6601314363370095,1.0,0.0568900481605862,0.01,2
15,298.31,247,499,43.20308359551205,155.7,0,191,32.80504312253463,45.99,1,74,13.096468510143712,0.6873218037821238,0.635526103119444,1.0,0.06243657745785195,0.7305594973929266,0.6522548799750432,1.0,0.058817325305870416,0.01,2
16,284.705,229,499,45.26114038715473,162.49,0,198,33.7635868798766,52.805,1,80,14.23905645199906,0.6873678681105544,0.6245353159851301,1.0,0.062000818338534734,0.7169531848980932,0.643636493645724,1.0,0.06055580893047141,0.01,2
17,271.535,215,499,47.26030530250975,168.44,0,206,34.613681322179055,60.025,1,88,15.557459552854167,0.6900428317439793,0.6322935186681752,1.0,0.06135265743917726,0.7049269367221374,0.637450418000539,1.0,0.06213820379450076,0.01,2
18,258.745,204,499,49.24127833903494,174.125,0,212,35.39425293325906,67.13,1,97,16.74200026473305,0.6943114595118797,0.6356877323420075,1.0,0.06047370747116096,0.6936929664839079,0.6180347110922543,1.0,0.06348463310434835,0.01,2
19,246.5,189,499,51.19918733651541,178.595,0,211,36.053714463743766,74.905,1,105,18.268405738903606,0.7009875545498626,0.6494262162598998,1.0,0.059537558681588776,0.684451715545038,0.6214410370272165,1.0,0.06486139358846141,0.01,2
20,235.05,179,499,53.10629806785972,182.31,0,217,36.65640955970789,82.64,1,115,19.54817268381835,0.7089768870211735,0.6566995312752546,1.0,0.05815223181007519,0.6766464398341691,0.6102819540762258,1.0,0.06606978128052961,0.01,2
21,223.99,170,499,54.9493133276102,185.775,0,224,37.26847287388845,90.235,1,127,20.981920310102634,0.71774527234524,0.6642961047357362,1.0,0.056737396264085575,0.669563901591095,0.6038315975886508,1.0,0.06721955498496528,0.01,2
22,213.52,158,499,56.736006841879615,188.46,0,222,37.77130867197971,98.02,1,133,22.534609897135564,0.7273209956360109,0.6736705996444157,1.0,0.05526363210250269,0.663957499771185,0.5954300328033161,1.0,0.06818042810690547,0.01,2
23,203.64,146,499,58.37833975682951,190.08,0,230,37.96591436099401,106.28,1,142,24.028910560272344,0.7380256990463876,0.6861160497818005,1.0,0.05354586050461005,0.6600568438704743,0.5857854536362166,1.0,0.0687429981116394,0.01,2
24,194.72,140,499,59.8500773499414,191.115,0,233,38.13058460621944,114.165,1,155,25.37849711030757,0.749058509778568,0.6927428479069015,1.0,0.05159018970045923,0.6580270594020748,0.5776387324003008,1.0,0.06901203540269132,0.01,2
25,185.945,136,499,61.3058234996878,191.99,0,231,38.09865400753588,122.065,1,162,26.676938923942508,0.7598634233069339,0.6908032972361403,1.0,0.0497259773109848,0.6559483845498387,0.5799065227452334,1.0,0.06916923869840648,0.01,2
26,177.685,126,499,62.800279862065636,192.35,0,229,38.23765278429444,129.965,1,168,28.0156771438626,0.7711176660740261,0.7082592532729918,1.0,0.04771091351145221,0.6549782178461372,0.5834436834346337,1.0,0.06948926790523748,0.01,2
27,169.605,122,499,64.19066272367441,192.585,0,224,38.19998651634901,137.81,1,173,29.254968224716045,0.7823137223209956,0.7108453208340068,1.0,0.04560156785674433,0.6544695586739263,0.5895918429695887,1.0,0.06931163558486704,0.01,2
28,162.095,112,499,65.49506847828219,191.885,0,225,38.01853257419962,146.02,1,182,30.756616316431515,0.7939817358978503,0.7190884111847422,1.0,0.04355077571871898,0.6561654293549262,0.5860528976637231,1.0,0.06893338189650358,0.01,2
29,154.815,106,499,66.85558406448199,191.07,0,228,37.83653149507614,154.115,1,190,32.14120502254867,0.8052270890577016,0.7295943106513658,1.0,0.04145600123335155,0.657788828878195,0.5858567144121375,1.0,0.06852033995329974,0.01,2
30,148.02,104,499,68.07215799038059,190.025,0,225,37.693212470306364,161.955,1,200,33.48806094910024,0.8158687570712785,0.7465653790205269,1.0,0.03943629919326429,0.6597278682819809,0.5751619586010881,1.0,0.06857421545448872,0.01,2
31,141.665,100,499,69.16612276026784,188.3,0,227,37.4744133815522,170.035,1,209,34.95875207632087,0.8266114433489575,0.7628899304994343,1.0,0.03729837535002415,0.6630113299467421,0.5759950206276375,1.0,0.06828557184239778,0.01,2
32,135.5,95,499,70.29071005188375,186.635,0,226,37.25562619816081,177.865,1,219,36.274453197448324,0.836737514142557,0.7737190884111848,1.0,0.03531252619423767,0.6661204636171459,0.5789635147498966,1.0,0.06803848944762697,0.01,2
33,129.71,89,499,71.28431220001455,185.09,0,221,36.90081640365535,185.2,1,225,37.57645472564895,0.8461645385485695,0.7805075157588492,1.0,0.03352710701830047,0.6691912158059716,0.5859507968558025,1.0,0.06739968710842913,0.01,2
34,124.02,85,499,72.33096461551618,183.17,0,218,36.54571172143363,192.81,1,236,38.95537841605045,0.8556812671731049,0.7927913366736706,1.0,0.031766176896852294,0.6732288396334674,0.5967498005380402,1.0,0.06661238373566544,0.01,2
35,118.88,78,499,73.2918417721356,180.83,0,213,36.013552725321304,200.29,1,243,40.14003002054496,0.8646032002586068,0.8057216744787458,1.0,0.02992349663418279,0.677882468119573,0.6041022064743778,1.0,0.0656219321498439,0.01,2
36,113.755,74,499,74.25255676358657,178.335,0,210,35.606345420035105,207.91,1,251,41.51190299723998,0.873346533053176,0.8233392597381607,1.0,0.028362045538992953,0.682586962742414,0.6146274037401683,1.0,0.06502994995047068,0.01,2
37,108.78,70,499,75.18400610415318,176.205,0,206,35.202686269701296,215.015,1,256,42.770096807284894,0.8816526588007112,0.8357847098755455,1.0,0.02686433126410108,0.6872664038348081,0.6216257261221315,1.0,0.06415491372234586,0.01,2
38,104.18,69,499,75.97558190120121,173.595,0,202,34.75225996772472,222.225,1,265,44.077414481077305,0.8892767092290286,0.8445126878939713,1.0,0.025258449136294492,0.6921454505622258,0.6260891859636666,1.0,0.06347685025627404,0.01,2
39,99.88,64,499,76.7451280106225,171.08,0,199,34.28660754998126,229.04,1,270,45.35907437482277,0.8965007273315015,0.8551802165831582,1.0,0.023907125361212846,0.6971328086011869,0.6298108952815046,1.0,0.06257196981498411,0.01,2
40,95.775,61,499,77.4794793711089,168.525,0,198,33.8650792552568,235.7,1,277,46.59134864805074,0.9033416841764991,0.861322127040569,1.0,0.022422910766201214,0.7023468777306673,0.6412264111763669,1.0,0.06160276980578971,0.01,2
41,91.775,58,499,78.20488729603112,165.645,0,196,33.34273029187297,242.58,1,285,47.79945122790054,0.9100315176983998,0.8737675771779537,1.0,0.02091890311123741,0.7078213912002869,0.639113265001545,1.0,0.06054603873979468,0.01,2
42,88.095,52,499,78.90179619128489,162.405,0,194,32.83751646268618,249.5,1,295,49.07096696617027,0.9163188944561176,0.8820106675286892,1.0,0.019683438964429378,0.7141807719575999,0.6463020156371412,1.0,0.05935249994350837,0.01,2
43,84.455,49,499,79.5835768454622,159.415,0,192,32.39149300503881,256.13,1,300,50.29124323108988,0.9225230321642153,0.8881525779860999,1.0,0.01846827148709919,0.7209306299684347,0.6390688290015106,1.0,0.058450706415585967,0.01,2
44,81.125,43,499,80.19510990868669,155.98,0,190,31.79361207607938,262.895,1,303,51.53214321100567,0.9282293518668174,0.8951026345563278,1.0,0.017285335526208836,0.7281063992696422,0.6541379017803113,1.0,0.057346154012185464,0.01,2
45,78.2,40,499,80.73382035271044,152.515,0,188,31.219916575077086,269.285,1,311,52.72802859959774,0.9332059156295458,0.9028608372393728,1.0,0.01626771461852756,0.7346643842356572,0.6627400101173545,1.0,0.056492426228639744,0.01,2
