day_lags,m,ped
17,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
19,5,0.001
0,5,0.001
3,5,0.001
9,5,0.001
0,5,0.001
28,5,0.001
0,5,0.001
0,5,0.001
1,5,0.001
0,5,0.001
17,5,0.001
0,5,0.001
21,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
16,5,0.001
102,5,0.001
0,5,0.001
4,5,0.001
0,5,0.001
38,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
37,5,0.001
0,5,0.001
0,5,0.001
1,5,0.001
1,5,0.001
36,5,0.001
0,5,0.001
3,5,0.001
0,5,0.001
0,5,0.001
14,5,0.001
0,5,0.001
2,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
0,5,0.001
0,5,0.012
8,5,0.012
4,5,0.012
0,5,0.012
19,5,0.012
7,5,0.012
0,5,0.012
0,5,0.012
10,5,0.012
2,5,0.012
0,5,0.012
0,5,0.012
0,5,0.012
0,5,0.012
0,5,0.012
33,5,0.012
9,5,0.012
0,5,0.012
0,5,0.012
0,5,0.012
0,5,0.012
100,5,0.012
0,5,0.012
0,5,0.012
1,5,0.012
4,5,0.012
0,5,0.012
10,5,0.012
0,5,0.012
0,5,0.012
2,5,0.012
152,5,0.012
0,5,0.012
0,5,0.012
0,5,0.012
0,5,0.012
0,5,0.012
4,5,0.012
8,5,0.012
0,5,0.012
1,5,0.012
2,5,0.012
57,5,0.012
32,5,0.012
0,5,0.012
0,5,0.012
8,5,0.012
18,5,0.012
4,5,0.012
0,5,0.012
183,5,0.023
0,5,0.023
0,5,0.023
0,5,0.023
0,5,0.023
1,5,0.023
32,5,0.023
0,5,0.023
5,5,0.023
0,5,0.023
0,5,0.023
19,5,0.023
0,5,0.023
0,5,0.023
0,5,0.023
65,5,0.023
12,5,0.023
0,5,0.023
0,5,0.023
9,5,0.023
76,5,0.023
0,5,0.023
5,5,0.023
0,5,0.023
0,5,0.023
0,5,0.023
0,5,0.023
34,5,0.023
0,5,0.023
0,5,0.023
7,5,0.023
0,5,0.023
27,5,0.023
0,5,0.023
0,5,0.023
0,5,0.023
0,5,0.023
0,5,0.023
57,5,0.023
1,5,0.023
0,5,0.023
0,5,0.023
0,5,0.023
0,5,0.023
0,5,0.023
122,5,0.023
0,5,0.023
68,5,0.023
8,5,0.023
0,5,0.023
0,5,0.034
0,5,0.034
0,5,0.034
0,5,0.034
0,5,0.034
3,5,0.034
0,5,0.034
0,5,0.034
113,5,0.034
0,5,0.034
0,5,0.034
5,5,0.034
0,5,0.034
0,5,0.034
0,5,0.034
0,5,0.034
0,5,0.034
11,5,0.034
53,5,0.034
12,5,0.034
0,5,0.034
13,5,0.034
0,5,0.034
0,5,0.034
1,5,0.034
23,5,0.034
12,5,0.034
0,5,0.034
16,5,0.034
0,5,0.034
0,5,0.034
47,5,0.034
0,5,0.034
0,5,0.034
0,5,0.034
0,5,0.034
0,5,0.034
0,5,0.034
12,5,0.034
0,5,0.034
1,5,0.034
0,5,0.034
0,5,0.034
0,5,0.034
26,5,0.034
0,5,0.034
1,5,0.034
0,5,0.034
14,5,0.034
0,5,0.034
2,5,0.045
10,5,0.045
141,5,0.045
0,5,0.045
17,5,0.045
0,5,0.045
0,5,0.045
0,5,0.045
0,5,0.045
0,5,0.045
0,5,0.045
0,5,0.045
0,5,0.045
0,5,0.045
0,5,0.045
6,5,0.045
0,5,0.045
0,5,0.045
13,5,0.045
0,5,0.045
0,5,0.045
15,5,0.045
6,5,0.045
0,5,0.045
0,5,0.045
0,5,0.045
0,5,0.045
0,5,0.045
118,5,0.045
0,5,0.045
3,5,0.045
0,5,0.045
0,5,0.045
2,5,0.045
0,5,0.045
0,5,0.045
0,5,0.045
0,5,0.045
3,5,0.045
0,5,0.045
1,5,0.045
0,5,0.045
21,5,0.045
0,5,0.045
0,5,0.045
0,5,0.045
27,5,0.045
0,5,0.045
0,5,0.045
0,5,0.045
0,5,0.056
0,5,0.056
0,5,0.056
0,5,0.056
4,5,0.056
15,5,0.056
0,5,0.056
1,5,0.056
2,5,0.056
11,5,0.056
0,5,0.056
0,5,0.056
0,5,0.056
1,5,0.056
0,5,0.056
0,5,0.056
0,5,0.056
0,5,0.056
0,5,0.056
0,5,0.056
2,5,0.056
137,5,0.056
0,5,0.056
12,5,0.056
0,5,0.056
0,5,0.056
0,5,0.056
0,5,0.056
1,5,0.056
0,5,0.056
0,5,0.056
6,5,0.056
0,5,0.056
0,5,0.056
0,5,0.056
0,5,0.056
0,5,0.056
0,5,0.056
0,5,0.056
0,5,0.056
60,5,0.056
0,5,0.056
1,5,0.056
0,5,0.056
0,5,0.056
0,5,0.056
0,5,0.056
0,5,0.056
0,5,0.056
111,5,0.056
0,5,0.067
2,5,0.067
0,5,0.067
67,5,0.067
0,5,0.067
0,5,0.067
0,5,0.067
0,5,0.067
0,5,0.067
0,5,0.067
3,5,0.067
0,5,0.067
0,5,0.067
139,5,0.067
0,5,0.067
1,5,0.067
0,5,0.067
0,5,0.067
16,5,0.067
0,5,0.067
0,5,0.067
12,5,0.067
0,5,0.067
37,5,0.067
31,5,0.067
0,5,0.067
0,5,0.067
23,5,0.067
73,5,0.067
0,5,0.067
0,5,0.067
3,5,0.067
0,5,0.067
3,5,0.067
1,5,0.067
78,5,0.067
0,5,0.067
0,5,0.067
0,5,0.067
5,5,0.067
13,5,0.067
0,5,0.067
